,claim,simple_sentence,truth_value,source
12,U.S. tax dollars sent to help Ukraine were laundered back by cryptocurrency firm FTX to help Democrats in midterms.,U.S. tax dollars sent to help Ukraine were laundered back by cryptocurrency firm FTX to help Democrats in midterms.,meter-false,politifact
13,"President Joe Biden and Democrats ""send a fortune to Ukraine but nothing for our children.""","President Joe Biden and Democrats ""send a fortune to Ukraine but nothing for our children.""",meter-false,politifact
14,“Ukraine has a nuclear bomb primed in Mykolaiv.”,,meter-false,politifact
15,Video clips show staged war footage from Ukraine.,Video clips show staged war footage from Ukraine.,meter-false,politifact
16,A CNN headline shows Uganda’s president saying he doesn’t support Ukraine because it would be “disgusting.”,A CNN headline shows Uganda ' s president saying he doesn ' t support Ukraine. It would be `` disgusting. . ''. ,meter-false,politifact
17,North Korea has taken military action against Russia.,North Korea has taken military action against Russia.,meter-false,politifact
18,“The Russian army has surrendered in Donetsk!”,“The Russian army has surrendered in Donetsk!”,meter-false,politifact
19,"“North Korea sent more than 100,000 troops to Russia for the Ukraine War!”","“North Korea sent more than 100,000 troops to Russia for the Ukraine War!”",meter-false,politifact
20,“Chinese military convoy enters Ukraine from Russia.”,“Chinese military convoy enters Ukraine from Russia.”,meter-false,politifact
21,"""Russia is becoming the first country to break ties with the Antarctic Treaty.""","""Russia is becoming the first country to break ties with the Antarctic Treaty.""",meter-false,politifact
22,Russia “has not lost anything” in its invasion of Ukraine.,Russia “has not lost anything” in its invasion of Ukraine.,meter-false,politifact
23,“The Russian army is withdrawing from Ukraine!” in September 2022,“The Russian army is withdrawing from Ukraine!” in September 2022,meter-false,politifact
24,“US Army in Ukraine.”,“US Army in Ukraine.”,meter-false,politifact
25,"“Putin humiliatingly blows up all weapons and facilities"" on Snake Island by retreating Russian troops.",`` Putin humiliatingly blows up all weapons facilities '' on Snake Island by retreating Russian troops . `` Putin humiliatingly blows up weapons facilities '' on Snake Island by retreating Russian troops . ,meter-false,politifact
26,Video shows Russian artillery tanks “completely destroyed by Bayraktar TB2 drones” on July 2.,Video shows Russian artillery tanks “completely destroyed by Bayraktar TB2 drones” on July 2.,meter-false,politifact
27,Video shows Ukrainian soldiers shooting down Russian helicopters.,Video shows Ukrainian soldiers shooting down Russian helicopters.,meter-false,politifact
28,"With the $53 billion spent in Ukraine aid, the U.S. “could pay five SWAT members $80,000 each and have them at EVERY school front door.”",With the $ 53 billion spent in Ukraine aid  the U.S. `` could pay five SWAT members $ 80000 each . '' With the $ 53 billion spent in Ukraine aid  the U.S. `` have them at EVERY school front door . '' ,meter-true,politifact
29,Video shows “Russian desert base and infrastructure hit by Bayraktar TB2 drone.”,Video shows `` Russian desert base infrastructure hit by Bayraktar TB2 drone . '' Video shows desert base infrastructure hit by Bayraktar TB2 drone . '' ,meter-false,politifact
30,“J.D. Vance profits off Russia propaganda.”,“J.D. Vance profits off Russia propaganda.”,meter-true,politifact
31,Video shows a “Russian pilot” escaping from jets and a Russian aircraft getting hit by a missile.,Video shows a `` Russian pilot '' escaping from jets getting hit by a missile . Video shows a `` Russian pilot '' escaping from a Russian aircraft getting hit by a missile . ,meter-false,politifact
32,Video shows “Russian tank column totally destroyed by attack helicopter.”,Video shows “Russian tank column totally destroyed by attack helicopter.”,meter-false,politifact
33,Video shows helicopters in Ukraine “being picked off in ambush - Short range air-to-air missile”,Video shows helicopters in Ukraine “being picked off in ambush - Short range air-to-air missile”,meter-false,politifact
34,“Soldiers destroyed Russian tank with NLAW in ambush.”,“Soldiers destroyed Russian tank with NLAW in ambush.”,meter-false,politifact
35,A recent photo shows the “Russian Orthodox Church blessing a rocket called Satan.”,A recent photo shows the “Russian Orthodox Church blessing a rocket called Satan.”,meter-false,politifact
36,"Says video shows ""Ukrainian forces shoot down Russian plane carrying hundreds (of) troops on Kyiv airport.""","Says video shows ""Ukrainian forces shoot down Russian plane carrying hundreds (of) troops on Kyiv airport.""",meter-false,politifact
37,“Space X’s Starlink internet constellation has angered Russia as it was reported that the Starlink satellite constellation was used to guide the fire” on the Russian ship Moskva.,“Space X’s Starlink internet constellation has angered Russia as it was reported that the Starlink satellite constellation was used to guide the fire” on the Russian ship Moskva.,meter-false,politifact
38,"“War Begins — F-35, F-16 and MiG-29 NATO intercept and destroy Russia Jets in Polish air space.”","“War Begins — F-35, F-16 and MiG-29 NATO intercept and destroy Russia Jets in Polish air space.”",meter-false,politifact
39,Photo of unbroken windows proves war in Ukraine is fake.,,meter-false,politifact
40,Videos show that Ukraine President Volodymyr Zelenskyy uses cocaine.,Videos show that Ukraine President Volodymyr Zelenskyy uses cocaine.,meter-false,politifact
41,A video shows the Russian warship Moskva exploding.,A video shows the Russian warship Moskva exploding.,meter-false,politifact
42,"""America (is) trying to overthrow the Ukraine government just as the shadow government has infiltrated and overthrown the US government.""",`` America -LRB- is -RRB- trying to overthrow the Ukraine government just as the shadow government has infiltrated . '' `` America -LRB- is -RRB- trying to overthrow the Ukraine government just as the shadow government has overthrown . '' `` America -LRB- is -RRB- trying to overthrow the Ukraine government just as the shadow government has the US government . '' ,meter-false,politifact
43,"After Russia invaded Ukraine, Google Maps “opened all military and strategic facilities in Russia.”",After Russia invaded Ukraine  Google Maps `` opened all military facilities in Russia . '' After Russia invaded Ukraine  Google Maps `` opened strategic facilities in Russia . '' ,meter-false,politifact
44,"Vladimir Putin “released 35,000 children from tunnels and subway in Ukraine.”",Vladimir Putin `` released 35000 children from tunnels subway in Ukraine . '' ,meter-false,politifact
45,CNN tweeted about “brave children” in Ukraine signing up to fight Russia.,CNN tweeted about “brave children” in Ukraine signing up to fight Russia.,meter-false,politifact
46,Ukraine was responsible for the Kramatorsk train station bombing.,Ukraine was responsible for the Kramatorsk train station bombing.,meter-false,politifact
47,Photo of injured Ukrainian woman was from 2018 Russia gas explosion.,Photo of injured Ukrainian woman was from 2018 Russia gas explosion.,meter-false,politifact
48,"Says Barack Obama tweeted, “Has anyone checked to make sure Donald Trump doesn’t have a Russian birth certificate?”","Says Barack Obama tweeted, “Has anyone checked to make sure Donald Trump doesn’t have a Russian birth certificate?”",meter-false,politifact
49,"A video taken from a car driving through Bucha, Ukraine, shows a corpse “moving his arm,” and then “in the rear view mirror the ‘corpse’ sits down.”",A video taken from a car driving through Bucha  Ukraine  shows a corpse `` moving his arm. Then `` in the rear view mirror the ` corpse ' sits down. . ''. ,meter-false,politifact
50,Will Smith slapped Chris Rock “to take attention away from Ukraine.”,Will Smith slapped Chris Rock “to take attention away from Ukraine.”,meter-false,politifact
51,The United Nations sent out an email instructing staff not to use the words “invasion” or “war’” when referring to Ukraine.,The United Nations sent out an email instructing staff not to use the words `` '' invasion war '' when referring to Ukraine . The United Nations sent out an email instructing staff not to use the words `` ' invasion war '' when referring to Ukraine . ,meter-true,politifact
52,“The Simpsons” predicted Russia’s invasion of Ukraine.,“The Simpsons” predicted Russia’s invasion of Ukraine.,meter-false,politifact
53,CNN tweeted a picture of a Serbian resort and said it was in Ukraine.,CNN tweeted a picture of a Serbian resort . CNN said it was in Ukraine . ,meter-false,politifact
54,"The Russian airstrike on a maternity hospital in Mariupol, Ukraine, had “the makings of yet another false flag operation” led by the U.S.","The Russian airstrike on a maternity hospital in Mariupol, Ukraine, had “the makings of yet another false flag operation” led by the U.S.",meter-false,politifact
55,“Ukraine has been shooting residents of Donetsk and Lugansk just because they wanted to speak Russian.”,“Ukraine has been shooting residents of Donetsk and Lugansk just because they wanted to speak Russian.”,meter-false,politifact
56,Russian President Vladimir Putin “was assassinated.”,,meter-false,politifact
57,"“Just a reminder that right before Ukraine was invaded, Hillary was found to be guilty of spying on a sitting U.S. president.”","“Just a reminder that right before Ukraine was invaded, Hillary was found to be guilty of spying on a sitting U.S. president.”",meter-false,politifact
58,“Putin Vows to ‘Crush’ Child Traffickers in Ukraine”,“Putin Vows to ‘Crush’ Child Traffickers in Ukraine”,meter-false,politifact
59,"""What is happening here is not so different from what we're seeing happening in Russia, where you have got state TV and controlled messaging across the board.""",`` What is happening here is not so different from what we 're seeing happening in Russia  where you have got state TV . '' `` What is happening here is not so different from what we 're seeing happening in Russia  where you have controlled messaging across the board . '' ,meter-false,politifact
60,“A West Virginia inspection sticker on an Uber” proves the car was not in Ukraine.,“A West Virginia inspection sticker on an Uber” proves the car was not in Ukraine.,meter-false,politifact
61,"A recent on-air protest can’t be real because ""there are no live on air television broadcasts in Russia. None. Ever.”",A recent on-air protest can ' t be real   `` there are no live on air television broadcasts in Russia . None . Ever . '' ,meter-false,politifact
62,A video shows current “leaked footage of heavy war between Russia vs Ukraine”,A video shows current “leaked footage of heavy war between Russia vs Ukraine”,meter-false,politifact
63,“Wladimir Klitschko has auctioned off his 1996 Atlanta Olympic Games gold medal to raise money for the children of Ukraine.”,“Wladimir Klitschko has auctioned off his 1996 Atlanta Olympic Games gold medal to raise money for the children of Ukraine.”,meter-true,politifact
64,"Classified documents from Ukraine “confirm without a shadow of a doubt” that the Ukraine government was “covertly preparing an offensive operation against Donbas, scheduled for March 2022.”","Classified documents from Ukraine “confirm without a shadow of a doubt” that the Ukraine government was “covertly preparing an offensive operation against Donbas, scheduled for March 2022.”",meter-false,politifact
65,A Ukrainian combat medic who died in February was seen in a video Ukraine President Volodymyr Zelensky posted of his visit to see wounded soldiers.,A Ukrainian combat medic was seen in a video Ukraine President Volodymyr Zelensky posted of his visit to see wounded soldiers . A Ukrainian combat died in February was seen in a video Ukraine President Volodymyr Zelensky posted of his visit to see wounded soldiers . ,meter-false,politifact
66,This video shows “Russian war in Ukraine.”,This video shows “Russian war in Ukraine.”,meter-false,politifact
67,"U.S. imports 1% of its oil from Russia while “Exxon, Chevron, BP and Shell profits are at their highest level in over 7 years.”","U.S. imports 1% of its oil from Russia while “Exxon, Chevron, BP and Shell profits are at their highest level in over 7 years.”",meter-true,politifact
68,"Two years ago we were “drilling our own oil for $27 a barrel.” Now, thanks to Joe Biden, we’re “paying $105 a barrel to Russia.”",,meter-false,politifact
69,Video shows Russian President Vladimir Putin meeting with South Korea’s president.,Video shows Russian President Vladimir Putin meeting with South Korea’s president.,meter-false,politifact
70,"""Ukrainian civilian fleeing Kyiv captures footage of downed Russian tie fighter.""","""Ukrainian civilian fleeing Kyiv captures footage of downed Russian tie fighter.""",meter-false,politifact
71,A Ukrainian TikToker shows how to drive an abandoned Russian armored vehicle.,A Ukrainian TikToker shows how to drive an abandoned Russian armored vehicle.,meter-false,politifact
72,The war in Ukraine is “scripted and staged.”,The war in Ukraine is `` scripted . '' The war in Ukraine is `` staged . '' ,meter-false,politifact
73,Joe Biden's sanctions on Russia “are riddled with loopholes and don't even start for 30 days. They have carve outs for the energy and financial sectors.”,Joe Biden's sanctions on Russia “are riddled with loopholes and don't even start for 30 days. They have carve outs for the energy and financial sectors.”,meter-true,politifact
74,Says Sean Penn’s trip to Ukraine in November is evidence the war is staged.,,meter-false,politifact
75,"""The Russian army does not occupy Ukrainian territory.""","""The Russian army does not occupy Ukrainian territory.""",meter-false,politifact
76,Photos show Ukrainian citizens destroying two Russian tanks with Molotov cocktails in Kyiv.,Photos show Ukrainian citizens destroying two Russian tanks with Molotov cocktails in Kyiv.,meter-false,politifact
77,Video shows Ukrainian soldiers saying goodbye to loved ones amid Russia’s 2022 invasion.,Video shows Ukrainian soldiers saying goodbye to loved ones amid Russia’s 2022 invasion.,meter-false,politifact
78,A photo of a wounded young child was captured in Ukraine in 2022.,A photo of a wounded young child was captured in Ukraine in 2022.,meter-false,politifact
79,"The United States buys ""206,000 barrels of oil a day"" from Russia but ""shut down domestic oil production a year ago.""",The United States buys `` 206000 barrels of oil a day '' from Russia . '' The United States buys `` 206000 barrels of oil a day '' from `` . '' The United States buys `` 206000 barrels of oil a day '' from shut down domestic oil production a year ago . '' ,meter-false,politifact
80,Video shows footage from Russia invading Ukraine.,Video shows footage from Russia invading Ukraine.,meter-false,politifact
81,TikTok video shows Russian soldiers parachuting into Ukraine.,TikTok video shows Russian soldiers parachuting into Ukraine.,meter-false,politifact
82,Ethnic Russians face “genocide perpetrated by the Kyiv regime.”,Ethnic Russians face “genocide perpetrated by the Kyiv regime.”,meter-false,politifact
83,"This ""footage"" shows Russia attacking Ukraine.","This ""footage"" shows Russia attacking Ukraine.",meter-false,politifact
84,"""Ukraine was the No. 1 donor to Hillary Clinton when she was running for president.”","""Ukraine was the No. 1 donor to Hillary Clinton when she was running for president.”",meter-false,politifact
85,“Russia has never attacked anyone throughout its history.”,“Russia has never attacked anyone throughout its history.”,meter-false,politifact
86,"Says Joe Biden risks war with Russia because Vladimir Putin doesn’t “believe in transgender rights.""",Says Joe Biden risks war with Russia   Vladimir Putin doesn ' t `` believe in transgender rights . '' ,meter-false,politifact
87,"Says Joe Biden is “withholding $150 million in aid from Ukraine” to “pressure Ukraine to drop all criminal investigations into him and his son, Hunter.”",Says Joe Biden is `` withholding $ 150 million in aid from Ukraine '' to `` pressure Ukraine to drop all criminal investigations into him . '' Says Joe Biden is `` withholding $ 150 million in aid from Ukraine '' to `` pressure Ukraine to drop all criminal investigations into his son  Hunter . '' ,meter-false,politifact
88,Says Joe Biden is formally listed as criminal suspect in Ukraine case involving his son.,Says Joe Biden is formally listed as criminal suspect in Ukraine case involving his son.,meter-false,politifact
89,"Says President Barack Obama ""signed the medical appliance tax bill that forced companies to outsource manufacturing of masks, gowns, gloves and ventilaors [sic] to China, Europe and Russia to avoid the tax.”","Says President Barack Obama ""signed the medical appliance tax bill that forced companies to outsource manufacturing of masks, gowns, gloves and ventilaors [sic] to China, Europe and Russia to avoid the tax.”",meter-false,politifact
90,"Says Bill Clinton ""gave nukes to North Korea,"" Barack Obama ""gave nukes to Iran,"" and Hillary Clinton ""gave uranium to Russia.""",Says Bill Clinton `` gave nukes to North Korea  '' Barack Obama `` gave nukes to Iran `` gave uranium to Russia . '' Says Bill Clinton `` gave nukes to North Korea  '' Barack Obama `` gave nukes to '' `` gave uranium to Russia . '' Says Bill Clinton `` gave nukes to North Korea  '' Barack Obama `` gave nukes to Hillary Clinton `` gave uranium to Russia . '' ,meter-false,politifact
91,"Says former Ukraine President Petro Poroshenko ""actively worked for Secretary Clinton.""","Says former Ukraine President Petro Poroshenko ""actively worked for Secretary Clinton.""",meter-false,politifact
92,"""Everywhere Marie Yovanovitch went turned bad,"" including Somalia and Ukraine.",`` Everywhere Marie Yovanovitch went turned bad  '' including Somalia . `` Everywhere Marie Yovanovitch went turned bad  '' including Ukraine . ,meter-false,politifact
93,"""The Russians are violating all of the rules, treaties, understandings that they committed to that actually kept the peace in Europe for nearly 70 years.""","""The Russians are violating all of the rules, treaties, understandings that they committed to that actually kept the peace in Europe for nearly 70 years.""",meter-true,politifact
94,"""Barack Obama put a permanent stop on this military aid to the Ukraine - he never allowed it to go.""","""Barack Obama put a permanent stop on this military aid to the Ukraine - he never allowed it to go.""",meter-false,politifact
95,"""Europe and other nations (need to) contribute to Ukraine. Because they’re not doing it. Just the United States. We’re putting up the bulk of the money.""",`` Europe contribute to Ukraine . Because they ' re not doing it . Just the United States . We ' re putting up the bulk of the money . '' `` other nations -LRB- need to -RRB- contribute to Ukraine . Because they ' re not doing it . Just the United States . We ' re putting up the bulk of the money . '' ,meter-false,politifact
96,"Crimea ""was sort of taken away from President Obama. … And he wanted Russia to be out of what was called the G-8. And that was his determination.""","Crimea ""was sort of taken away from President Obama. … And he wanted Russia to be out of what was called the G-8. And that was his determination.""",meter-false,politifact
97,"When Joe Biden’s son Hunter was serving as ""a director to Ukraine’s largest private gas producer,"" the elder Biden ""threatened to withhold $1 BILLION in U.S. aid to Ukraine if they didn’t fire a prosecutor looking into"" the gas company.","When Joe Biden’s son Hunter was serving as ""a director to Ukraine’s largest private gas producer,"" the elder Biden ""threatened to withhold $1 BILLION in U.S. aid to Ukraine if they didn’t fire a prosecutor looking into"" the gas company.",meter-true,politifact
98,"""The reason Russia was in Afghanistan was because terrorists were going into Russia.""",``. The reason Russia was in Afghanistan was. Terrorists were going into Russia. . ''. ,meter-false,politifact
99,"""Russia, Iran, Syria & many others are not happy"" about U.S. troops leaving Syria.","""Russia, Iran, Syria & many others are not happy"" about U.S. troops leaving Syria.",meter-false,politifact
100,"""The Russian state has never interfered ... into internal American affairs including election process.""","""The Russian state has never interfered ... into internal American affairs including election process.""",meter-false,politifact
101,"Says Bernie Sanders was indifferent to Russia's annexation of Crimea because he felt ""they have a lot of Russians anyway.""",Says Bernie Sanders was indifferent to Russia 's annexation of Crimea . '' Says he felt `` they have a lot of Russians anyway . '' ,meter-false,politifact
102,"""Denzel Washington: With Trump we avoided war with Russia and Orwellian Police State""",`` Denzel Washington : With Trump we avoided war with Russia. `` Denzel Washington : With Trump we avoided war with Orwellian Police State. `` Denzel Washington : With Trump we avoided war with ''. ,meter-false,politifact
103,"""This is not the first time (the Russians) have been involved in our elections.""","""This is not the first time (the Russians) have been involved in our elections.""",meter-true,politifact
104,"""The son-in-law of the president met with Russian officials at the Trump Tower after having them come in the back door.""","""The son-in-law of the president met with Russian officials at the Trump Tower after having them come in the back door.""",meter-true,politifact
105,"Says Hillary Clinton ""went toe-to-toe with Russia as secretary of state to do the New START agreement to reduce Russia's nuclear stockpile.""","Says Hillary Clinton ""went toe-to-toe with Russia as secretary of state to do the New START agreement to reduce Russia's nuclear stockpile.""",meter-true,politifact
106,"Says New START, passed while Clinton was secretary of state, is a ""treaty cutting Russia’s nuclear arms.""",Says New START  passed . '' Says New START  Clinton was secretary of state  is a `` treaty cutting Russia ' s nuclear arms . '' ,meter-true,politifact
107,"Russia and China are ""doing naval exercises together someplace.""",Russia are `` doing naval exercises together someplace . '' China are `` doing naval exercises together someplace . '' ,meter-true,politifact
108,"Says Hillary Clinton ""was literally present when we pressed the reset button with Russia just a few months after Russia had invaded Georgia.""","Says Hillary Clinton ""was literally present when we pressed the reset button with Russia just a few months after Russia had invaded Georgia.""",meter-true,politifact
109,"""We lock up close to 2.4 million people in this country. We're locking up more people than China and Russia.""",`` We lock up close to 2.4 million people in this country . We 're locking up more people than China . '' `` We lock up close to 2.4 million people in this country . We 're locking up more people than Russia . '' ,meter-true,politifact
110,"Russia and China ""absolutely said pretty clearly"" they would not keep economic sanctions on Iran if the United States ""walked away from the deal.""",Russia `` absolutely said pretty clearly '' they would not keep economic sanctions on Iran if the United States `` walked away from the deal . '' China `` absolutely said pretty clearly '' they would not keep economic sanctions on Iran if the United States `` walked away from the deal . '' ,meter-true,politifact
111,"""The entirety of North America -- Canada, the United States and Mexico -- there's more known reserves in those three countries than in Russia and Saudi Arabia.""","""The entirety of North America -- Canada, the United States and Mexico -- there's more known reserves in those three countries than in Russia and Saudi Arabia.""",meter-false,politifact
112,"Russia ""has an economy the size of Italy.""",,meter-true,politifact
113,"In the Georgia-Russia conflict, ""we flew a brigade of Georgian soldiers"" from Iran to Georgia and ""sent U.S. ships into the Black Sea and provided various kinds of supplies.""","In the Georgia-Russia conflict, ""we flew a brigade of Georgian soldiers"" from Iran to Georgia and ""sent U.S. ships into the Black Sea and provided various kinds of supplies.""",meter-true,politifact
114,"The United States stopped plans to build a missile defense shield in Eastern Europe ""as a gift to Russia.""",,meter-true,politifact
115,"After Russia went to war with Georgia in 2008, the U.S. sent a ""very strong message"" to Vladimir Putin by sending ""warships to the Black Sea"" and airlifting ""combat troops that Georgia had in Afghanistan"" back to Georgia.",After Russia went to war with Georgia in 2008  the U.S. sent a `` very strong message '' to Vladimir Putin by sending `` warships to the Black Sea '' Airlifting `` combat troops that Georgia had in Afghanistan '' back to Georgia. . ,meter-false,politifact
116,"Says she made an ""accurate prediction"" that if Barack Obama were elected it would encourage Russia to invade Ukraine.","Says she made an ""accurate prediction"" that if Barack Obama were elected it would encourage Russia to invade Ukraine.",meter-true,politifact
117,"""The Russians didn’t wear uniforms when they came in"" to Ukraine.","""The Russians didn’t wear uniforms when they came in"" to Ukraine.",meter-true,politifact
118,"""Crimea became part of Ukraine only in 1954. Crimea was historically part of Russia, and (Nikita) Khrushchev gave it to Ukraine in a gesture that mystified some people.""",``. Crimea became part of Ukraine only in 1954 . Crimea was historically part of Russia -LRB- Nikita -RRB-. Khrushchev gave it to Ukraine in a gesture that mystified some people. . ''. ,meter-true,politifact
119,"Crimea was part of Russia ""until 1954, when it was given to the Soviet Republic of the Ukraine.""","Crimea was part of Russia ""until 1954, when it was given to the Soviet Republic of the Ukraine.""",meter-true,politifact
120,"In the event of a U.S. strike on Syria, ""the Russians will replace the weapons immediately. They’ve said it on the record. They’ve suggested they might even replace it with better stuff.""","In the event of a U.S. strike on Syria, ""the Russians will replace the weapons immediately. They’ve said it on the record. They’ve suggested they might even replace it with better stuff.""",meter-false,politifact
121,"""A few months ago when you were asked what's the biggest geopolitical threat facing America, you said Russia.""","""A few months ago when you were asked what's the biggest geopolitical threat facing America, you said Russia.""",meter-true,politifact
122,"The Obama administration ""called Bashar Assad a reformer when he was turning his Russian-provided guns on his own people.""","The Obama administration ""called Bashar Assad a reformer when he was turning his Russian-provided guns on his own people.""",meter-true,politifact
123,Says Romney called Russia our No. 1 enemy.,Says Romney called Russia our No. 1 enemy.,meter-true,politifact
124,"""Obama tells Russia that he'll turn over America's defense system to them if re-elected.""","""Obama tells Russia that he'll turn over America's defense system to them if re-elected.""",meter-false,politifact
125,"""We're going to have more troops (in Afghanistan) . . . than the Russians had.""","""We're going to have more troops (in Afghanistan) . . . than the Russians had.""",meter-false,politifact
126,"“As the world rallies around Ukraine, Mike Lee was one of only two senators to oppose sanctions on Putin. Then he flew to the Kremlin and discussed dropping sanctions. Lee even opposed arming Ukrainians fighting for their lives.”",`` As the world rallies around Ukraine  Mike Lee was one of only two senators to oppose sanctions on Putin . Then he flew to the Kremlin . Lee even opposed arming Ukrainians fighting for their lives . '' `` As the world rallies around Ukraine  Mike Lee was one of only two senators to oppose sanctions on Putin . Then he discussed dropping sanctions . Lee even opposed arming Ukrainians fighting for their lives . '' ,meter-false,politifact
127,"""Not once in his entire career in Washington, D.C., which started way back in 1991, has Democratic Socialist Bernie Sanders ever voted yes on sanctions against Russia.""",`` Not once in his entire career in Washington  D.C.   has Democratic Socialist Bernie Sanders ever voted yes on sanctions against Russia . '' `` started way back in 1991  has Democratic Socialist Bernie Sanders ever voted yes on sanctions against Russia . '' ,meter-true,politifact
128,"""I have been much tougher on Russia than Obama, just look at the facts. Total Fake News!""","""I have been much tougher on Russia than Obama, just look at the facts. Total Fake News!""",meter-false,politifact
129,"""I never said Russia did not meddle in the election.""","""I never said Russia did not meddle in the election.""",meter-false,politifact
130,"Says Russian President Vladimir Putin said Pope Francis ""is not a man of God.""","Says Russian President Vladimir Putin said Pope Francis ""is not a man of God.""",meter-false,politifact
131,"Says Barack Obama found out about Russia ""in August. Now, the election was in November. That's a lot of time. He did nothing about it.""","Says Barack Obama found out about Russia ""in August. Now, the election was in November. That's a lot of time. He did nothing about it.""",meter-false,politifact
132,"""If Russia, or some other entity, was hacking, why did the White House wait so long to act? Why did they only complain after Hillary lost?""",`` If Russia was hacking  why did the White House wait so long to act ? Why did they only complain after Hillary lost ? ''. `` If some other entity was hacking  why did the White House wait so long to act ? Why did they only complain after Hillary lost ? ''. ,meter-false,politifact
133,"Says the Obama administration invited ""Russia into Syria.""","Says the Obama administration invited ""Russia into Syria.""",meter-false,politifact
134,"Says American polling shows Russian President Vladimir Putin has ""an 80 percent approval rating.""","Says American polling shows Russian President Vladimir Putin has ""an 80 percent approval rating.""",meter-true,politifact
135,"Photo shows “Russian soldiers with a Ukrainian girl, celebrating their human trophy.”","Photo shows “Russian soldiers with a Ukrainian girl, celebrating their human trophy.”",meter-false,politifact
136,"CNN staged a fire in Edmonton, Canada, and claimed it was filmed in Ukraine.",CNN staged a fire in Edmonton  Canada  . CNN claimed it was filmed in Ukraine . ,meter-false,politifact
137,“Putin bombs Biden-owned villa in Ukraine while hammering biolabs & pedophile rings.”,`` Putin bombs Biden-owned villa in Ukraine . '' `` Putin bombs Biden-owned villa in hammering biolabs & pedophile rings . '' ,meter-false,politifact
138,"A 2022 CNN report said, “Russia deploys two nuke bombers in US backyard, Venezuela.”","A 2022 CNN report said, “Russia deploys two nuke bombers in US backyard, Venezuela.”",meter-false,politifact
139,"""An 8-year-old Ukrainian girl confronts a Russian soldier telling him to go back to his country.”","""An 8-year-old Ukrainian girl confronts a Russian soldier telling him to go back to his country.”",meter-false,politifact
140,“We have doubled our (oil) imports from Russia in the last year.”,“We have doubled our (oil) imports from Russia in the last year.”,meter-false,politifact
141,A photo showing young children saluting troops was captured in Ukraine in 2022.,A photo showing young children saluting troops was captured in Ukraine in 2022.,meter-false,politifact
142,Actor Steven Seagal spotted among Russian special forces in Ukraine,Actor Steven Seagal spotted among Russian special forces in Ukraine,meter-false,politifact
143,A 2022 video shows “Ukrainian and Russian soldiers face to face.”,A 2022 video shows `` Ukrainian soldiers face to face . '' A 2022 video shows Russian soldiers face to face . '' ,meter-false,politifact
144,A photo shows a Russian warplane under attack.,A photo shows a Russian warplane under attack.,meter-false,politifact
145,"“Durham’s documents show that Hillary Clinton hired people who hacked into Trump’s home and office computers” and “planted evidence, fabricated evidence connecting Trump to Russia.”","“Durham’s documents show that Hillary Clinton hired people who hacked into Trump’s home and office computers” and “planted evidence, fabricated evidence connecting Trump to Russia.”",meter-false,politifact
146,“Biden invested the entire family fortune in Ukraine gas and oil. Then shuts down Keystone pipeline. Starting to get the picture.”,`` Biden invested the entire family fortune in Ukraine gas . Then shuts down Keystone pipeline . Starting to get the picture . '' `` Biden invested the entire family fortune in Ukraine oil . Then shuts down Keystone pipeline . Starting to get the picture . '' ,meter-false,politifact
