,claim,truth_value,source
37,"In Ukraine, the theft and homicide levels rose due to power outages",meter-false,vox-ukraine
38,Ukrainians beat two Berlin residents for speaking in russian,meter-false,vox-ukraine
39,A quote from Paul Goebbels about the Banderites,meter-false,vox-ukraine
40,The “Culture of good neighborliness” course for Ukrainian schoolchildren promotes gender and sexual orientation change,meter-false,vox-ukraine
41,US research in Ukraine led to an increase in the incidence of tick-borne borreliosis in Ukraine and an increase in the number of ticks in russia,meter-false,vox-ukraine
42,"In Chile, the law on the rights of “mutants” and genetically modified people has been approved – Ostap Stakhiv",meter-false,vox-ukraine
43,The COVID-19 incidence rate became zero in late May 2022,meter-false,vox-ukraine
44,"The risk of death among children vaccinated against COVID-19 is 52 times greater, says ONS",meter-false,vox-ukraine
45,Provocation and Disinformation Overview,meter-false,vox-ukraine
46,"In Ukraine, the theft and homicide levels rose due to power outages",meter-false,vox-ukraine
47,Ukrainians beat two Berlin residents for speaking in russian,meter-false,vox-ukraine
48,A quote from Paul Goebbels about the Banderites,meter-false,vox-ukraine
49,The “Culture of good neighborliness” course for Ukrainian schoolchildren promotes gender and sexual orientation change,meter-false,vox-ukraine
50,US research in Ukraine led to an increase in the incidence of tick-borne borreliosis in Ukraine and an increase in the number of ticks in russia,meter-false,vox-ukraine
51,"In Chile, the law on the rights of “mutants” and genetically modified people has been approved – Ostap Stakhiv",meter-false,vox-ukraine
52,The COVID-19 incidence rate became zero in late May 2022,meter-false,vox-ukraine
53,"The risk of death among children vaccinated against COVID-19 is 52 times greater, says ONS",meter-false,vox-ukraine
54,Provocation and Disinformation Overview,meter-false,vox-ukraine
55,"In Ukraine, the theft and homicide levels rose due to power outages",meter-false,vox-ukraine
56,Ukrainians beat two Berlin residents for speaking in russian,meter-false,vox-ukraine
57,A quote from Paul Goebbels about the Banderites,meter-false,vox-ukraine
58,The “Culture of good neighborliness” course for Ukrainian schoolchildren promotes gender and sexual orientation change,meter-false,vox-ukraine
59,US research in Ukraine led to an increase in the incidence of tick-borne borreliosis in Ukraine and an increase in the number of ticks in russia,meter-false,vox-ukraine
60,"In Chile, the law on the rights of “mutants” and genetically modified people has been approved – Ostap Stakhiv",meter-false,vox-ukraine
61,The COVID-19 incidence rate became zero in late May 2022,meter-false,vox-ukraine
62,"The risk of death among children vaccinated against COVID-19 is 52 times greater, says ONS",meter-false,vox-ukraine
63,Provocation and Disinformation Overview,meter-false,vox-ukraine
64,"In Ukraine, the theft and homicide levels rose due to power outages",meter-false,vox-ukraine
65,Ukrainians beat two Berlin residents for speaking in russian,meter-false,vox-ukraine
66,A quote from Paul Goebbels about the Banderites,meter-false,vox-ukraine
67,The “Culture of good neighborliness” course for Ukrainian schoolchildren promotes gender and sexual orientation change,meter-false,vox-ukraine
68,US research in Ukraine led to an increase in the incidence of tick-borne borreliosis in Ukraine and an increase in the number of ticks in russia,meter-false,vox-ukraine
69,"In Chile, the law on the rights of “mutants” and genetically modified people has been approved – Ostap Stakhiv",meter-false,vox-ukraine
70,The COVID-19 incidence rate became zero in late May 2022,meter-false,vox-ukraine
71,"The risk of death among children vaccinated against COVID-19 is 52 times greater, says ONS",meter-false,vox-ukraine
72,Provocation and Disinformation Overview,meter-false,vox-ukraine
73,"In Ukraine, the theft and homicide levels rose due to power outages",meter-false,vox-ukraine
74,Ukrainians beat two Berlin residents for speaking in russian,meter-false,vox-ukraine
75,A quote from Paul Goebbels about the Banderites,meter-false,vox-ukraine
76,The “Culture of good neighborliness” course for Ukrainian schoolchildren promotes gender and sexual orientation change,meter-false,vox-ukraine
77,US research in Ukraine led to an increase in the incidence of tick-borne borreliosis in Ukraine and an increase in the number of ticks in russia,meter-false,vox-ukraine
78,"In Chile, the law on the rights of “mutants” and genetically modified people has been approved – Ostap Stakhiv",meter-false,vox-ukraine
79,The COVID-19 incidence rate became zero in late May 2022,meter-false,vox-ukraine
80,"The risk of death among children vaccinated against COVID-19 is 52 times greater, says ONS",meter-false,vox-ukraine
81,Provocation and Disinformation Overview,meter-false,vox-ukraine
82,"In Ukraine, the theft and homicide levels rose due to power outages",meter-false,vox-ukraine
83,Ukrainians beat two Berlin residents for speaking in russian,meter-false,vox-ukraine
84,A quote from Paul Goebbels about the Banderites,meter-false,vox-ukraine
85,The “Culture of good neighborliness” course for Ukrainian schoolchildren promotes gender and sexual orientation change,meter-false,vox-ukraine
86,US research in Ukraine led to an increase in the incidence of tick-borne borreliosis in Ukraine and an increase in the number of ticks in russia,meter-false,vox-ukraine
87,"In Chile, the law on the rights of “mutants” and genetically modified people has been approved – Ostap Stakhiv",meter-false,vox-ukraine
88,The COVID-19 incidence rate became zero in late May 2022,meter-false,vox-ukraine
89,"The risk of death among children vaccinated against COVID-19 is 52 times greater, says ONS",meter-false,vox-ukraine
90,Provocation and Disinformation Overview,meter-false,vox-ukraine
91,"In Ukraine, the theft and homicide levels rose due to power outages",meter-false,vox-ukraine
92,Ukrainians beat two Berlin residents for speaking in russian,meter-false,vox-ukraine
93,A quote from Paul Goebbels about the Banderites,meter-false,vox-ukraine
94,The “Culture of good neighborliness” course for Ukrainian schoolchildren promotes gender and sexual orientation change,meter-false,vox-ukraine
95,US research in Ukraine led to an increase in the incidence of tick-borne borreliosis in Ukraine and an increase in the number of ticks in russia,meter-false,vox-ukraine
96,"In Chile, the law on the rights of “mutants” and genetically modified people has been approved – Ostap Stakhiv",meter-false,vox-ukraine
97,The COVID-19 incidence rate became zero in late May 2022,meter-false,vox-ukraine
98,"The risk of death among children vaccinated against COVID-19 is 52 times greater, says ONS",meter-false,vox-ukraine
99,Provocation and Disinformation Overview,meter-false,vox-ukraine
100,"In Ukraine, the theft and homicide levels rose due to power outages",meter-false,vox-ukraine
101,Ukrainians beat two Berlin residents for speaking in russian,meter-false,vox-ukraine
102,A quote from Paul Goebbels about the Banderites,meter-false,vox-ukraine
103,The “Culture of good neighborliness” course for Ukrainian schoolchildren promotes gender and sexual orientation change,meter-false,vox-ukraine
104,US research in Ukraine led to an increase in the incidence of tick-borne borreliosis in Ukraine and an increase in the number of ticks in russia,meter-false,vox-ukraine
105,"In Chile, the law on the rights of “mutants” and genetically modified people has been approved – Ostap Stakhiv",meter-false,vox-ukraine
106,The COVID-19 incidence rate became zero in late May 2022,meter-false,vox-ukraine
107,"The risk of death among children vaccinated against COVID-19 is 52 times greater, says ONS",meter-false,vox-ukraine
108,Provocation and Disinformation Overview,meter-false,vox-ukraine
109,"In Ukraine, the theft and homicide levels rose due to power outages",meter-false,vox-ukraine
110,Ukrainians beat two Berlin residents for speaking in russian,meter-false,vox-ukraine
111,A quote from Paul Goebbels about the Banderites,meter-false,vox-ukraine
112,The “Culture of good neighborliness” course for Ukrainian schoolchildren promotes gender and sexual orientation change,meter-false,vox-ukraine
113,US research in Ukraine led to an increase in the incidence of tick-borne borreliosis in Ukraine and an increase in the number of ticks in russia,meter-false,vox-ukraine
114,"In Chile, the law on the rights of “mutants” and genetically modified people has been approved – Ostap Stakhiv",meter-false,vox-ukraine
115,The COVID-19 incidence rate became zero in late May 2022,meter-false,vox-ukraine
116,"The risk of death among children vaccinated against COVID-19 is 52 times greater, says ONS",meter-false,vox-ukraine
117,Provocation and Disinformation Overview,meter-false,vox-ukraine
118,"In Ukraine, the theft and homicide levels rose due to power outages",meter-false,vox-ukraine
119,Ukrainians beat two Berlin residents for speaking in russian,meter-false,vox-ukraine
120,A quote from Paul Goebbels about the Banderites,meter-false,vox-ukraine
121,The “Culture of good neighborliness” course for Ukrainian schoolchildren promotes gender and sexual orientation change,meter-false,vox-ukraine
122,US research in Ukraine led to an increase in the incidence of tick-borne borreliosis in Ukraine and an increase in the number of ticks in russia,meter-false,vox-ukraine
123,"In Chile, the law on the rights of “mutants” and genetically modified people has been approved – Ostap Stakhiv",meter-false,vox-ukraine
124,The COVID-19 incidence rate became zero in late May 2022,meter-false,vox-ukraine
125,"The risk of death among children vaccinated against COVID-19 is 52 times greater, says ONS",meter-false,vox-ukraine
126,Provocation and Disinformation Overview,meter-false,vox-ukraine
127,"In Ukraine, the theft and homicide levels rose due to power outages",meter-false,vox-ukraine
128,Ukrainians beat two Berlin residents for speaking in russian,meter-false,vox-ukraine
129,A quote from Paul Goebbels about the Banderites,meter-false,vox-ukraine
130,The “Culture of good neighborliness” course for Ukrainian schoolchildren promotes gender and sexual orientation change,meter-false,vox-ukraine
131,US research in Ukraine led to an increase in the incidence of tick-borne borreliosis in Ukraine and an increase in the number of ticks in russia,meter-false,vox-ukraine
132,"In Chile, the law on the rights of “mutants” and genetically modified people has been approved – Ostap Stakhiv",meter-false,vox-ukraine
133,The COVID-19 incidence rate became zero in late May 2022,meter-false,vox-ukraine
134,"The risk of death among children vaccinated against COVID-19 is 52 times greater, says ONS",meter-false,vox-ukraine
135,Provocation and Disinformation Overview,meter-false,vox-ukraine
136,"In Ukraine, the theft and homicide levels rose due to power outages",meter-false,vox-ukraine
137,Ukrainians beat two Berlin residents for speaking in russian,meter-false,vox-ukraine
138,A quote from Paul Goebbels about the Banderites,meter-false,vox-ukraine
139,The “Culture of good neighborliness” course for Ukrainian schoolchildren promotes gender and sexual orientation change,meter-false,vox-ukraine
140,US research in Ukraine led to an increase in the incidence of tick-borne borreliosis in Ukraine and an increase in the number of ticks in russia,meter-false,vox-ukraine
141,"In Chile, the law on the rights of “mutants” and genetically modified people has been approved – Ostap Stakhiv",meter-false,vox-ukraine
142,The COVID-19 incidence rate became zero in late May 2022,meter-false,vox-ukraine
143,"The risk of death among children vaccinated against COVID-19 is 52 times greater, says ONS",meter-false,vox-ukraine
144,Provocation and Disinformation Overview,meter-false,vox-ukraine
145,"In Ukraine, the theft and homicide levels rose due to power outages",meter-false,vox-ukraine
146,Ukrainians beat two Berlin residents for speaking in russian,meter-false,vox-ukraine
147,A quote from Paul Goebbels about the Banderites,meter-false,vox-ukraine
148,The “Culture of good neighborliness” course for Ukrainian schoolchildren promotes gender and sexual orientation change,meter-false,vox-ukraine
149,US research in Ukraine led to an increase in the incidence of tick-borne borreliosis in Ukraine and an increase in the number of ticks in russia,meter-false,vox-ukraine
150,"In Chile, the law on the rights of “mutants” and genetically modified people has been approved – Ostap Stakhiv",meter-false,vox-ukraine
151,The COVID-19 incidence rate became zero in late May 2022,meter-false,vox-ukraine
152,"The risk of death among children vaccinated against COVID-19 is 52 times greater, says ONS",meter-false,vox-ukraine
153,Provocation and Disinformation Overview,meter-false,vox-ukraine
154,"In Ukraine, the theft and homicide levels rose due to power outages",meter-false,vox-ukraine
155,Ukrainians beat two Berlin residents for speaking in russian,meter-false,vox-ukraine
156,A quote from Paul Goebbels about the Banderites,meter-false,vox-ukraine
157,The “Culture of good neighborliness” course for Ukrainian schoolchildren promotes gender and sexual orientation change,meter-false,vox-ukraine
158,US research in Ukraine led to an increase in the incidence of tick-borne borreliosis in Ukraine and an increase in the number of ticks in russia,meter-false,vox-ukraine
159,"In Chile, the law on the rights of “mutants” and genetically modified people has been approved – Ostap Stakhiv",meter-false,vox-ukraine
160,The COVID-19 incidence rate became zero in late May 2022,meter-false,vox-ukraine
161,"The risk of death among children vaccinated against COVID-19 is 52 times greater, says ONS",meter-false,vox-ukraine
162,Provocation and Disinformation Overview,meter-false,vox-ukraine
163,"In Ukraine, the theft and homicide levels rose due to power outages",meter-false,vox-ukraine
164,Ukrainians beat two Berlin residents for speaking in russian,meter-false,vox-ukraine
165,A quote from Paul Goebbels about the Banderites,meter-false,vox-ukraine
166,The “Culture of good neighborliness” course for Ukrainian schoolchildren promotes gender and sexual orientation change,meter-false,vox-ukraine
167,US research in Ukraine led to an increase in the incidence of tick-borne borreliosis in Ukraine and an increase in the number of ticks in russia,meter-false,vox-ukraine
168,"In Chile, the law on the rights of “mutants” and genetically modified people has been approved – Ostap Stakhiv",meter-false,vox-ukraine
169,The COVID-19 incidence rate became zero in late May 2022,meter-false,vox-ukraine
170,"The risk of death among children vaccinated against COVID-19 is 52 times greater, says ONS",meter-false,vox-ukraine
171,Provocation and Disinformation Overview,meter-false,vox-ukraine
172,"In Ukraine, the theft and homicide levels rose due to power outages",meter-false,vox-ukraine
173,Ukrainians beat two Berlin residents for speaking in russian,meter-false,vox-ukraine
174,A quote from Paul Goebbels about the Banderites,meter-false,vox-ukraine
175,The “Culture of good neighborliness” course for Ukrainian schoolchildren promotes gender and sexual orientation change,meter-false,vox-ukraine
176,US research in Ukraine led to an increase in the incidence of tick-borne borreliosis in Ukraine and an increase in the number of ticks in russia,meter-false,vox-ukraine
177,"In Chile, the law on the rights of “mutants” and genetically modified people has been approved – Ostap Stakhiv",meter-false,vox-ukraine
178,The COVID-19 incidence rate became zero in late May 2022,meter-false,vox-ukraine
179,"The risk of death among children vaccinated against COVID-19 is 52 times greater, says ONS",meter-false,vox-ukraine
180,Provocation and Disinformation Overview,meter-false,vox-ukraine
181,"In Ukraine, the theft and homicide levels rose due to power outages",meter-false,vox-ukraine
182,Ukrainians beat two Berlin residents for speaking in russian,meter-false,vox-ukraine
183,A quote from Paul Goebbels about the Banderites,meter-false,vox-ukraine
184,The “Culture of good neighborliness” course for Ukrainian schoolchildren promotes gender and sexual orientation change,meter-false,vox-ukraine
185,US research in Ukraine led to an increase in the incidence of tick-borne borreliosis in Ukraine and an increase in the number of ticks in russia,meter-false,vox-ukraine
186,"In Chile, the law on the rights of “mutants” and genetically modified people has been approved – Ostap Stakhiv",meter-false,vox-ukraine
187,The COVID-19 incidence rate became zero in late May 2022,meter-false,vox-ukraine
188,"The risk of death among children vaccinated against COVID-19 is 52 times greater, says ONS",meter-false,vox-ukraine
189,Provocation and Disinformation Overview,meter-false,vox-ukraine
190,"In Ukraine, the theft and homicide levels rose due to power outages",meter-false,vox-ukraine
191,Ukrainians beat two Berlin residents for speaking in russian,meter-false,vox-ukraine
192,A quote from Paul Goebbels about the Banderites,meter-false,vox-ukraine
193,The “Culture of good neighborliness” course for Ukrainian schoolchildren promotes gender and sexual orientation change,meter-false,vox-ukraine
194,US research in Ukraine led to an increase in the incidence of tick-borne borreliosis in Ukraine and an increase in the number of ticks in russia,meter-false,vox-ukraine
195,"In Chile, the law on the rights of “mutants” and genetically modified people has been approved – Ostap Stakhiv",meter-false,vox-ukraine
196,The COVID-19 incidence rate became zero in late May 2022,meter-false,vox-ukraine
197,"The risk of death among children vaccinated against COVID-19 is 52 times greater, says ONS",meter-false,vox-ukraine
198,Provocation and Disinformation Overview,meter-false,vox-ukraine
199,"In Ukraine, the theft and homicide levels rose due to power outages",meter-false,vox-ukraine
200,Ukrainians beat two Berlin residents for speaking in russian,meter-false,vox-ukraine
201,A quote from Paul Goebbels about the Banderites,meter-false,vox-ukraine
202,The “Culture of good neighborliness” course for Ukrainian schoolchildren promotes gender and sexual orientation change,meter-false,vox-ukraine
203,US research in Ukraine led to an increase in the incidence of tick-borne borreliosis in Ukraine and an increase in the number of ticks in russia,meter-false,vox-ukraine
204,"In Chile, the law on the rights of “mutants” and genetically modified people has been approved – Ostap Stakhiv",meter-false,vox-ukraine
205,The COVID-19 incidence rate became zero in late May 2022,meter-false,vox-ukraine
206,"The risk of death among children vaccinated against COVID-19 is 52 times greater, says ONS",meter-false,vox-ukraine
207,Provocation and Disinformation Overview,meter-false,vox-ukraine
208,"In Ukraine, the theft and homicide levels rose due to power outages",meter-false,vox-ukraine
209,Ukrainians beat two Berlin residents for speaking in russian,meter-false,vox-ukraine
210,A quote from Paul Goebbels about the Banderites,meter-false,vox-ukraine
211,The “Culture of good neighborliness” course for Ukrainian schoolchildren promotes gender and sexual orientation change,meter-false,vox-ukraine
212,US research in Ukraine led to an increase in the incidence of tick-borne borreliosis in Ukraine and an increase in the number of ticks in russia,meter-false,vox-ukraine
213,"In Chile, the law on the rights of “mutants” and genetically modified people has been approved – Ostap Stakhiv",meter-false,vox-ukraine
214,The COVID-19 incidence rate became zero in late May 2022,meter-false,vox-ukraine
215,"The risk of death among children vaccinated against COVID-19 is 52 times greater, says ONS",meter-false,vox-ukraine
216,Provocation and Disinformation Overview,meter-false,vox-ukraine
217,"In Ukraine, the theft and homicide levels rose due to power outages",meter-false,vox-ukraine
218,Ukrainians beat two Berlin residents for speaking in russian,meter-false,vox-ukraine
219,A quote from Paul Goebbels about the Banderites,meter-false,vox-ukraine
220,The “Culture of good neighborliness” course for Ukrainian schoolchildren promotes gender and sexual orientation change,meter-false,vox-ukraine
221,US research in Ukraine led to an increase in the incidence of tick-borne borreliosis in Ukraine and an increase in the number of ticks in russia,meter-false,vox-ukraine
222,"In Chile, the law on the rights of “mutants” and genetically modified people has been approved – Ostap Stakhiv",meter-false,vox-ukraine
223,The COVID-19 incidence rate became zero in late May 2022,meter-false,vox-ukraine
224,"The risk of death among children vaccinated against COVID-19 is 52 times greater, says ONS",meter-false,vox-ukraine
225,Provocation and Disinformation Overview,meter-false,vox-ukraine
226,"In Ukraine, the theft and homicide levels rose due to power outages",meter-false,vox-ukraine
227,Ukrainians beat two Berlin residents for speaking in russian,meter-false,vox-ukraine
228,A quote from Paul Goebbels about the Banderites,meter-false,vox-ukraine
229,The “Culture of good neighborliness” course for Ukrainian schoolchildren promotes gender and sexual orientation change,meter-false,vox-ukraine
230,US research in Ukraine led to an increase in the incidence of tick-borne borreliosis in Ukraine and an increase in the number of ticks in russia,meter-false,vox-ukraine
231,"In Chile, the law on the rights of “mutants” and genetically modified people has been approved – Ostap Stakhiv",meter-false,vox-ukraine
232,The COVID-19 incidence rate became zero in late May 2022,meter-false,vox-ukraine
233,"The risk of death among children vaccinated against COVID-19 is 52 times greater, says ONS",meter-false,vox-ukraine
234,Provocation and Disinformation Overview,meter-false,vox-ukraine
235,Russia’s Army was “destroyed.”,meter-false,politifact
236,The war in Ukraine is “all over.”,meter-false,politifact
237,“Gas prices are down back to where they were before Russia invaded Ukraine.”,meter-true,politifact
238,"Images of a woman having bloody makeup applied show ""fake combatant photos” in Ukraine.",meter-false,politifact
239,U.S. tax dollars sent to help Ukraine were laundered back by cryptocurrency firm FTX to help Democrats in midterms.,meter-false,politifact
240,"President Joe Biden and Democrats ""send a fortune to Ukraine but nothing for our children.""",meter-false,politifact
241,“Ukraine has a nuclear bomb primed in Mykolaiv.”,meter-false,politifact
242,Video clips show staged war footage from Ukraine.,meter-false,politifact
243,A CNN headline shows Uganda’s president saying he doesn’t support Ukraine because it would be “disgusting.”,meter-false,politifact
244,North Korea has taken military action against Russia.,meter-false,politifact
245,“The Russian army has surrendered in Donetsk!”,meter-false,politifact
246,"“North Korea sent more than 100,000 troops to Russia for the Ukraine War!”",meter-false,politifact
247,“Chinese military convoy enters Ukraine from Russia.”,meter-false,politifact
248,"""Russia is becoming the first country to break ties with the Antarctic Treaty.""",meter-false,politifact
249,Russia “has not lost anything” in its invasion of Ukraine.,meter-false,politifact
250,“The Russian army is withdrawing from Ukraine!” in September 2022,meter-false,politifact
251,“US Army in Ukraine.”,meter-false,politifact
252,"“Putin humiliatingly blows up all weapons and facilities"" on Snake Island by retreating Russian troops.",meter-false,politifact
253,Video shows Russian artillery tanks “completely destroyed by Bayraktar TB2 drones” on July 2.,meter-false,politifact
254,Video shows Ukrainian soldiers shooting down Russian helicopters.,meter-false,politifact
255,"With the $53 billion spent in Ukraine aid, the U.S. “could pay five SWAT members $80,000 each and have them at EVERY school front door.”",meter-true,politifact
256,Video shows “Russian desert base and infrastructure hit by Bayraktar TB2 drone.”,meter-false,politifact
257,“J.D. Vance profits off Russia propaganda.”,meter-true,politifact
258,Video shows a “Russian pilot” escaping from jets and a Russian aircraft getting hit by a missile.,meter-false,politifact
259,Video shows “Russian tank column totally destroyed by attack helicopter.”,meter-false,politifact
260,Video shows helicopters in Ukraine “being picked off in ambush - Short range air-to-air missile”,meter-false,politifact
261,“Soldiers destroyed Russian tank with NLAW in ambush.”,meter-false,politifact
262,A recent photo shows the “Russian Orthodox Church blessing a rocket called Satan.”,meter-false,politifact
263,"Says video shows ""Ukrainian forces shoot down Russian plane carrying hundreds (of) troops on Kyiv airport.""",meter-false,politifact
264,“Space X’s Starlink internet constellation has angered Russia as it was reported that the Starlink satellite constellation was used to guide the fire” on the Russian ship Moskva.,meter-false,politifact
265,"“War Begins — F-35, F-16 and MiG-29 NATO intercept and destroy Russia Jets in Polish air space.”",meter-false,politifact
266,Photo of unbroken windows proves war in Ukraine is fake.,meter-false,politifact
267,Videos show that Ukraine President Volodymyr Zelenskyy uses cocaine.,meter-false,politifact
268,A video shows the Russian warship Moskva exploding.,meter-false,politifact
269,"""America (is) trying to overthrow the Ukraine government just as the shadow government has infiltrated and overthrown the US government.""",meter-false,politifact
270,"After Russia invaded Ukraine, Google Maps “opened all military and strategic facilities in Russia.”",meter-false,politifact
271,"Vladimir Putin “released 35,000 children from tunnels and subway in Ukraine.”",meter-false,politifact
272,CNN tweeted about “brave children” in Ukraine signing up to fight Russia.,meter-false,politifact
273,Ukraine was responsible for the Kramatorsk train station bombing.,meter-false,politifact
274,Photo of injured Ukrainian woman was from 2018 Russia gas explosion.,meter-false,politifact
275,"Says Barack Obama tweeted, “Has anyone checked to make sure Donald Trump doesn’t have a Russian birth certificate?”",meter-false,politifact
276,"A video taken from a car driving through Bucha, Ukraine, shows a corpse “moving his arm,” and then “in the rear view mirror the ‘corpse’ sits down.”",meter-false,politifact
277,Will Smith slapped Chris Rock “to take attention away from Ukraine.”,meter-false,politifact
278,The United Nations sent out an email instructing staff not to use the words “invasion” or “war’” when referring to Ukraine.,meter-true,politifact
279,“The Simpsons” predicted Russia’s invasion of Ukraine.,meter-false,politifact
280,CNN tweeted a picture of a Serbian resort and said it was in Ukraine.,meter-false,politifact
281,"The Russian airstrike on a maternity hospital in Mariupol, Ukraine, had “the makings of yet another false flag operation” led by the U.S.",meter-false,politifact
282,“Ukraine has been shooting residents of Donetsk and Lugansk just because they wanted to speak Russian.”,meter-false,politifact
283,Russian President Vladimir Putin “was assassinated.”,meter-false,politifact
284,"“Just a reminder that right before Ukraine was invaded, Hillary was found to be guilty of spying on a sitting U.S. president.”",meter-false,politifact
285,“Putin Vows to ‘Crush’ Child Traffickers in Ukraine”,meter-false,politifact
286,"""What is happening here is not so different from what we're seeing happening in Russia, where you have got state TV and controlled messaging across the board.""",meter-false,politifact
287,“A West Virginia inspection sticker on an Uber” proves the car was not in Ukraine.,meter-false,politifact
288,"A recent on-air protest can’t be real because ""there are no live on air television broadcasts in Russia. None. Ever.”",meter-false,politifact
289,A video shows current “leaked footage of heavy war between Russia vs Ukraine”,meter-false,politifact
290,“Wladimir Klitschko has auctioned off his 1996 Atlanta Olympic Games gold medal to raise money for the children of Ukraine.”,meter-true,politifact
291,"Classified documents from Ukraine “confirm without a shadow of a doubt” that the Ukraine government was “covertly preparing an offensive operation against Donbas, scheduled for March 2022.”",meter-false,politifact
292,A Ukrainian combat medic who died in February was seen in a video Ukraine President Volodymyr Zelensky posted of his visit to see wounded soldiers.,meter-false,politifact
293,This video shows “Russian war in Ukraine.”,meter-false,politifact
294,"U.S. imports 1% of its oil from Russia while “Exxon, Chevron, BP and Shell profits are at their highest level in over 7 years.”",meter-true,politifact
295,"Two years ago we were “drilling our own oil for $27 a barrel.” Now, thanks to Joe Biden, we’re “paying $105 a barrel to Russia.”",meter-false,politifact
296,Video shows Russian President Vladimir Putin meeting with South Korea’s president.,meter-false,politifact
297,"""Ukrainian civilian fleeing Kyiv captures footage of downed Russian tie fighter.""",meter-false,politifact
298,A Ukrainian TikToker shows how to drive an abandoned Russian armored vehicle.,meter-false,politifact
299,The war in Ukraine is “scripted and staged.”,meter-false,politifact
300,Joe Biden's sanctions on Russia “are riddled with loopholes and don't even start for 30 days. They have carve outs for the energy and financial sectors.”,meter-true,politifact
301,Says Sean Penn’s trip to Ukraine in November is evidence the war is staged.,meter-false,politifact
302,"""The Russian army does not occupy Ukrainian territory.""",meter-false,politifact
303,Photos show Ukrainian citizens destroying two Russian tanks with Molotov cocktails in Kyiv.,meter-false,politifact
304,Video shows Ukrainian soldiers saying goodbye to loved ones amid Russia’s 2022 invasion.,meter-false,politifact
305,A photo of a wounded young child was captured in Ukraine in 2022.,meter-false,politifact
306,"The United States buys ""206,000 barrels of oil a day"" from Russia but ""shut down domestic oil production a year ago.""",meter-false,politifact
307,Video shows footage from Russia invading Ukraine.,meter-false,politifact
308,TikTok video shows Russian soldiers parachuting into Ukraine.,meter-false,politifact
309,Ethnic Russians face “genocide perpetrated by the Kyiv regime.”,meter-false,politifact
310,"This ""footage"" shows Russia attacking Ukraine.",meter-false,politifact
