,claim,truth_value
254,Video shows Ukrainian soldiers shooting down Russian helicopters.,meter-false
255,"With the $53 billion spent in Ukraine aid, the U.S. “could pay five SWAT members $80,000 each and have them at EVERY school front door.”",meter-true
256,Video shows “Russian desert base and infrastructure hit by Bayraktar TB2 drone.”,meter-false
257,“J.D. Vance profits off Russia propaganda.”,meter-true
258,Video shows a “Russian pilot” escaping from jets and a Russian aircraft getting hit by a missile.,meter-false
259,Video shows “Russian tank column totally destroyed by attack helicopter.”,meter-false
260,Video shows helicopters in Ukraine “being picked off in ambush - Short range air-to-air missile”,meter-false
261,“Soldiers destroyed Russian tank with NLAW in ambush.”,meter-false
262,A recent photo shows the “Russian Orthodox Church blessing a rocket called Satan.”,meter-false
263,"Says video shows ""Ukrainian forces shoot down Russian plane carrying hundreds (of) troops on Kyiv airport.""",meter-false
264,“Space X’s Starlink internet constellation has angered Russia as it was reported that the Starlink satellite constellation was used to guide the fire” on the Russian ship Moskva.,meter-false
265,"“War Begins — F-35, F-16 and MiG-29 NATO intercept and destroy Russia Jets in Polish air space.”",meter-false
266,Photo of unbroken windows proves war in Ukraine is fake.,meter-false
267,Videos show that Ukraine President Volodymyr Zelenskyy uses cocaine.,meter-false
268,A video shows the Russian warship Moskva exploding.,meter-false
269,"""America (is) trying to overthrow the Ukraine government just as the shadow government has infiltrated and overthrown the US government.""",meter-false
270,"After Russia invaded Ukraine, Google Maps “opened all military and strategic facilities in Russia.”",meter-false
271,"Vladimir Putin “released 35,000 children from tunnels and subway in Ukraine.”",meter-false
272,CNN tweeted about “brave children” in Ukraine signing up to fight Russia.,meter-false
273,Ukraine was responsible for the Kramatorsk train station bombing.,meter-false
274,Photo of injured Ukrainian woman was from 2018 Russia gas explosion.,meter-false
275,"Says Barack Obama tweeted, “Has anyone checked to make sure Donald Trump doesn’t have a Russian birth certificate?”",meter-false
276,"A video taken from a car driving through Bucha, Ukraine, shows a corpse “moving his arm,” and then “in the rear view mirror the ‘corpse’ sits down.”",meter-false
277,Will Smith slapped Chris Rock “to take attention away from Ukraine.”,meter-false
278,The United Nations sent out an email instructing staff not to use the words “invasion” or “war’” when referring to Ukraine.,meter-true
279,“The Simpsons” predicted Russia’s invasion of Ukraine.,meter-false
280,CNN tweeted a picture of a Serbian resort and said it was in Ukraine.,meter-false
281,"The Russian airstrike on a maternity hospital in Mariupol, Ukraine, had “the makings of yet another false flag operation” led by the U.S.",meter-false
282,“Ukraine has been shooting residents of Donetsk and Lugansk just because they wanted to speak Russian.”,meter-false
283,Russian President Vladimir Putin “was assassinated.”,meter-false
284,"“Just a reminder that right before Ukraine was invaded, Hillary was found to be guilty of spying on a sitting U.S. president.”",meter-false
285,“Putin Vows to ‘Crush’ Child Traffickers in Ukraine”,meter-false
286,"""What is happening here is not so different from what we're seeing happening in Russia, where you have got state TV and controlled messaging across the board.""",meter-false
287,“A West Virginia inspection sticker on an Uber” proves the car was not in Ukraine.,meter-false
288,"A recent on-air protest can’t be real because ""there are no live on air television broadcasts in Russia. None. Ever.”",meter-false
289,A video shows current “leaked footage of heavy war between Russia vs Ukraine”,meter-false
290,“Wladimir Klitschko has auctioned off his 1996 Atlanta Olympic Games gold medal to raise money for the children of Ukraine.”,meter-true
291,"Classified documents from Ukraine “confirm without a shadow of a doubt” that the Ukraine government was “covertly preparing an offensive operation against Donbas, scheduled for March 2022.”",meter-false
292,A Ukrainian combat medic who died in February was seen in a video Ukraine President Volodymyr Zelensky posted of his visit to see wounded soldiers.,meter-false
293,This video shows “Russian war in Ukraine.”,meter-false
294,"U.S. imports 1% of its oil from Russia while “Exxon, Chevron, BP and Shell profits are at their highest level in over 7 years.”",meter-true
295,"Two years ago we were “drilling our own oil for $27 a barrel.” Now, thanks to Joe Biden, we’re “paying $105 a barrel to Russia.”",meter-false
296,Video shows Russian President Vladimir Putin meeting with South Korea’s president.,meter-false
297,"""Ukrainian civilian fleeing Kyiv captures footage of downed Russian tie fighter.""",meter-false
298,A Ukrainian TikToker shows how to drive an abandoned Russian armored vehicle.,meter-false
299,The war in Ukraine is “scripted and staged.”,meter-false
300,Joe Biden's sanctions on Russia “are riddled with loopholes and don't even start for 30 days. They have carve outs for the energy and financial sectors.”,meter-true
301,Says Sean Penn’s trip to Ukraine in November is evidence the war is staged.,meter-false
302,"""The Russian army does not occupy Ukrainian territory.""",meter-false
303,Photos show Ukrainian citizens destroying two Russian tanks with Molotov cocktails in Kyiv.,meter-false
304,Video shows Ukrainian soldiers saying goodbye to loved ones amid Russia’s 2022 invasion.,meter-false
305,A photo of a wounded young child was captured in Ukraine in 2022.,meter-false
306,"The United States buys ""206,000 barrels of oil a day"" from Russia but ""shut down domestic oil production a year ago.""",meter-false
307,Video shows footage from Russia invading Ukraine.,meter-false
308,TikTok video shows Russian soldiers parachuting into Ukraine.,meter-false
309,Ethnic Russians face “genocide perpetrated by the Kyiv regime.”,meter-false
310,"This ""footage"" shows Russia attacking Ukraine.",meter-false
311,"""Ukraine was the No. 1 donor to Hillary Clinton when she was running for president.”",meter-false
312,“Russia has never attacked anyone throughout its history.”,meter-false
313,"Says Joe Biden risks war with Russia because Vladimir Putin doesn’t “believe in transgender rights.""",meter-false
314,"Says Joe Biden is “withholding $150 million in aid from Ukraine” to “pressure Ukraine to drop all criminal investigations into him and his son, Hunter.”",meter-false
315,Says Joe Biden is formally listed as criminal suspect in Ukraine case involving his son.,meter-false
316,"Says President Barack Obama ""signed the medical appliance tax bill that forced companies to outsource manufacturing of masks, gowns, gloves and ventilaors [sic] to China, Europe and Russia to avoid the tax.”",meter-false
317,"Says Bill Clinton ""gave nukes to North Korea,"" Barack Obama ""gave nukes to Iran,"" and Hillary Clinton ""gave uranium to Russia.""",meter-false
318,"Says former Ukraine President Petro Poroshenko ""actively worked for Secretary Clinton.""",meter-false
319,"""Everywhere Marie Yovanovitch went turned bad,"" including Somalia and Ukraine.",meter-false
320,"""The Russians are violating all of the rules, treaties, understandings that they committed to that actually kept the peace in Europe for nearly 70 years.""",meter-true
321,"""Barack Obama put a permanent stop on this military aid to the Ukraine - he never allowed it to go.""",meter-false
322,"""Europe and other nations (need to) contribute to Ukraine. Because they’re not doing it. Just the United States. We’re putting up the bulk of the money.""",meter-false
323,"Crimea ""was sort of taken away from President Obama. … And he wanted Russia to be out of what was called the G-8. And that was his determination.""",meter-false
324,"When Joe Biden’s son Hunter was serving as ""a director to Ukraine’s largest private gas producer,"" the elder Biden ""threatened to withhold $1 BILLION in U.S. aid to Ukraine if they didn’t fire a prosecutor looking into"" the gas company.",meter-true
325,"""The reason Russia was in Afghanistan was because terrorists were going into Russia.""",meter-false
326,"""Russia, Iran, Syria & many others are not happy"" about U.S. troops leaving Syria.",meter-false
327,"""The Russian state has never interfered ... into internal American affairs including election process.""",meter-false
328,"Says Bernie Sanders was indifferent to Russia's annexation of Crimea because he felt ""they have a lot of Russians anyway.""",meter-false
329,"""Denzel Washington: With Trump we avoided war with Russia and Orwellian Police State""",meter-false
330,"""This is not the first time (the Russians) have been involved in our elections.""",meter-true
331,"""The son-in-law of the president met with Russian officials at the Trump Tower after having them come in the back door.""",meter-true
332,"Says Hillary Clinton ""went toe-to-toe with Russia as secretary of state to do the New START agreement to reduce Russia's nuclear stockpile.""",meter-true
333,"Says New START, passed while Clinton was secretary of state, is a ""treaty cutting Russia’s nuclear arms.""",meter-true
334,"Russia and China are ""doing naval exercises together someplace.""",meter-true
335,"Says Hillary Clinton ""was literally present when we pressed the reset button with Russia just a few months after Russia had invaded Georgia.""",meter-true
336,"""We lock up close to 2.4 million people in this country. We're locking up more people than China and Russia.""",meter-true
337,"Russia and China ""absolutely said pretty clearly"" they would not keep economic sanctions on Iran if the United States ""walked away from the deal.""",meter-true
338,"""The entirety of North America -- Canada, the United States and Mexico -- there's more known reserves in those three countries than in Russia and Saudi Arabia.""",meter-false
339,"Russia ""has an economy the size of Italy.""",meter-true
340,"In the Georgia-Russia conflict, ""we flew a brigade of Georgian soldiers"" from Iran to Georgia and ""sent U.S. ships into the Black Sea and provided various kinds of supplies.""",meter-true
341,"The United States stopped plans to build a missile defense shield in Eastern Europe ""as a gift to Russia.""",meter-true
342,"After Russia went to war with Georgia in 2008, the U.S. sent a ""very strong message"" to Vladimir Putin by sending ""warships to the Black Sea"" and airlifting ""combat troops that Georgia had in Afghanistan"" back to Georgia.",meter-false
343,"Says she made an ""accurate prediction"" that if Barack Obama were elected it would encourage Russia to invade Ukraine.",meter-true
344,"""The Russians didn’t wear uniforms when they came in"" to Ukraine.",meter-true
345,"""Crimea became part of Ukraine only in 1954. Crimea was historically part of Russia, and (Nikita) Khrushchev gave it to Ukraine in a gesture that mystified some people.""",meter-true
346,"Crimea was part of Russia ""until 1954, when it was given to the Soviet Republic of the Ukraine.""",meter-true
347,"In the event of a U.S. strike on Syria, ""the Russians will replace the weapons immediately. They’ve said it on the record. They’ve suggested they might even replace it with better stuff.""",meter-false
348,"""A few months ago when you were asked what's the biggest geopolitical threat facing America, you said Russia.""",meter-true
349,"The Obama administration ""called Bashar Assad a reformer when he was turning his Russian-provided guns on his own people.""",meter-true
350,Says Romney called Russia our No. 1 enemy.,meter-true
351,"""Obama tells Russia that he'll turn over America's defense system to them if re-elected.""",meter-false
352,"""We're going to have more troops (in Afghanistan) . . . than the Russians had.""",meter-false
