,claim,truth_value,year_of_publish,month_of_publish,day_of_publish
219,Says Sean Penn’s trip to Ukraine in November is evidence the war is staged.,meter-false,2022,February,28
220,"""The Russian army does not occupy Ukrainian territory.""",tom_ruling_pof,2022,March,1
221,"A 2022 CNN report said, “Russia deploys two nuke bombers in US backyard, Venezuela.”",meter-false,2022,February,28
222,Photos show Ukrainian citizens destroying two Russian tanks with Molotov cocktails in Kyiv.,meter-false,2022,February,26
223,Video shows Ukrainian soldiers saying goodbye to loved ones amid Russia’s 2022 invasion.,meter-false,2022,March,25
224,"""An 8-year-old Ukrainian girl confronts a Russian soldier telling him to go back to his country.”",meter-false,2022,February,27
225,“We have doubled our (oil) imports from Russia in the last year.”,meter-mostly-false,2022,February,22
226,"The United States buys ""206,000 barrels of oil a day"" from Russia but ""shut down domestic oil production a year ago.""",meter-mostly-false,2022,February,19
227,A photo showing young children saluting troops was captured in Ukraine in 2022.,meter-false,2022,February,25
228,Actor Steven Seagal spotted among Russian special forces in Ukraine,meter-false,2022,February,28
229,Video shows footage from Russia invading Ukraine.,meter-false,2022,February,24
230,TikTok video shows Russian soldiers parachuting into Ukraine.,meter-false,2022,February,24
231,A 2022 video shows “Ukrainian and Russian soldiers face to face.”,meter-false,2022,February,25
232,Ethnic Russians face “genocide perpetrated by the Kyiv regime.”,meter-false,2022,February,24
233,A photo shows a Russian warplane under attack.,meter-false,2022,February,24
234,“Russia has never attacked anyone throughout its history.”,tom_ruling_pof,2022,February,20
235,"Says Joe Biden risks war with Russia because Vladimir Putin doesn’t “believe in transgender rights.""",tom_ruling_pof,2022,February,19
236,"“Durham’s documents show that Hillary Clinton hired people who hacked into Trump’s home and office computers” and “planted evidence, fabricated evidence connecting Trump to Russia.”",meter-false,2022,February,14
237,“Biden invested the entire family fortune in Ukraine gas and oil. Then shuts down Keystone pipeline. Starting to get the picture.”,meter-false,2021,January,23
238,"""Ukraine blatantly interfered in our election.""",meter-false,2019,December,8
239,"""Everywhere Marie Yovanovitch went turned bad,"" including Somalia and Ukraine.",tom_ruling_pof,2019,November,15
240,"""Barack Obama put a permanent stop on this military aid to the Ukraine - he never allowed it to go.""",meter-mostly-false,2019,October,21
241,"Says the sons of Nancy Pelosi, Mitt Romney and John Kerry are all on the boards of ""energy companies doing business in Ukraine.""",meter-false,2019,October,7
242,"Says Nancy Pelosi’s ""legislative aide … is from the Ukraine and is connected to the Ukrainian Embassy, the Ukrainian military, the Ukrainian government and Ukrainian party life""",meter-false,2019,October,1
243,"When Joe Biden’s son Hunter was serving as ""a director to Ukraine’s largest private gas producer,"" the elder Biden ""threatened to withhold $1 BILLION in U.S. aid to Ukraine if they didn’t fire a prosecutor looking into"" the gas company.",meter-half-true,2019,May,2
244,"""The reason Russia was in Afghanistan was because terrorists were going into Russia.""",tom_ruling_pof,2019,January,2
245,"""Russia, Iran, Syria & many others are not happy"" about U.S. troops leaving Syria.",meter-false,2018,December,20
246,"Says the Steele dossier ""was responsible for starting"" Special Counsel Robert Mueller’s investigation into links between the Trump campaign and Russia.",meter-false,2018,July,23
247,"Say President Donald Trump ""dictated a short but accurate response to the New York Times article"" about the Trump Tower meeting with Russians.",meter-mostly-false,2018,January,29
248,"""Denzel Washington: With Trump we avoided war with Russia and Orwellian Police State""",tom_ruling_pof,2018,February,24
249,"""I have been much tougher on Russia than Obama, just look at the facts. Total Fake News!""",meter-mostly-false,2018,February,20
250,"Russian natural gas company ""Gazprom held Europe by the throat -- they were a monopoly, and now the U.S. is breaking into that monopoly with our exports of (liquefied natural gas).""",meter-half-true,2017,July,12
