,claim,truth_value,year_of_publish,month_of_publish,day_of_publish
26,"""I can say that the people that have been hired (for the independent Russia investigation) are all Hillary Clinton supporters, some of them worked for Hillary Clinton.""",meter-mostly-false,2017,June,23
27,"""Texas has a higher incarceration rate than Russia or Iran.""",meter-mostly-true,2016,February,26
28,"Compared to President Obama, ""President Reagan rushed home from Santa Barbara vacation, from the Reagan ranch when the Korean jetliner was shot out of the air by the Russians.""",meter-mostly-false,2014,July,17
29,"Says President Donald Trump’s hold on Ukraine aid was like when ""the Obama administration withheld $585 million of promised aid to Egypt in 2013 ... (and within the  fiscal year) they didn't have to disclose the halt to anyone.""",meter-mostly-false,2020,January,22
30,"""#MichaelCohen: Convicted of lying to Congress re: Russia investigation … #ElliottAbrams: Convicted of lying to Congress re: arming Contra death squads""",meter-mostly-true,2019,February,27
31,"President Donald ""Trump’s latest set of sanctions against companies and countries benefiting North Korea includes every nation but one making shipments to (North Korea). The one nation Trump exempted from his punitive ban was . . . wait for it . . . drumroll: Russia.""",meter-mostly-false,2018,March,2
32,"""Obama released 10 Russian agents from U.S. custody in 2010 during Hillary’s uranium deal.""",meter-mostly-false,2017,November,26
33,"Says Hillary Clinton ""gave up 20 percent of America's uranium supply to Russia.""",meter-mostly-false,2016,September,28
34,"""104 House Democrats voted for impeachment before the Ukraine call took place.""",meter-mostly-false,2019,December,11
35,"""It's important to pay attention to the Russian spy drama, but let's not ignore the fact that the following (10) bills have been introduced"" in the House.",meter-mostly-true,2017,March,6
36,"""As secretary of state, (Hillary Clinton) worked hard to get strong sanctions against Iran's nuclear program"" and ""got Russia and China to support them.""",meter-mostly-true,2016,July,26
37,"Says Hillary Clinton’s State Department ""approved the transfer of 20 percent of America’s uranium holdings to Russia, while nine investors in the deal funneled $145 million to the Clinton Foundation.""",meter-mostly-false,2016,June,22
38,"The United States has ""more of our people in prison than Russia, China, and North Korea combined.""",meter-mostly-false,2014,December,10
39,“Joe Biden left Marines behind in Afghanistan. And now he left a Marine behind in Russia.”,meter-mostly-false,2022,December,8
40,“We finally achieved that energy independence… under the Trump administration. President Biden squandered (it) away.”,meter-mostly-false,2022,July,14
41,"""$12 billion more for Ukraine on top of $100+ billion while Jackson, Mississippi has yet to receive any funding to fix their water infrastructure.""",meter-mostly-false,2022,September,27
42,"""Democrats' radical green energy policies caused record gas prices. """,meter-mostly-false,2022,August,23
43,"The cancellation of the Keystone XL pipeline by Joe Biden “killed hundreds of jobs, sent gas prices way up.”",meter-mostly-false,2022,June,23
44,"""David Perdue voted with liberals” for $10 trillion “in new debt, his out-of-control federal spending is driving inflation through the roof.""",meter-mostly-false,2022,May,10
45,"“When unemployment goes down, inflation goes up.”",meter-mostly-false,2022,May,15
46,“Finland joins NATO.”,meter-mostly-false,2022,May,15
47,Joe Biden “inherited inflation of 1.7%. Now we're well over 8% and growing.”,meter-mostly-true,2022,May,12
48,"The Biden administration has been ""recklessly releasing potentially dangerous Afghans into our communities.""",meter-mostly-false,2022,February,18
49,"“While the initial increase in oil prices resulted in a near instantaneous increase in gas prices for consumers, the subsequent decrease in crude oil prices has failed to meaningfully provide relief for Georgia's families at the pump.”",meter-mostly-true,2022,April,5
50,Fuel containing 15% ethanol will ruin a car engine.,meter-mostly-false,2022,April,12
51,"“The Space Foundation has erased the honors previously bestowed on Yuri Gagarin, the first man to ever be in space. His name was stripped ‘in light of current events.’”",meter-mostly-false,2022,March,20
52,Gas prices are high “due to the Democrats’ war on fossil fuels.”,meter-mostly-false,2022,March,18
53,“Make no mistake: The current spike in gas prices is largely the fault of Vladimir Putin.”,meter-mostly-true,2022,March,14
54,"“While Ukrainians bled and died, Congressman Budd excused their killer.”",meter-mostly-false,2022,March,8
55,"""Donald Trump's appeasement of Putin wasn't just a personal act of treason, it's the Republican Party's official position.""",meter-mostly-false,2022,March,2
56,“NEW: Biden Admin. instructs Americans to social distance and wear masks in the event of a Nuclear Fallout.”,meter-mostly-false,2022,March,1
57,“NATO (under direction from the United States) is violating previous agreements and expanding eastward.”,meter-mostly-false,2022,February,22
58,“Joe Biden’s war on American energy caused this crisis and his only response has been to drain our strategic petroleum reserve to its lowest level since 1983.”,meter-mostly-false,2023,January,12
59,“I voted with Trump on trade.”,meter-mostly-true,2022,September,27
60,“Virginia now has the most liberal abortion laws in the world.”,meter-mostly-false,2022,July,9
61,“President Trump sanctioned Russia. President Biden gave them a pipeline.”,meter-mostly-false,2022,February,8
62,“People are 7% poorer now because of Biden inflation.”,meter-mostly-false,2022,January,16
63,“Gas prices highest in a decade. Worst jobs report in 2 decades. Highest inflation in 3 decades. Highest increase in illegal immigration in 4 decades.”,meter-mostly-false,2021,May,17
64,Says that the oil and gas industry comprises 35% of the Texas economy.,meter-mostly-true,2020,December,12
65,Says President Donald Trump “is still yet to say anything as the president of the United States about bounties on American troops.”,meter-mostly-false,2020,July,20
66,Says a “5G LAW PASSED while everyone was distracted” with the coronavirus pandemic and lists 20 symptoms associated with 5G exposure.,meter-mostly-false,2020,March,28
67,"""Iran will be shooting at our soldiers with bullets, etc., purchased with the $150 billion Obama gave them.""",meter-mostly-false,2020,January,1
68,"Says President Donald Trump ""has not given this Congress a single email, phone record or document.""",meter-mostly-true,2019,December,18
69,"""The Inspector General’s report now makes clear that the FBI launched an intrusive investigation of a U.S. presidential campaign on the thinnest of suspicions.""",meter-mostly-false,2019,December,9
70,"Says Hillary Clinton ""paid for a Russian dossier to win an election,"" her husband ""made $500k for a Russian speech,"" ""sold 20% of US Uranium to Russia"" and her foundation ""received $150M from Russia.""",meter-mostly-false,2019,October,21
71,"""Barack Obama asked Ukraine to investigate his political rival's campaign manager, 3 Democrat senators asked Ukraine to investigate Trump, and the DNC solicited Ukraine's help to dig up dirt on Trump.""",meter-mostly-false,2019,September,29
72,"""We made a ridiculous deal (with Iran). We gave them $150 billion. We gave them $1.8 billion, and we got nothing.""",meter-mostly-false,2019,August,26
73,"""There’s a hacking conference that’s held every year in Las Vegas, where I think a 14- or 15-year old-girl from Florida hacked into a replica of Florida’s election system in less than 15 minutes.""",meter-mostly-false,2019,June,28
74,"Says Donald Trump's claim that ""there was insufficient evidence and therefore, in our country, a person is innocent"" directly contradicts Special Counsel Robert Mueller’s statement.",meter-mostly-true,2019,May,29
75,"""The Dems and their committees are going ‘nuts.’ The Republicans never did this to President Obama.""",meter-mostly-false,2019,February,7
76,"Says Hillary Clinton sold 20 percent of America’s uranium to Russia and then ""the Russian government gave $145 million to the Clinton Foundation."" Former FBI Director and special counsel Robert Mueller ""delivered it.""",meter-mostly-false,2018,December,5
77,"A letter to President Donald Trump from 22 senators ""is a way of saying to the president, ‘You are now under an affirmative requirement, legal requirement, to investigate' "" journalist Jamal Khashoggi’s disappearance and suspected murder.",meter-mostly-true,2018,October,14
78,"Says U.S. Rep. Mimi Walters ""votes with Donald Trump 99 percent of the time.""",meter-mostly-true,2018,October,9
79,"""Collusion is not a crime.""",meter-mostly-false,2018,July,31
80,"Says John Brennan ""was a member of the Communist Party during the Cold War.""",meter-mostly-false,2018,July,16
81,"""In 2016, when Hillary Clinton appeared to have a firm lead in the polls — oh, just before the election, it was President Obama who laughed off any notion that American elections could possibly be tampered with.""",meter-mostly-false,2018,July,16
82,"The Iran deal ""handed billions of dollars of cash on cargo planes, sent it to a state sponsor of terror, and Tammy Baldwin was one of the first U.S. senators to get on board and support that.""",meter-mostly-false,2018,May,30
83,"""Busted: Obama is holding secret meetings to overtake the White House""",meter-mostly-false,2018,June,11
84,"""We’ve spent more money on the military than the next 12 nations combined.""",meter-mostly-true,2018,April,19
85,"Says James Comey suggested and CNN reported that the basis of the wiretapping warrant for Trump adviser Carter Page was ""all based on a dossier.""",meter-mostly-false,2018,January,2
86,"""The violent crime rate has risen, and the homicide rate has risen by more than 20 percent in just two years, really after 30 years of decline in violent crime.""",meter-mostly-true,2017,November,14
87,"Says Paul Manafort’s alleged crimes were ""years ago, before Paul Manafort was part of the Trump campaign.""",meter-mostly-false,2017,October,30
88,"North Korea is ""the fifth or fourth most sanctioned nation.""",meter-mostly-true,2017,September,24
89,"""United Nations Resolution is the single largest economic sanctions package ever on North Korea. Over one billion dollars in cost to N.K.""",meter-mostly-true,2017,August,5
90,"""The person in charge of the Hillary investigation, Andrew McCabe, got $700,000 from (Hillary Clinton) for wife!""",meter-mostly-false,2017,July,25
91,"Just 6 percent of Americans say Russia is the country’s most important issue, yet the story receives ""75 percent of the coverage"" in the media.",meter-mostly-false,2017,July,22
92,"""Collusion is not illegal.""",meter-mostly-false,2017,July,11
93,"""Docs: Wisconsin Governor Scott Walker took $1 million from a pro-Putin Ukrainian businessman—last election cycle.""",meter-mostly-false,2017,May,23
94,"Says Iran has ""violated the terms of the (nuclear) deal.""",meter-mostly-false,2017,June,8
95,"""The best estimate is that 200,000 people in Wisconsin were either denied or chilled in their efforts to vote"" in the 2016 presidential election.",meter-mostly-false,2017,May,31
96,"""You can see visits to Moscow made during the campaign by (Paul) Manafort and others.""",meter-mostly-false,2017,May,18
97,"""What Trump is alleged to have done is actually no different than what Barack Obama did in April last year when he made it known that he didn’t want Hillary prosecuted.""",meter-mostly-false,2017,May,17
98,"""Law firm @POTUS used to show he has no ties to Russia was named Russia Law Firm of the Year for their extensive ties to Russia. Unreal.""",meter-mostly-true,2017,May,12
99,"""The minute the president speaks about it to someone, he has the ability to declassify anything at any time without any process.""",meter-mostly-true,2017,May,15
100,"Says James Clapper ""and virtually everyone else"" said ""there is no collusion"" in the Russia investigation findings.",meter-mostly-false,2017,May,12
101,"Says President Donald Trump as a candidate mentioned WikiLeaks ""over 160 times in speeches"" in the last month of the campaign.",meter-mostly-true,2017,April,13
102,"Says the T.R.U.M.P. Act, which would force presidential candidates to release their tax returns to run in North Carolina, ""has a lot of support – by a majority of North Carolinians and members of both parties.""",meter-mostly-true,2017,April,5
103,"The Keystone XL pipeline ""doesn’t even have any oil for America.""",meter-mostly-false,2017,March,27
104,"""Tanzania farmers face 12 years in prison for trading seeds thanks to foreign aid.""",meter-mostly-true,2017,January,9
105,"""Our Navy has shrunk from more than 500 ships in 1991 to 275 in 2016.""",meter-mostly-true,2017,January,20
106,"""I have never lobbied against sanctions personally... to my knowledge, Exxon never directly lobbied against sanctions.",meter-mostly-false,2017,January,11
107,"The Russians ""tried to hack the Republican National Committee, and they were unable to break through.""",meter-mostly-true,2017,January,11
108,"Activities by foreign governments had ""absolutely no effect on the outcome of this election.""",meter-mostly-false,2017,January,6
109,"""Many of (Hillary Clinton's) friends took bigger deductions (than me). Warren Buffett took a massive deduction. (George) Soros, who is a friend of hers, took a massive deduction.""",meter-mostly-false,2016,October,9
110,"""I was gone"" when there was a red line against Syria.",meter-mostly-false,2016,October,9
111,"Says Donald Trump ""never said that"" more nations should get nuclear weapons.",meter-mostly-false,2016,October,4
112,"""Gov. Pence said, inarguably, Vladimir Putin is a better leader than President Obama.""",meter-mostly-true,2016,October,4
113,"Says Donald Trump has outlined ""policies that read like a Kremlin wish list.""",meter-mostly-true,2016,September,19
114,"""If Texas were a country our economy would rank # 10...in the WORLD.""",meter-mostly-true,2016,August,30
115,"""The Germans, the French, countries that opposed us in the (Iraq) war, all believed (Saddam Hussein) had weapons of mass destruction.""",meter-mostly-false,2016,September,11
116,"Says Russian President Vladimir Putin ""calls me brilliant.""",meter-mostly-false,2016,September,7
117,"""Neither Hillary Clinton or Donald Trump has a plan to address the civil war in Syria.""",meter-mostly-true,2016,August,21
118,"""Almost every country on Earth sees America as stronger and more respected today than they did eight years ago when I took office.""",meter-mostly-true,2016,July,27
119,"Harris County, Texas has ""some of the highest jailing and incarceration rates in the U.S. and the world.""",meter-mostly-true,2016,May,19
120,"The decision for the United States to buy heavy water from Iran ""will directly subsidize Iran’s nuclear program.""",meter-mostly-false,2016,April,22
121,"Says Hillary Clinton supported and continues to ""support fracking.""",meter-mostly-true,2016,April,10
122,"""Today Russia holds many of our most precious national security satellites at risk before they ever get off the ground.""",meter-mostly-true,2016,January,27
123,"""The United States of America, right now, has the strongest, most durable economy in the world.""",meter-mostly-true,2016,January,12
124,"""We spend more on our military than the next eight nations combined.""",meter-mostly-true,2016,January,12
125,"""Two months ago, Donald Trump said that ISIS was not our fight.""",meter-mostly-true,2015,December,15
126,"""Three or four countries"" out of roughly 60 in the anti-ISIS coalition ""are providing military force.""",meter-mostly-true,2015,December,13
127,"For NATO exercises, ""we don’t have enough of our own hardware and equipment even for training purposes. So the Brits are spotting us choppers.""",meter-mostly-true,2015,November,18
128,"""I spent 18 months putting together the sanctions against Iran so that we could force them to the negotiating table.""",meter-mostly-true,2015,November,6
129,"""8 Syrians caught at Texas border in Laredo.""",meter-mostly-false,2015,November,18
130,"""The federal government owns about half of the West, yet it continues to acquire more land.""",meter-mostly-true,2015,October,21
131,"Says Edward Snowden ""could have gotten all of the protections of being a whistleblower.""",meter-mostly-false,2015,October,13
132,"""Today in America, we have more people in jail than any other country on Earth.""",meter-mostly-true,2015,October,13
133,"When ICE releases illegal immigrants, ""a lot of those people are not from Honduras and Mexico. They’re from Iraq and Somalia and Russia.""",meter-mostly-false,2015,September,25
134,"""We had a three-hour debate, no discussion about the national debt, very little about the economy.""",meter-mostly-true,2015,September,20
135,"""We have an Army that just cut 40,000 spots.""",meter-mostly-true,2015,August,18
136,"""The United States has the highest incarceration rate in the world.""",meter-mostly-true,2015,August,5
137,"""Obama keeps talking about getting rid of all nuclear weapons. He’s already significantly reduced our capabilities there.""",meter-mostly-false,2015,July,14
138,"""The United States ranks second worst in income inequality across developed countries,"" after taxes and transfers.",meter-mostly-true,2015,June,12
139,"Says Bill Clinton ""gave a speech in 1996 about Iraq having WMDs"" and said ""we needed a regime change,"" even though everyone blamed those things on George W. Bush.",meter-mostly-false,2015,June,15
140,The Castro regime ‘violated international norms’ by secretly shipping weapons to North Korea in violation of a U.N. embargo.,meter-mostly-true,2015,April,15
141,"""Wholly domestic communication between you and your wife can go to New York to London and back and get caught up in the (NSA) database.""",meter-mostly-true,2015,April,5
142,"Says that ""Susan Rice, the president's national security adviser, has already conceded that Iran will have a robust uranium enrichment capability.""",meter-mostly-false,2015,March,9
143,"""Here, we have Thanksgiving, we have Christmas, we have the 4th of July. Every year in Iran, they celebrate Death to America day.""",meter-mostly-false,2015,March,11
144,"If President Barack Obama strikes a nuclear deal with Iran, ""the next president could revoke such an executive agreement with the stroke of a pen and future Congresses could modify the terms of the agreement at any time.""",meter-mostly-true,2015,March,9
145,"""We live in the most incarcerated country in the world.""",meter-mostly-true,2015,February,22
146,"""We've caught Iran cheating on the interim (nuclear) deal.""",meter-mostly-false,2014,December,28
147,"Since the United States began negotiations with Iran, ""that's probably the first year and a half in which Iran has not advanced its nuclear program in the last decade.""",meter-mostly-true,2014,December,21
148,"""We are younger than our competitors, and this is entirely because of immigration.""",meter-mostly-true,2014,December,3
149,"""In 1990, the U.S. led the world in the percentage of 25-34 year olds with college degrees. Today we are in 12th place.""",meter-mostly-true,2014,December,5
150,"""We've had 27 (Ebola) outbreaks around the globe and they've never spread outside of the confines of the countries that were initially affected.""",meter-mostly-true,2014,October,20
151,"""Russia has more diversity in its governmental representation than we do in Texas.""",meter-mostly-false,2014,August,22
152,"The United States is the leading nation in the world ""with the highest amount of doubt about the conventional wisdom of climate change.""",meter-mostly-true,2014,July,22
153,"There are fewer wars, there are fewer people dying in wars ""now than there have been in quite some time.""",meter-mostly-true,2014,July,15
154,"""The so-called defense minister of the People's Republic of Donetsk ... actually posted a bragging social media posting of having shot down a military transport. And then when it became apparent it was civilian, they pulled it down from social media.""",meter-mostly-true,2014,July,20
155,"All 28 members of NATO have ""pledged to spend at least 2 percent of their economy on defense. But only three countries do -- Britain, Greece and us.""",meter-mostly-true,2014,June,11
156,"Says Hillary Clinton ""laid the groundwork"" for getting chemical weapons out of Syria.",meter-mostly-false,2014,June,1
157,"""At the mere request from Putin, President Obama withdrew the plans for a missile defense program based in Poland and the Czech Republic.""",meter-mostly-false,2014,May,18
158,"""Manufacturing wages today in America on a per-hour basis are actually a bit lower than average wages in the economy as a whole.""",meter-mostly-true,2014,March,30
159,"Russian annexation of Crimea ""removes a million residents of the Ukraine that have provided the margin of victory for (Viktor) Yanukovych, the pro-Moscow prime minister in his last election.""",meter-mostly-true,2014,March,16
160,"""The president won the youth vote 3 to 1, but his numbers have dropped 20, 30 percent among the youth.""",meter-mostly-true,2014,March,9
161,"On Syria, ""a lot of the allies signed on. At the last minute, Obama backed off.""",meter-mostly-false,2014,March,9
162,"Says Vladimir Putin once said, ""The breakup of the Soviet Union was the greatest geopolitical tragedy of the 20th century.""",meter-mostly-true,2014,March,3
163,"""The (Russian) ruble is already going down.""",meter-mostly-true,2014,March,2
164,"""Thanks in part to our all-of-the-above strategy for American energy,"" the United States generates ""more natural gas than anybody.""",meter-mostly-true,2014,January,18
165,"""Under the Espionage Act, (Edward Snowden would not be) allowed to come into court and say ‘I was justified in disclosing this information.’ There is no whistleblower exception in the Espionage Act.""",meter-mostly-true,2014,January,2
166,"Republican state lawmakers ""are refusing to give the people of their own states their own tax dollars back in the form of (expanded) Medicaid.""",meter-mostly-true,2013,December,12
167,"The United Nations has conducted ""172 successful peacekeeping missions and negotiations.""",meter-mostly-true,2013,September,10
168,"Chemical weapons have been used ""probably 20 times"" since the Persian Gulf War.",meter-mostly-false,2013,September,4
169,"""The brutal fact is, when it comes to education, America is slipping"" behind other nations.",meter-mostly-false,2013,January,9
170,"Says Chuck Hagel has called for ""an end to our nuclear program.""",meter-mostly-false,2013,January,21
171,"Says a recent study shows Florida students are second in the world in fourth grade reading, behind Singapore.",meter-mostly-true,2013,January,15
172,"""[W]e see America's prison population exploding, with America having a greater percentage of its people behind bars than any other nation in the world!""",meter-mostly-true,2013,January,1
173,"""Pakistan has 100 nuclear warheads and they’re rushing to build a lot more. They’ll have more than Great Britain sometime in the relatively near future.""",meter-mostly-true,2012,October,22
174,"Says the Obama administration ""watered down sanctions"" against Iran, delayed them and tried to stop Congress ""from putting the tough sanctions in place.""",meter-mostly-false,2012,October,11
175,"President Barack Obama has ""weakened the respect for America abroad.""",meter-mostly-false,2012,August,30
176,"""For his first interview as president, Barack Obama chose Arab TV for an apology.""",meter-mostly-false,2012,July,4
177,"""This president ... could have gotten crippling sanctions against Iran. He did not.""",meter-mostly-false,2012,February,22
178,"""You look at defense … we're spending more than the rest of the world combined.""",meter-mostly-false,2011,December,12
179,"""From now on, we have to pay the Russians $50 million an astronaut to send Americans to the space station""",meter-mostly-true,2011,July,7
180,"""Anywhere in the world, when someone uses a mobile phone, e-mail, the Internet or GPS, they are enjoying the benefits of the American miracle.""",meter-mostly-true,2011,June,14
181,"Says the United States is ""the Saudi Arabia of coal.""",meter-mostly-true,2011,May,20
182,"""The president promised to close the space gap, but he now seems intent on repeating the events that created the space gap in the first place -- putting in place a new rocket design and then trying to underfund the effort...""",meter-mostly-true,2011,February,14
183,"Federal Reserve policies have led to a 69 percent rise in corn prices, 44 percent rise in wheat prices and 15 percent spike in sugar prices over the last year.",meter-mostly-false,2011,January,27
184,"""The New START treaty was passed despite significant concerns among some people in the State and Defense Departments.""",meter-mostly-false,2011,January,25
185,"""On average, Americans spend less than 10 percent of their disposable income on food. Compare that to folks in Mexico, who spend 22 percent, China, 28 percent and Russia, 37 percent.""",meter-mostly-true,2010,December,29
186,"Georgia is ""the Saudi Arabia of pine trees.""",meter-mostly-false,2010,July,20
187,"The U.S. ""only ranks 25th worldwide on defense spending as a percentage of GDP.""",meter-mostly-false,2010,June,30
188,"The White House has ""refused"" international help in dealing with the oil spill.",meter-mostly-false,2010,June,16
189,"A president must ""obtain Congress' consent before formally accepting the Nobel Prize.""",meter-mostly-false,2009,October,26
190,"""Our own National Security Agency says that (Iran's) nuclear ambitions are advancing, and at the same time ... we are slashing our own nuclear arsenal.""",meter-mostly-true,2009,September,22
191,"""Venezuela is a country whose defense budget is probably 1/600th of the United States.""",meter-mostly-true,2009,April,19
192,"Energy nominee Steven Chu has called coal ""his worst nightmare.""",meter-mostly-true,2008,December,15
193,"As first lady, Clinton would travel to places that were ""too small, too poor or too dangerous"" for the president.",meter-mostly-false,2008,March,17
