,claim
1380,"Wisconsin is “run by Democrats right now,” so they should address election social distancing concerns."
1385,Video shows Joe Biden saying “we can only re-elect Donald Trump.”
1386,"In 1962, Joe Biden “worked with segregationists,” Elizabeth Warren “debated as a pro-Vietnam conservative” while Bernie Sanders “organized against segregation and Vietnam war”"
1391,“Trump’s farmer bailout is now twice the size of Obama’s GM bailout. The big difference is GM paid their bailout back — with interest.”
1410,"Says he did not tell former President Barack Obama ""don’t go"" after Osama bin Laden"
1417,"Says President Donald Trump is ""waging a trade war against WI farmers -- forcing > 1600 dairy farms to close."""
1427,"The House impeachment rules resolution ""does not provide the president with due process protections that were afforded to both President Clinton and President Nixon."""
1433,"""Barack Obama put a permanent stop on this military aid to the Ukraine - he never allowed it to go."""
1436,"Says Donald Trump is breaking a campaign pledge to bring manufacturing jobs back to Wisconsin and Pennsylvania since the two states ""have lost the most manufacturing jobs in the past year."""
1440,"""Europe and other nations (need to) contribute to Ukraine. Because they’re not doing it. Just the United States. We’re putting up the bulk of the money."""
1442,"China has ""had now the worst year in 57 years."""
1447,"Says that as vice president, he pinned a Silver Star on a Navy captain in Afghanistan who had carried a mortally wounded comrade out of a ravine, and resisted receiving a medal for his actions."
1448,"Says the U.S. gives Israel ""$3 billion annually"" in aid and zero to Detroit."
1449,"Crimea ""was sort of taken away from President Obama. … And he wanted Russia to be out of what was called the G-8. And that was his determination."""
1454,"""We were losing all our cases in the World Trade Organization. ... And then I came along. Now we’re winning a lot of cases because they know that they’re not on very solid ground."""
1456,A photograph shows Joe Biden with a Grand Wizard of the Ku Klux Klan.
1457,Says the late Lady Bird Johnson sicced the CIA on actress and singer Eartha Kitt after Kitt spoke out against the Vietnam War during a White House luncheon in January 1968.
1461,"Says ""we lose nearly 40,000 people in this country to gun violence, a number that no other country comes even close to."""
1473,"""Turns out the critics of the Texas maternal mortality rate were just lying. It’s less than half of what the critics said. It’s about 1/10 of 1%."""
1488,"""We have been losing to China for many years, $500 billion a year."
1513,"Farmers are declaring bankruptcy ""in record numbers"" and ""the median income for U.S. farm households was -$1,548 in 2018."""
1515,"Chinese workers made ""90,000 banners"" for Trump’s 2020 re-election campaign and the president chose to hire ""Chinese workers instead of American workers"""
1518,"Foxconn has already ""made a positive impact across Wisconsin with more than 1,000 new jobs."""
1523,"""The caliphate has crumbled and ISIS has been defeated."""
1531,"Legislators are ""ramming through a provision that’ll make investigations like #NC09 less transparent."""
1535,"Says George Washington said, ""A free people ought not only be armed and disciplined. But they should have sufficient arms and ammunition to maintain a status of independence from any who might attempt to abuse them. Which would include their own government."""
1538,"""Illegal refugees get $3,874/mo. Under the Federal Assistance Program. Our SS checks are approximately $1,200/mo."""
1554,"""The House GOP super PAC in DC is spending more to help my opponent than anyone else."""
1555,"""Indiana has purged no less than 20,000 voters in violation of a federal court order."""
1559,"Says marijuana is ""legal in most states in this country."""
1562,"Says Beto O’Rourke described police as ""modern-day Jim Crow."""
1566,"Says Beto O’Rourke's campaign ""told Texas VFW to remove their American flag"" because O'Rourke has ""an aversion to the American flag and symbols of patriotism."""
1567,"""While we were in harm’s way in uniform, Kyrsten Sinema was protesting us in a pink tutu and denigrating our service."""
1574,"Says Jacky Rosen ""skipped work ... at the expense of veterans"" to ""attend a publicity stunt."""
1575,"""Most of that money (made by the NFL) goes to the players."""
1581,"""Trump just gave a $12 billion bailout to farmers hurt by his failed tariffs. This will cost every household in the U.S. $95 … Trump is borrowing the money from China since his tax cuts blew a trillion dollar hole in the deficit."""
1583,"""The price of soybeans has fallen 50% since 5 years before the election. A big reason is bad (terrible) trade deals with other countries."""
1584,"Says John Brennan ""was a member of the Communist Party during the Cold War."""
1601,"""El precio de combustible ha aumentado un 25% este año"" / ""The price of gas has increased 25% this year."""
1633,"""Mass shootings went up 200 percent in the decade after the assault weapons ban expired."""
1641,"""We are now, very proudly, an exporter of energy to the world."""
1642,"Mexico is ""now rated the number one most dangerous country in the world."""
1660,"""And I think that his engagement with Congress is something that never happened under President Obama. They were never allowed to debate it. They were never allowed to discuss it. So, now Congress is going to be fully engaged on the threats of Iran."""
1662,"""A California health care CEO is promising to reduce our prescription drug costs."""
1668,"The mobilization of the military in response to the storms in Puerto Rico and the U.S. Virgin Islands ""is the largest ever mobilization of our military in a naval and marine operation"" and an Air Force carrier there ""was the first-ever as well."""
1674,"""The idea of putting up (Confederate) monuments actually didn’t happen right after the Civil War. It happened during the 1960s."""
1689,"When he was Milwaukee County executive, ""eight years in a row we pushed through budgets that did not increase the tax levy from the previous year."""
1692,"""Docs: Wisconsin Governor Scott Walker took $1 million from a pro-Putin Ukrainian businessman—last election cycle."""
1695,"Rare is the president ""who's passed more legislation, who's done more things than what we've done, between the executive orders and the job-killing regulations that have been terminated."""
1697,"""Since the fourth quarter of last year until most recently, we've added almost 50,000 jobs in the coal sector. In the month of May alone, almost 7,000 jobs."""
1706,"""Back when they did NATO, there was no such thing as terrorism."""
1707,"""After prohibition ended, police deaths didn't reach 200 a year again until the year Nixon declared war on drugs."""
1717,"Says Tammy Baldwin ""supported legislation allowing citizens to withhold funding for our troops."""
1722,"Said Adolf Hitler and Donald Trump have both described deportations as ""a military operation."""
1725,"Says President Donald Trump's travel ban could ban Somalis ""from getting relief (from famine) through coming to the United States."""
1729,"Says his budget ""calls for one of the largest increases in national defense spending in American history."""
1732,"""When the House wants to stop Enterprise Florida ... they’re hurting our rural communities."""
1735,"""Smart! 'Kuwait issues its own Trump-esque visa ban for five Muslim-majority countries.' """
1736,"""ISIS is already using the rhetoric from the Trump administration, the text of this executive order, to incite attacks against us and to recruit more terrorists to their side."""
1737,"""It would take $135 billion to eradicate global poverty."""
1739,"""The Taliban went after and murdered"" people identified in the Chelsea Manning leaks."
1743,"There has been a ""dramatic expansion of the federal workforce in recent years."""
1752,"""I have never lobbied against sanctions personally... to my knowledge, Exxon never directly lobbied against sanctions."
1764,"""There is long historical precedent for a Supreme Court with fewer justices."""
1776,"""On ISIS, (Michael Bennet) chose the (Washington) insiders over our generals."""
1787,"Says Syrian refugees are not being vetted, and ""the FBI is not even being told where they are."""
1789,"""These are radical Islamic terrorists, and (Hillary Clinton) won't even mention the word."""
1790,"Donald Trump says ""that NATO is obsolete and that we need to get rid of NATO..."""
1807,"""The Germans, the French, countries that opposed us in the (Iraq) war, all believed (Saddam Hussein) had weapons of mass destruction."""
1808,"""After 9/11, Jim put us all first by serving for 23 months in Iraq, the war’s longest tour."""
1813,"Says Hillary Clinton said the Veterans Affairs scandal is ""over-exaggerated."" ""She said she was satisfied with what was going on."""
1816,"Says ""Hillary Clinton has pledged amnesty in her first 100 days, and her plan will provide Obamacare, Social Security, and Medicare for illegal immigrants, breaking the federal budget."""
1821,"Says military commanders have said that if Donald Trump were elected, ""they would not follow his orders."""
1826,"""The director of the FBI said that we cannot properly vet people coming from the Middle East."""
1830,"Says Rep. Mike Coffman is ""the one who said"" he would support Trump."
1836,"Says Barack Obama ""said black males are two times more likely to be shot by a law enforcement officer than white males"" and ""that is a lie"" because ""there is no data."""
1838,"In Liberia, ""a girl is more likely to be married by 18 than to know how to read."""
1843,"""When LBJ started #WarOnPoverty, 14% of Americans lived in poverty. 50 yrs later, 14% still do. There's a #BetterWay."""
1844,"Says Gov. Mike Pence and Rep. Mike Coffman ""take the same positions on a number of things ... Coffman and Pence oppose equal rights for LGBT Americans."""
1847,"Says ""Donald Trump is a guy who has called for privatization"" of the Veterans Administration."
1850,"""In 2009, pre-Hillary, ISIS was not even on the map."""
1856,"As a senator, Hillary Clinton ""paid women less than the men"" in her office."
1864,"""You know what (Saddam Hussein) did well? He killed terrorists."""
1865,"Says Hillary Clinton ""savaged"" the dignity of people who accused Bill Clinton of sexual harassment or assault ""and shamed them."""
1878,"Says Apple products are currently ""90 percent conflict-free,"" and ""Intel is 100 percent conflict-free."""
1882,"""Tuition-free public universities and colleges are just a pipe dream. False. They were both free up until the Vietnam War."""
1883,"Says Merrick Garland ""authored an opinion that resulted in the release of 17 Guantanamo Bay prisoners who were part of a group of violent Islamist extremists the State Department had designated as terrorists."""
1888,"Says Hillary Clinton has spoken ""such lies about my foreign policy. They said I want Japan to … get nuclear weapons. Give me a break."""
1897,"Says ""Mike Coffman is with Trump."""
1905,"Marijuana is a Schedule I drug, ""which you understand means that you can’t do any research about it."""
1915,"Says Hillary Clinton ""has been saying lately that she thinks that I am, 'not qualified to be president.' """
1923,"""The [Obama] administration’s regulatory assault on coal-fired energy has put thousands of Americans out of work"""
1931,"Donald Trump has ""described Hillary Clinton as one of the best secretaries of state in history."""
1939,"With Obamacare, ""You have no options .. you can't get competitive bidding."""
1940,"Blocking a U.S. Supreme Court nomination during the remaining months of President Obama’s term ""would leave the nation’s highest court with an unprecedented year-long vacancy."""
1948,"Says Pat Toomey visited Joe Sestak and other veterans in 2002 ""and then came home and voted against every veterans appropriations bill."""
1949,"""Tell me what Madeleine Albright’s position was on the War on Iraq. I wouldn’t be surprised if she supported it."""
1950,"Regarding the Iraq War, ""I was the one that said, ‘Don’t go, don’t do it, you’re going to destabilize the Middle East.’ """
1957,"""Barack Obama, right now, No. 1, over seven years has dramatically degraded our military."""
1962,"""Very little of (the defense) budget — less than 10 percent — actually goes into fighting ISIS and international terrorism."""
1964,"""We get practically nothing compared to the cost of"" keeping U.S. military forces in South Korea."
1967,"The only budget Ted Cruz ""ever voted for in his time in the Senate is a budget that cut defense spending by more than Barack Obama proposes we cut it."""
1969,"Says President Barack Obama ""himself has granted waivers allowing into the United States refugees who provided material support to terrorists."""
1973,"""One of the things I would immediately do … is bring back the warrior class -- Petraeus, McChrystal, Mattis, Keane, Flynn. ... Every one was retired early because they told President Obama things that he didn’t want to hear."""
1976,"In 2000, ""I wrote about Osama bin Laden, ‘We’ve got to take him out.’"""
1984,"In 2013, the United States ""accepted 67 percent of the world’s refugees."""
1985,"""8 Syrians caught at Texas border in Laredo."""
1988,"Out of the total U.S. military budget, ""significantly less than 10 percent of that money is used to fight international terrorism."""
1994,"""Only one out of five of the so-called ‘Syrian refugees’ who went into Europe were actually Syrian."""
1999,"Unlike Benghazi, there were no investigations of the 1983 Beirut barracks bombing, none about key aspects of the 9/11 attacks and the Iraq War, and none about embassy attacks under George W. Bush."
2007,"""We are imprisoning or giving jail sentences to young people who are smoking marijuana."""
2019,"""When (Ronald) Reagan came in, from 1978 to 1982, economic growth averaged less than 1 percent a year. There’s only one other four-year period where that’s true. That’s true from 2008 to 2012."""
2026,"""Unions did not create"" the eight-hour work day and the 40-hour work week. ""Henry Ford did."""
2027,"Says Russ Feingold cast the ""deciding vote"" for the ""largest tax increase"" in history"
2029,"""In 1940, only 7 percent of Germans were Nazis."""
2043,"Say President George W. Bush "" ‘borrowed’ $1.37 trillion of Social Security surplus revenue to pay for his tax cuts for the rich and his war in Iraq and never paid it back."""
2051,"""A law was passed, apparently in the Clinton administration, about whether, in recruiting offices … Marines or other military should be able to have guns. Apparently it is prohibited."""
2054,"""Four times, I said, he (John McCain) is a hero, but you know ... people choose selective pieces."""
2055,"""In a few months, this deal would give Iran $150 billion"" for its $300 billion to $400 billion economy, which is ""like $8 trillion flowing into the United States treasury."""
2056,"""Obama keeps talking about getting rid of all nuclear weapons. He’s already significantly reduced our capabilities there."""
2061,"Says President Obama ""is reducing our naval fleet to 1917 levels..."""
2072,"The Democrats are ""responsible"" for ""the swift, mindless drawdown of a military that was generations in the making."""
2078,"""After the 2001 and 2003 Bush tax rate cuts ... there was more money coming into the treasury."""
2080,"Says Bill Clinton ""gave a speech in 1996 about Iraq having WMDs"" and said ""we needed a regime change,"" even though everyone blamed those things on George W. Bush."
2082,"""The entirety of North America -- Canada, the United States and Mexico -- there's more known reserves in those three countries than in Russia and Saudi Arabia."""
2085,"The Texas Senate ""approved a bill to put a special label on the insurance cards of anyone who bought a plan through Obamacare"" that includes the letter ""S"" for subsidy."
2087,"""ISIS didn't exist when my brother was president. Al-Qaida in Iraq was wiped out when my brother was president."""
2088,"As a senator, Hillary Clinton ""actually paid female staffers a lot less than men."""
2089,"""We had an agreement that the president could have signed that would have kept 10,000 troops"" in Iraq."
2093,"""We had the biggest drop of the rate of unemployment (in) all but 4 states."""
2096,"""Not a single Republican candidate, announced or potential, is clearly and consistently supporting a path to citizenship. Not one."""
2099,"Said President Barack Obama ""said he was going to stop (signature strikes)."""
2103,"Says Howard Zinn, ""an anti-American Marxist,"" wrote ""the most popular textbook that's taught in our high schools in America."""
2104,"Says Marco Rubio ""voted to deport"" young people known as Dreamers."
2105,"""In the early 1980s, Sen. Edward Kennedy secretly offered to help Soviet leaders counter the Reagan administration’s position on nuclear disarmament."""
2106,"""Rand Paul supports Obama's negotiations with Iran."""
2114,"U.S. military involvement in Libya ""allowed thousands of surface-to-air missiles to fall into the hands of radical Islamists."""
2122,"""ISIS lures women with kittens, nutella."""
2126,"Says Supreme Court Justice Sonia Sotomayor has an ""immigrant family background."""
2129,"""The reason we even have colleges is that at some point there were politicians who said, ‘You know what? We should start colleges.’ """
2137,"""About 30 percent"" of those released from Guantanamo ""have re-entered the fight."""
2140,"""Estimates say individuals who escaped these high tax states have taken with them around $2 trillion in adjusted gross income."""
2144,"Terrorist detainees ""were not covered by the Geneva Convention. They were unlawful combatants. And under those circumstances, they were not entitled to the normal kinds of courtesies and treatment."""
2149,"""The U.S. Constitution owes its notion of democracy to the Iroquois Tribes."""
2159,"Blocking travel from countries with Ebola should be possible because President Barack Obama ""has sealed off Israel in the past."""
2165,"""We have four combat-ready brigades out of 40 in the U.S. Army."""
2169,"Says President Barack Obama ""ordered our military to enlist illegal aliens."""
2173,"Says President Barack Obama attacked potential terrorist targets in Syria in the middle of the night ""to minimize terrorist casualties."""
2175,"""Not even old Gen. Eisenhower … saluted military personnel"" as president."
2179,"Says Dick Cheney ""de-Ba’athisized the Iraqi government and created ISIS."""
2189,"Congress is on ""vacation."""
2194,"Congress is ""on a five-week vacation."""
2198,"""So far, the war in Gaza has left more than 1,800 Palestinians dead -- the population equivalent to 100 9/11s."""
2199,"""We did not seek an impeachment of President Bush."""
2208,"Says a new report shows the ""devastating tax hikes (in the health care law) will have on middle-class Kentuckians."""
2236,"Says Hillary Clinton ""laid the groundwork"" for getting chemical weapons out of Syria."
2237,"Redskins is ""used historically"" as ""a term of respect."""
2241,"Says Barack Obama broke a decades-old policy of ""not negotiating with terrorists."""
2254,"Says a pro-Democratic ad is ""false"" for saying that he allowed two disgraced staffers in 2012 to ""resign."""
2260,"""A lot of the move to free the slaves ... did not come from the federal government. It came from a growing movement among the people, particularly people of faith."""
2268,Says the estate tax is a threat to family farms.
2273,"The Republican-controlled Wisconsin Senate approved a bill ""denying veterans the right to recover their medical costs for cancers they developed while serving their country."""
2274,"After Russia went to war with Georgia in 2008, the U.S. sent a ""very strong message"" to Vladimir Putin by sending ""warships to the Black Sea"" and airlifting ""combat troops that Georgia had in Afghanistan"" back to Georgia."
2279,Says President Abraham Lincoln enforced the Fugitive Slave Act until the Civil War ended.
2281,"In the recent House special election in Florida, Democrats ""got outspent in a Republican district."""
2282,"Says Ronald Reagan ""got the Saudis to flood the market with cheap oil."""
2284,"On Syria, ""a lot of the allies signed on. At the last minute, Obama backed off."""
2294,"Says North Carolina Republican Senate candidate Thom Tillis ""supports a plan that would end Medicare as we know it."""
2297,"Says President Barack Obama’s health care law is ""expected to destroy 2.3 million jobs."""
2301,"""Rick Scott’s Administration spent over $100,000 of taxpayer money during their first voter purge attempt in 2012."""
2309,"""Under Obamacare, when you turn Medicaid over to the states ... the money will be available up front for the expansion for a few years. Then, the money will go away."""
2317,"""By using a little-known loophole ... Obama minions are allowing Nestle Company to export precious fresh water out of Lake Michigan."""
2332,"""If your plan is the result of collective bargaining, no subsequent changes by anybody -- insurance companies, Obamacare -- can force your grandfathered policy to change."""
2339,"""Woodrow Wilson borrowed $30 billion to fund World War I in 1917. That money has not been paid back. And we are still paying interest on it."""
2342,"""Neville Chamberlain told the British people: ‘Accept the Nazis. Yes, they will dominate the continent of Europe, but that is not our problem. Let's appease them. Why? Because it can't be done. We cannot possibly stand against them.’"""
2343,"Ann Kuster turned ""a blind eye to those in need of funding"" by voting ""against funding for our nation’s veterans, low-income women and children, the FDA and the National Institutes of Health."""
2347,"Louie Gohmert of Texas ""blamed the mass shooting at a movie theater in Colorado on ‘the ongoing attacks on Judeo-Christian beliefs.'"""
2350,"""The president’s own advisers have said there’s a war on coal."""
2351,"The Capitol Police force is ""going so far as to use paramilitary equipment"" in dealing with singing protesters in Madison"
2352,"Says he ""opposed the president’s decision to go into Iraq"" in 2003."
2354,"In 2012, the state ""put together a list of over 100,000 people that they thought were ineligible to vote. Came out there were less than 10."""
2357,"In the event of a U.S. strike on Syria, ""the Russians will replace the weapons immediately. They’ve said it on the record. They’ve suggested they might even replace it with better stuff."""
2359,"Chemical weapons have been used ""probably 20 times"" since the Persian Gulf War."
2373,"""In the 513 days between Trayvon dying, and today’s verdict, 11,106 African-Americans have been murdered by other African-Americans."""
2374,Women in the United States are paid about 70 percent of what men earn for the same work.
2381,"""During the Bush administration, liberal groups were targeted"" by the IRS, similar to recent targeting."
2390,"""Pentagon confirms they may court martial soldiers who hold Christian faith."""
2392,"The U.S. Army had a training program that put ""evangelical Christians, Catholics and Mormons in the same category of religious extremism as we do al-Qaida."""
2402,"Every day, ""about 100 people will be arrested for possession of marijuana in Georgia."""
2409,"Says of a failed cloture vote on nominating Chuck Hagel for defense secretary: ""This is not a filibuster."""
2410,"""Agriculture has always required a significant workforce from abroad."""
2424,"""While President Obama says all options are on the table for preventing a nuclear Iran, Hagel says military action is not a viable, feasible, responsible option."""
2431,"Says in January 1992, George H. W. Bush ""probably had a 90 percent or even higher approval rating after the first Gulf War."""
2435,"""After Patrick Murphy’s charges were dropped, Murphy’s father gave the prosecutor a huge campaign donation."""
2441,"Says ""Tammy Baldwin had the opportunity to vote to honor the victims of 9/11 and she voted against it."""
2446,"Says he ""is the reason we do not pay a toll every time we pass over the bridge at MoPac and William Cannon."""
2464,"""President Obama has no plan to reduce the deficit, let alone pay down the debt."""
2465,Says  Sherrod Brown’s campaign attacked Josh Mandel’s military service
2475,"""The auditor [for the city of Providence] was not locked out"" of access to the city's finances."
2479,"Says that when Democrats controlled Congress and the White House, federal spending as a share of the Gross Domestic Product leapt from 18.2 percent in 2001 to 25.2 percent in 2009 -- the largest such increase in any eight-year period since World War II."
2484,"""Days after the (Osama bin Laden) raid, Hollywood was invited into the White House so that they could receive a briefing"" that revealed intelligence sources and methods."
2485,"Claims Joe Biden said ""coal is more dangerous than terrorists."""
2495,"President Ronald Reagan sent troops into conflict ""only in one circumstance, which was in Grenada … We were in a peacekeeping setting in Lebanon."""
2496,"""The White House has three staff calligraphers making between $86,000 and $97,000 each, and just one National Security Director. She makes $55,000."""
2502,"""If you have ever visited Nashville or Washington D.C. you will see MANY names and initials carved into ... desks."""
2503,"""Bill Nelson was the deciding vote"" on the health care law."
2507,"Tim Kaine ""made Virginia the best state for business four years in a row."""
2515,"Says President Obama's new immigration plan ""is amnesty."""
2516,"U.S. Sen. Bill Nelson was ""the deciding vote for the health care law."""
2528,"Says Tom Barrett ""voted to ban 15 different kinds of guns, even a lot of common deer rifles."""
2529,"""Obama’s flush with cash, returning to Wall Street for even more money. … Wall Street sure supports President Obama."""
2532,"Betty Sutton ""gutted Medicare by $500 billion"" with her vote for the president's health care bill."
2535,"Says Democratic recall opponent Tom Barrett is campaigning on ""lifting property tax"" limits."
2536,"""The expiration of the Bush-era tax cuts ... would be the biggest tax increase in the history of the country, about $4.6 trillion over 10 years."""
2539,"Says President Barack Obama ""added"" $6.5 trillion to the national debt in his first term, more than the $6.3 trillion added by the previous 43 presidents combined."
2543,"The Wisconsin law repealed by Republicans, which allowed discriminated workers to sue in state court, ""was kind of a gravy train"" for lawyers."
2544,"Says Gov. Scott Walker signed abortion, sex education and discrimination bills ""in secret."""
2548,"""Women account for 92.3 percent of the jobs lost under Obama."""
2557,"The CBO says the cost of health care reform will rise to $1.8 trillion, ""increasing the price to far greater than the $900 billion"" originally projected."
2567,"""The national unemployment rate has been above 8 percent for a record 36 months."""
2573,"Says critics called the original GI Bill ""welfare."""
2577,"""The Obama administration ... would impose on every Catholic institution, every Jewish institution, every Protestant institution the Obamacare standard of what you have to buy as insurance."""
2586,"""More Americans have lost their jobs under Barack Obama than any president in modern history."""
2587,"Says Mitt Romney ""runs away from Ronald Reagan."""
2589,Says Romney and Bain Capital drove KB Toys into bankruptcy by loading it up with debt.
2598,"In a watershed 1958 decision, ""the Warren court asserted by itself that the Supreme Court was supreme over the president and the Congress."""
2603,"""You look at defense … we're spending more than the rest of the world combined."""
2605,"Says the paperback edition of Mitt Romney's book deleted line that Massachusetts' individual mandate ""should be the model for the country"""
2611,Says the Department of Defense changed its definitions of al-Qaeda and the Taliban making it so almost anybody can be loosely associated with the groups.
2619,"The largest number of gamblers are ""from the poorest segments of the population."""
2643,"""Congressman Bill Young voted to cut taxes for millionaires and end your Medicare."""
2648,"In Afghanistan, ""it is very, very rare that someone who is killed in action is not killed by an"" improvised explosive device, or IED."
2679,"A year since the ""Recovery Summer,"" there has been been ""a fall, winter and spring of no recovery."""
2697,"Says George LeMieux ""even compared Marco Rubio to Barack Obama."""
2702,"U.S. Rep. Ron Kind, D-Wis., ""and his fellow Democrats went on a spending spree and now their credit card is maxed out"""
2703,"Democratic Reps. Cicilline, Boswell, Carnahan and Critz ""demanded that Congress vote to increase the nation’s debt limit without making any spending cuts."""
2705,"""Gerry Connolly and his fellow Democrats went on a spending spree and now their credit card is maxed out."""
2708,"""Betty Sutton and her fellow Democrats went on a spending spree and now their credit card is maxed out."""
2715,"""Most military experts say there is anywhere between 25 and 30 members of al Qaeda in Afghanistan."""
2744,"Senate Democrats who left the state for weeks to delay a vote on union bargaining power exercised a ""Wisconsin filibuster"" provided by the state’s constitution."
2754,Says families now pay out 40 percent of their income to taxes.
2765,"The war in Iraq was a major factor in blowing ""the top off the price of oil."""
2766,"""Overall we currently have $981 million, almost a billion dollars in active development projects right here in the City of Richmond."""
2768,"""Veterans can now download their electronic medical records with a click of the mouse."""
2770,"Says the Defense Department shrink-wrapped $10.8 billion in American money, loaded it on 175 pallets and put it on a transport plane to Iraq where they passed out $100 bills and no one has any receipts."
2781,Says one out of three U.S. homeless men is a veteran.
2785,"""I have always been focused on reining in the deficit."""
2795,"If the state turns down money for high-speed rail, it will ""kill nearly 10,000 permanent Wisconsin jobs."""
2798,"""Discretionary spending went up 84 percent in the last two years"""
2804,"""Morgan Griffith fought for a plan that would have taken money away from our schools and given it to Northern Virginia schools instead."""
2805,"""Michael Bennet cast the deciding vote"" for the stimulus and the health care bill."
2810,"""Mark Kirk: Lied about going to war. Opposed middle class tax cuts. And said unemployment’s not that big an issue."""
2821,"""The size of our federal government has more than doubled since the year 2000."""
2823,"Tom Barrett ""voted for the largest tax increase in history ... raising taxes on gas and Social Security."""
