Unnamed: 0,claim,year_of_publish,month_of_publish,day_of_publish,truth_value
111,The “Culture of good neighborliness” course for Ukrainian schoolchildren promotes gender and sexual orientation change,2022,november,30,meter-false
112,US research in Ukraine led to an increase in the incidence of tick-borne borreliosis in Ukraine and an increase in the number of ticks in russia,2022,september,22,meter-false
113,"In Chile, the law on the rights of “mutants” and genetically modified people has been approved – Ostap Stakhiv",2022,september,22,meter-false
114,The COVID-19 incidence rate became zero in late May 2022,2022,september,22,meter-false
115,"The risk of death among children vaccinated against COVID-19 is 52 times greater, says ONS",2022,september,22,meter-false
116,Provocation and Disinformation Overview,2023,february,20,meter-false
117,"In Ukraine, the theft and homicide levels rose due to power outages",2022,november,30,meter-false
118,Ukrainians beat two Berlin residents for speaking in russian,2022,november,30,meter-false
119,A quote from Paul Goebbels about the Banderites,2022,november,30,meter-false
120,The “Culture of good neighborliness” course for Ukrainian schoolchildren promotes gender and sexual orientation change,2022,november,30,meter-false
121,US research in Ukraine led to an increase in the incidence of tick-borne borreliosis in Ukraine and an increase in the number of ticks in russia,2022,september,22,meter-false
122,"In Chile, the law on the rights of “mutants” and genetically modified people has been approved – Ostap Stakhiv",2022,september,22,meter-false
123,The COVID-19 incidence rate became zero in late May 2022,2022,september,22,meter-false
124,"The risk of death among children vaccinated against COVID-19 is 52 times greater, says ONS",2022,september,22,meter-false
125,Provocation and Disinformation Overview,2023,february,20,meter-false
126,"In Ukraine, the theft and homicide levels rose due to power outages",2022,november,30,meter-false
127,Ukrainians beat two Berlin residents for speaking in russian,2022,november,30,meter-false
128,A quote from Paul Goebbels about the Banderites,2022,november,30,meter-false
129,The “Culture of good neighborliness” course for Ukrainian schoolchildren promotes gender and sexual orientation change,2022,november,30,meter-false
130,US research in Ukraine led to an increase in the incidence of tick-borne borreliosis in Ukraine and an increase in the number of ticks in russia,2022,september,22,meter-false
131,"In Chile, the law on the rights of “mutants” and genetically modified people has been approved – Ostap Stakhiv",2022,september,22,meter-false
132,The COVID-19 incidence rate became zero in late May 2022,2022,september,22,meter-false
133,"The risk of death among children vaccinated against COVID-19 is 52 times greater, says ONS",2022,september,22,meter-false
134,Provocation and Disinformation Overview,2023,february,20,meter-false
135,"In Ukraine, the theft and homicide levels rose due to power outages",2022,november,30,meter-false
136,Ukrainians beat two Berlin residents for speaking in russian,2022,november,30,meter-false
137,A quote from Paul Goebbels about the Banderites,2022,november,30,meter-false
138,The “Culture of good neighborliness” course for Ukrainian schoolchildren promotes gender and sexual orientation change,2022,november,30,meter-false
139,US research in Ukraine led to an increase in the incidence of tick-borne borreliosis in Ukraine and an increase in the number of ticks in russia,2022,september,22,meter-false
140,"In Chile, the law on the rights of “mutants” and genetically modified people has been approved – Ostap Stakhiv",2022,september,22,meter-false
141,The COVID-19 incidence rate became zero in late May 2022,2022,september,22,meter-false
142,"The risk of death among children vaccinated against COVID-19 is 52 times greater, says ONS",2022,september,22,meter-false
143,Provocation and Disinformation Overview,2023,february,20,meter-false
144,"In Ukraine, the theft and homicide levels rose due to power outages",2022,november,30,meter-false
145,Ukrainians beat two Berlin residents for speaking in russian,2022,november,30,meter-false
146,A quote from Paul Goebbels about the Banderites,2022,november,30,meter-false
147,The “Culture of good neighborliness” course for Ukrainian schoolchildren promotes gender and sexual orientation change,2022,november,30,meter-false
148,US research in Ukraine led to an increase in the incidence of tick-borne borreliosis in Ukraine and an increase in the number of ticks in russia,2022,september,22,meter-false
149,"In Chile, the law on the rights of “mutants” and genetically modified people has been approved – Ostap Stakhiv",2022,september,22,meter-false
150,The COVID-19 incidence rate became zero in late May 2022,2022,september,22,meter-false
151,"The risk of death among children vaccinated against COVID-19 is 52 times greater, says ONS",2022,september,22,meter-false
152,Provocation and Disinformation Overview,2023,february,20,meter-false
153,"In Ukraine, the theft and homicide levels rose due to power outages",2022,november,30,meter-false
154,Ukrainians beat two Berlin residents for speaking in russian,2022,november,30,meter-false
155,A quote from Paul Goebbels about the Banderites,2022,november,30,meter-false
156,The “Culture of good neighborliness” course for Ukrainian schoolchildren promotes gender and sexual orientation change,2022,november,30,meter-false
157,US research in Ukraine led to an increase in the incidence of tick-borne borreliosis in Ukraine and an increase in the number of ticks in russia,2022,september,22,meter-false
158,"In Chile, the law on the rights of “mutants” and genetically modified people has been approved – Ostap Stakhiv",2022,september,22,meter-false
159,The COVID-19 incidence rate became zero in late May 2022,2022,september,22,meter-false
160,"The risk of death among children vaccinated against COVID-19 is 52 times greater, says ONS",2022,september,22,meter-false
161,Provocation and Disinformation Overview,2023,february,20,meter-false
162,"In Ukraine, the theft and homicide levels rose due to power outages",2022,november,30,meter-false
163,Ukrainians beat two Berlin residents for speaking in russian,2022,november,30,meter-false
164,A quote from Paul Goebbels about the Banderites,2022,november,30,meter-false
165,The “Culture of good neighborliness” course for Ukrainian schoolchildren promotes gender and sexual orientation change,2022,november,30,meter-false
166,US research in Ukraine led to an increase in the incidence of tick-borne borreliosis in Ukraine and an increase in the number of ticks in russia,2022,september,22,meter-false
167,"In Chile, the law on the rights of “mutants” and genetically modified people has been approved – Ostap Stakhiv",2022,september,22,meter-false
168,The COVID-19 incidence rate became zero in late May 2022,2022,september,22,meter-false
169,"The risk of death among children vaccinated against COVID-19 is 52 times greater, says ONS",2022,september,22,meter-false
170,Provocation and Disinformation Overview,2023,february,20,meter-false
171,"In Ukraine, the theft and homicide levels rose due to power outages",2022,november,30,meter-false
172,Ukrainians beat two Berlin residents for speaking in russian,2022,november,30,meter-false
173,A quote from Paul Goebbels about the Banderites,2022,november,30,meter-false
174,The “Culture of good neighborliness” course for Ukrainian schoolchildren promotes gender and sexual orientation change,2022,november,30,meter-false
175,US research in Ukraine led to an increase in the incidence of tick-borne borreliosis in Ukraine and an increase in the number of ticks in russia,2022,september,22,meter-false
176,"In Chile, the law on the rights of “mutants” and genetically modified people has been approved – Ostap Stakhiv",2022,september,22,meter-false
177,The COVID-19 incidence rate became zero in late May 2022,2022,september,22,meter-false
178,"The risk of death among children vaccinated against COVID-19 is 52 times greater, says ONS",2022,september,22,meter-false
179,Provocation and Disinformation Overview,2023,february,20,meter-false
180,"In Ukraine, the theft and homicide levels rose due to power outages",2022,november,30,meter-false
181,Ukrainians beat two Berlin residents for speaking in russian,2022,november,30,meter-false
182,A quote from Paul Goebbels about the Banderites,2022,november,30,meter-false
183,The “Culture of good neighborliness” course for Ukrainian schoolchildren promotes gender and sexual orientation change,2022,november,30,meter-false
184,US research in Ukraine led to an increase in the incidence of tick-borne borreliosis in Ukraine and an increase in the number of ticks in russia,2022,september,22,meter-false
185,"In Chile, the law on the rights of “mutants” and genetically modified people has been approved – Ostap Stakhiv",2022,september,22,meter-false
186,The COVID-19 incidence rate became zero in late May 2022,2022,september,22,meter-false
187,"The risk of death among children vaccinated against COVID-19 is 52 times greater, says ONS",2022,september,22,meter-false
188,Provocation and Disinformation Overview,2023,february,20,meter-false
189,"In Ukraine, the theft and homicide levels rose due to power outages",2022,november,30,meter-false
190,Ukrainians beat two Berlin residents for speaking in russian,2022,november,30,meter-false
191,A quote from Paul Goebbels about the Banderites,2022,november,30,meter-false
192,The “Culture of good neighborliness” course for Ukrainian schoolchildren promotes gender and sexual orientation change,2022,november,30,meter-false
193,US research in Ukraine led to an increase in the incidence of tick-borne borreliosis in Ukraine and an increase in the number of ticks in russia,2022,september,22,meter-false
194,"In Chile, the law on the rights of “mutants” and genetically modified people has been approved – Ostap Stakhiv",2022,september,22,meter-false
195,The COVID-19 incidence rate became zero in late May 2022,2022,september,22,meter-false
196,"The risk of death among children vaccinated against COVID-19 is 52 times greater, says ONS",2022,september,22,meter-false
197,Provocation and Disinformation Overview,2023,february,20,meter-false
198,"In Ukraine, the theft and homicide levels rose due to power outages",2022,november,30,meter-false
199,Ukrainians beat two Berlin residents for speaking in russian,2022,november,30,meter-false
200,A quote from Paul Goebbels about the Banderites,2022,november,30,meter-false
201,The “Culture of good neighborliness” course for Ukrainian schoolchildren promotes gender and sexual orientation change,2022,november,30,meter-false
202,US research in Ukraine led to an increase in the incidence of tick-borne borreliosis in Ukraine and an increase in the number of ticks in russia,2022,september,22,meter-false
203,"In Chile, the law on the rights of “mutants” and genetically modified people has been approved – Ostap Stakhiv",2022,september,22,meter-false
204,The COVID-19 incidence rate became zero in late May 2022,2022,september,22,meter-false
205,"The risk of death among children vaccinated against COVID-19 is 52 times greater, says ONS",2022,september,22,meter-false
206,Provocation and Disinformation Overview,2023,february,20,meter-false
207,"In Ukraine, the theft and homicide levels rose due to power outages",2022,november,30,meter-false
208,Ukrainians beat two Berlin residents for speaking in russian,2022,november,30,meter-false
209,A quote from Paul Goebbels about the Banderites,2022,november,30,meter-false
210,The “Culture of good neighborliness” course for Ukrainian schoolchildren promotes gender and sexual orientation change,2022,november,30,meter-false
211,US research in Ukraine led to an increase in the incidence of tick-borne borreliosis in Ukraine and an increase in the number of ticks in russia,2022,september,22,meter-false
212,"In Chile, the law on the rights of “mutants” and genetically modified people has been approved – Ostap Stakhiv",2022,september,22,meter-false
213,The COVID-19 incidence rate became zero in late May 2022,2022,september,22,meter-false
214,"The risk of death among children vaccinated against COVID-19 is 52 times greater, says ONS",2022,september,22,meter-false
215,Provocation and Disinformation Overview,2023,february,20,meter-false
216,"In Ukraine, the theft and homicide levels rose due to power outages",2022,november,30,meter-false
217,Ukrainians beat two Berlin residents for speaking in russian,2022,november,30,meter-false
218,A quote from Paul Goebbels about the Banderites,2022,november,30,meter-false
219,The “Culture of good neighborliness” course for Ukrainian schoolchildren promotes gender and sexual orientation change,2022,november,30,meter-false
220,US research in Ukraine led to an increase in the incidence of tick-borne borreliosis in Ukraine and an increase in the number of ticks in russia,2022,september,22,meter-false
221,"In Chile, the law on the rights of “mutants” and genetically modified people has been approved – Ostap Stakhiv",2022,september,22,meter-false
222,The COVID-19 incidence rate became zero in late May 2022,2022,september,22,meter-false
223,"The risk of death among children vaccinated against COVID-19 is 52 times greater, says ONS",2022,september,22,meter-false
224,Provocation and Disinformation Overview,2023,february,20,meter-false
225,"In Ukraine, the theft and homicide levels rose due to power outages",2022,november,30,meter-false
226,Ukrainians beat two Berlin residents for speaking in russian,2022,november,30,meter-false
227,A quote from Paul Goebbels about the Banderites,2022,november,30,meter-false
228,The “Culture of good neighborliness” course for Ukrainian schoolchildren promotes gender and sexual orientation change,2022,november,30,meter-false
229,US research in Ukraine led to an increase in the incidence of tick-borne borreliosis in Ukraine and an increase in the number of ticks in russia,2022,september,22,meter-false
230,"In Chile, the law on the rights of “mutants” and genetically modified people has been approved – Ostap Stakhiv",2022,september,22,meter-false
231,The COVID-19 incidence rate became zero in late May 2022,2022,september,22,meter-false
232,"The risk of death among children vaccinated against COVID-19 is 52 times greater, says ONS",2022,september,22,meter-false
233,Provocation and Disinformation Overview,2023,february,20,meter-false
234,Russia’s Army was “destroyed.”,2022,December,18,meter-false
235,The war in Ukraine is “all over.”,2022,December,12,meter-false
236,“Gas prices are down back to where they were before Russia invaded Ukraine.”,2022,November,29,meter-true
237,"Images of a woman having bloody makeup applied show ""fake combatant photos” in Ukraine.",2022,November,27,meter-false
238,U.S. tax dollars sent to help Ukraine were laundered back by cryptocurrency firm FTX to help Democrats in midterms.,2022,November,13,meter-false
239,"President Joe Biden and Democrats ""send a fortune to Ukraine but nothing for our children.""",2022,November,2,tom_ruling_pof
240,“Ukraine has a nuclear bomb primed in Mykolaiv.”,2022,October,20,meter-false
241,Video clips show staged war footage from Ukraine.,2022,October,22,tom_ruling_pof
242,A CNN headline shows Uganda’s president saying he doesn’t support Ukraine because it would be “disgusting.”,2022,October,22,meter-false
243,North Korea has taken military action against Russia.,2022,October,8,tom_ruling_pof
244,“The Russian army has surrendered in Donetsk!”,2022,September,28,meter-false
245,"“North Korea sent more than 100,000 troops to Russia for the Ukraine War!”",2022,September,28,meter-false
246,“Chinese military convoy enters Ukraine from Russia.”,2022,September,18,meter-false
247,"""Russia is becoming the first country to break ties with the Antarctic Treaty.""",2022,September,12,tom_ruling_pof
248,Russia “has not lost anything” in its invasion of Ukraine.,2022,September,7,meter-false
249,“The Russian army is withdrawing from Ukraine!” in September 2022,2022,September,3,meter-false
250,“US Army in Ukraine.”,2022,August,17,meter-false
251,"“Putin humiliatingly blows up all weapons and facilities"" on Snake Island by retreating Russian troops.",2022,July,2,meter-mostly-false
252,Video shows Russian artillery tanks “completely destroyed by Bayraktar TB2 drones” on July 2.,2022,July,3,meter-false
253,Video shows Ukrainian soldiers shooting down Russian helicopters.,2022,June,29,meter-false
254,"With the $53 billion spent in Ukraine aid, the U.S. “could pay five SWAT members $80,000 each and have them at EVERY school front door.”",2022,May,26,meter-half-true
255,Video shows “Russian desert base and infrastructure hit by Bayraktar TB2 drone.”,2022,May,23,meter-false
256,“J.D. Vance profits off Russia propaganda.”,2022,May,10,meter-half-true
257,Video shows a “Russian pilot” escaping from jets and a Russian aircraft getting hit by a missile.,2022,May,22,meter-false
258,Video shows “Russian tank column totally destroyed by attack helicopter.”,2022,May,19,meter-false
259,Video shows helicopters in Ukraine “being picked off in ambush - Short range air-to-air missile”,2022,May,18,meter-false
260,“Soldiers destroyed Russian tank with NLAW in ambush.”,2022,May,18,meter-false
261,A recent photo shows the “Russian Orthodox Church blessing a rocket called Satan.”,2022,May,13,meter-false
262,"Says video shows ""Ukrainian forces shoot down Russian plane carrying hundreds (of) troops on Kyiv airport.""",2022,May,5,meter-false
263,“Space X’s Starlink internet constellation has angered Russia as it was reported that the Starlink satellite constellation was used to guide the fire” on the Russian ship Moskva.,2022,April,30,meter-false
264,"“War Begins — F-35, F-16 and MiG-29 NATO intercept and destroy Russia Jets in Polish air space.”",2022,April,27,meter-false
265,Photo of unbroken windows proves war in Ukraine is fake.,2022,April,23,tom_ruling_pof
266,Videos show that Ukraine President Volodymyr Zelenskyy uses cocaine.,2022,April,23,tom_ruling_pof
267,A video shows the Russian warship Moskva exploding.,2022,April,14,meter-false
268,"""America (is) trying to overthrow the Ukraine government just as the shadow government has infiltrated and overthrown the US government.""",2022,April,16,meter-false
269,"After Russia invaded Ukraine, Google Maps “opened all military and strategic facilities in Russia.”",2022,April,18,meter-false
270,"Vladimir Putin “released 35,000 children from tunnels and subway in Ukraine.”",2022,April,16,tom_ruling_pof
271,CNN tweeted about “brave children” in Ukraine signing up to fight Russia.,2022,April,15,tom_ruling_pof
272,Ukraine was responsible for the Kramatorsk train station bombing.,2022,April,13,meter-false
273,Photo of injured Ukrainian woman was from 2018 Russia gas explosion.,2022,February,27,meter-false
274,"Says Barack Obama tweeted, “Has anyone checked to make sure Donald Trump doesn’t have a Russian birth certificate?”",2022,April,2,meter-false
275,"A video taken from a car driving through Bucha, Ukraine, shows a corpse “moving his arm,” and then “in the rear view mirror the ‘corpse’ sits down.”",2022,April,3,meter-false
276,Will Smith slapped Chris Rock “to take attention away from Ukraine.”,2022,March,28,meter-false
277,The United Nations sent out an email instructing staff not to use the words “invasion” or “war’” when referring to Ukraine.,2022,March,17,meter-half-true
278,“The Simpsons” predicted Russia’s invasion of Ukraine.,2022,March,5,meter-false
279,CNN tweeted a picture of a Serbian resort and said it was in Ukraine.,2022,March,21,meter-false
280,"The Russian airstrike on a maternity hospital in Mariupol, Ukraine, had “the makings of yet another false flag operation” led by the U.S.",2022,March,11,tom_ruling_pof
281,“Ukraine has been shooting residents of Donetsk and Lugansk just because they wanted to speak Russian.”,2022,March,20,meter-false
282,Russian President Vladimir Putin “was assassinated.”,2022,March,19,tom_ruling_pof
283,"“Just a reminder that right before Ukraine was invaded, Hillary was found to be guilty of spying on a sitting U.S. president.”",2022,March,14,meter-false
284,“Putin Vows to ‘Crush’ Child Traffickers in Ukraine”,2022,March,2,meter-false
285,"""What is happening here is not so different from what we're seeing happening in Russia, where you have got state TV and controlled messaging across the board.""",2022,March,15,tom_ruling_pof
286,“A West Virginia inspection sticker on an Uber” proves the car was not in Ukraine.,2022,March,13,meter-false
287,"A recent on-air protest can’t be real because ""there are no live on air television broadcasts in Russia. None. Ever.”",2022,March,15,meter-false
288,A video shows current “leaked footage of heavy war between Russia vs Ukraine”,2022,March,15,meter-false
289,“Wladimir Klitschko has auctioned off his 1996 Atlanta Olympic Games gold medal to raise money for the children of Ukraine.”,2022,March,14,meter-half-true
290,"Classified documents from Ukraine “confirm without a shadow of a doubt” that the Ukraine government was “covertly preparing an offensive operation against Donbas, scheduled for March 2022.”",2022,March,9,meter-false
291,A Ukrainian combat medic who died in February was seen in a video Ukraine President Volodymyr Zelensky posted of his visit to see wounded soldiers.,2022,March,13,meter-false
292,This video shows “Russian war in Ukraine.”,2022,March,7,meter-false
293,"U.S. imports 1% of its oil from Russia while “Exxon, Chevron, BP and Shell profits are at their highest level in over 7 years.”",2022,March,7,meter-mostly-true
294,"Two years ago we were “drilling our own oil for $27 a barrel.” Now, thanks to Joe Biden, we’re “paying $105 a barrel to Russia.”",2022,March,6,meter-false
295,Video shows Russian President Vladimir Putin meeting with South Korea’s president.,2022,March,6,meter-false
296,"""Ukrainian civilian fleeing Kyiv captures footage of downed Russian tie fighter.""",2022,March,2,meter-false
297,A Ukrainian TikToker shows how to drive an abandoned Russian armored vehicle.,2022,February,28,meter-false
298,The war in Ukraine is “scripted and staged.”,2022,February,25,tom_ruling_pof
299,Joe Biden's sanctions on Russia “are riddled with loopholes and don't even start for 30 days. They have carve outs for the energy and financial sectors.”,2022,March,1,meter-half-true
300,Says Sean Penn’s trip to Ukraine in November is evidence the war is staged.,2022,February,28,meter-false
301,"""The Russian army does not occupy Ukrainian territory.""",2022,March,1,tom_ruling_pof
302,Photos show Ukrainian citizens destroying two Russian tanks with Molotov cocktails in Kyiv.,2022,February,26,meter-false
303,Video shows Ukrainian soldiers saying goodbye to loved ones amid Russia’s 2022 invasion.,2022,March,25,meter-false
304,A photo of a wounded young child was captured in Ukraine in 2022.,2022,February,24,meter-false
305,"The United States buys ""206,000 barrels of oil a day"" from Russia but ""shut down domestic oil production a year ago.""",2022,February,19,meter-mostly-false
306,Video shows footage from Russia invading Ukraine.,2022,February,24,meter-false
