id,claim,desc,truth_value
23,War in Ukraine Forces Israel Into a Delicate Balancing Act,"Israel is a strong ally of the United States, and its leaders have a good relationship with Volodymyr Zelensky, Ukraine’s Jewish president. But Israel also doesn’t want to provoke Russia.",meter-true
24,"Ukraine Agrees to Talks With Russia, but Fighting Still Rages","Putin, accusing the West of “aggressive statements,” puts nuclear forces on alert. Kyiv remains in Russian cross-hairs as Ukrainians push back.",meter-true
25,"In Foreign Policy U-Turn, Germany Ups Military Spending and Arms Ukraine",Germany agrees to strengthen its military in the latest foreign policy about-face amid pressure from allies and horror at Russia’s attack on Ukraine.,meter-true
26,,,meter-true
27,Oil prices climb as Ukraine crisis deepens.,"A nuclear threat, and skepticism at potential talks.",meter-true
28,‘Ukrainian People Don’t Give Up Hope’: U.S. Rallies Express Solidarity,"At events in Washington, Chicago, Boston and other cities on Sunday, demonstrators expressed their love for the country, anger at Vladimir Putin and hope for peace.",meter-true
29,Metropolitan Opera Says It Will Cut Ties With Pro-Putin Artists,The decision comes as arts institutions seek to distance themselves from some Russian performers amid the invasion of Ukraine.,meter-true
30,"10 Consequential Days: How Biden Navigated War, Covid and the Supreme Court","The dizzying events of the past week have pushed to the sidelines the congressional squabbling over President Biden’s domestic agenda, and are already redefining the arc of his presidency.",meter-true
31,"Putin Declares a Nuclear Alert, and Biden Seeks De-escalation","When the Russian leader ordered his nuclear forces into “special combat readiness,” the U.S. could have gone on high alert. Instead, the administration tried not to inflame him.",meter-true
32,Your Monday Briefing,Russia’s nuclear forces on alert.,meter-true
33,Daniil Medvedev Intrudes on the Big Four’s No. 1 Perch,"After nearly two decades of four men trading places at tennis’s top slot, Russia’s Medvedev put an end to their reign on Monday.",meter-true
34,"Quotation of the Day: Armed or Not, Villagers Rush to Join Fight","Quotation of the Day for Monday, February 28, 2022.",meter-true
35,What’s on TV This Week: ‘After Yang’ and the State of the Union,"Colin Farrell, Jodie Turner-Smith and Justin H. Min star in a new sci-fi movie on Showtime. And President Biden delivers a State of the Union address.",meter-true
36,Putin Is Spinning the Globe Faster and Faster,Can Biden slow it down?,meter-true
37,,,meter-true
38,"The ruble crashes, the stock market closes and Russia’s economy staggers under sanctions.",The hectic moves were the first signs that Western sanctions were shaking the foundations of Russia’s economy.,meter-true
39,The Battle for Kyiv,"Reporting from the Ukrainian capital as the once vibrant, bustling city is turned into a war zone.",meter-true
40,Classroom Disruptions,We look at the surprising number of recent classroom shutdowns in the U.S. And the latest from Ukraine.,meter-true
41,Markets are turbulent as sanctions start to isolate Russia’s economy.,Energy prices jumped and stocks on Wall Street fell. The New York Stock Exchange halted trading in shares of Russian companies.,meter-true
42,U.S. escalates sanctions with a freeze on Russian central bank assets.,The action is likely to fuel rapid inflation in Russia as it wages war in Ukraine.,meter-true
43,How Economic Warfare Is Battering Russia,“Completely unprecedented” financial sanctions against Russia are taking a global toll.,meter-true
44,"Switzerland says it will freeze Russian assets, setting aside a tradition of neutrality.",The decision came amid mounting public anger at Russia’s invasion of Ukraine.,meter-true
45,‘I Thought I Knew What Bravery Was. And Then I Saw Ukraine.’,Readers are moved by the courage of Ukrainians and their president. Also: Judge Jackson’s nomination to the Supreme Court; streaming movies.,meter-true
46,"Russian Artists Speak Out Against War, but Fear Reprisals",Two Russian artists have pulled out of the Venice Biennale and thousands are signing antiwar petitions.,meter-true
47,"Ukraine Presents a Moral Crisis, Not Just a Military One",All possible outcomes involve sacrifice and suffering on a huge scale.,meter-true
48,,,meter-true
49,On the Scene: A Molotov Cocktail Supplier,"If the cruise missile is the weapon that defines the Russian attack on Ukraine, the hand-thrown Molotov cocktail is the emblem of a home-grown resistance.",meter-true
50,Your Tuesday Briefing: Fighting Rages On,"Sanctions hit Russia, crushing the ruble.",meter-true
51,"After a Fumbled Start, Russian Forces Hit Harder in Ukraine","After days of miscalculation about Ukraine’s resolve to fight, Russian forces are turning toward an old pattern of opening fire on cities and mounting sieges.",meter-true
52,"As Sanctions Batter Economy, Russians Face the Anxieties of a Costly War","The ruble plunged, the stock market was shuttered and foreign investors shed holdings in Russian companies, deepening the concern among citizens who had become accustomed to the perks of globalization.",meter-true
53,Invasion Brings Russia Global Repudiation With Cold War Echoes,"From culture to commerce, sports to travel, the world is shunning Russia in myriad ways to protest President Vladimir V. Putin’s invasion of Ukraine.",meter-true
54,"Mission to Mars with Russia this year is now ‘very unlikely,’ European Space Agency says.","The ExoMars mission, postponed in 2020 because of the pandemic and technical issues, may miss its window to launch this year because of sanctions imposed against Russia over the invasion of Ukraine.",meter-true
55,"Switzerland says it will freeze Russian assets, setting aside a tradition of neutrality.",The decision came amid mounting public anger at Russia’s invasion of Ukraine.,meter-true
56,‘I Thought I Knew What Bravery Was. And Then I Saw Ukraine.’,Readers are moved by the courage of Ukrainians and their president. Also: Judge Jackson’s nomination to the Supreme Court; streaming movies.,meter-true
57,"Russian Artists Speak Out Against War, but Fear Reprisals",Two Russian artists have pulled out of the Venice Biennale and thousands are signing antiwar petitions.,meter-true
58,"Ukraine Presents a Moral Crisis, Not Just a Military One",All possible outcomes involve sacrifice and suffering on a huge scale.,meter-true
59,,,meter-true
60,On the Scene: A Molotov Cocktail Supplier,"If the cruise missile is the weapon that defines the Russian attack on Ukraine, the hand-thrown Molotov cocktail is the emblem of a home-grown resistance.",meter-true
61,Your Tuesday Briefing: Fighting Rages On,"Sanctions hit Russia, crushing the ruble.",meter-true
62,"After a Fumbled Start, Russian Forces Hit Harder in Ukraine","After days of miscalculation about Ukraine’s resolve to fight, Russian forces are turning toward an old pattern of opening fire on cities and mounting sieges.",meter-true
63,"As Sanctions Batter Economy, Russians Face the Anxieties of a Costly War","The ruble plunged, the stock market was shuttered and foreign investors shed holdings in Russian companies, deepening the concern among citizens who had become accustomed to the perks of globalization.",meter-true
64,Invasion Brings Russia Global Repudiation With Cold War Echoes,"From culture to commerce, sports to travel, the world is shunning Russia in myriad ways to protest President Vladimir V. Putin’s invasion of Ukraine.",meter-true
65,"Mission to Mars with Russia this year is now ‘very unlikely,’ European Space Agency says.","The ExoMars mission, postponed in 2020 because of the pandemic and technical issues, may miss its window to launch this year because of sanctions imposed against Russia over the invasion of Ukraine.",meter-true
66,Ukraine War Tests the Power of Tech Giants,"Google, Meta, Twitter, Telegram and others are levers in the conflict, caught between demands from Ukraine, Russia, the European Union and the U.S.",meter-true
67,New York City’s Next Chapter,The new mayor is rolling back virus mandates.,meter-true
68,"In Miami, a Ukrainian Art Show Becomes Unintentionally Timely",A Kyiv couple stage a socially charged exhibition in South Florida as their Voloshyn Gallery back home becomes a bomb shelter.,meter-true
69,What Questions Do You Have About Russia’s Invasion of Ukraine?,"New York Times reporters will answer reader questions about the war, the world’s response and the effects of sanctions against Russia.",meter-true
70,,,meter-true
71,A Barrage of Rockets Hits Kharkiv,Russian forces escalate their attacks.,meter-true
72,Russian Rocket Barrage Kills Civilians as First Talks Show No Progress,"The deadly rocket assault on a residential area of Ukraine’s second-largest city signaled an escalation of Russian tactics, and overshadowed efforts at diplomacy.",meter-true
73,Russia Is a Potemkin Superpower,The Ukraine war has revealed the Putin regime’s true weakness.,meter-true
74,"In State of the Union, Biden Will Focus on Economy and Global Response to Russia",The speech was originally going to center primarily on the president’s domestic agenda. But the war in Europe has forced the White House to change gears.,meter-true
75,A few members of the Russian Parliament speak out against the war.,"In a rare show of dissent, three deputies of the State Duma have expressed regret about the attack.",meter-true
76,The U.S. expels 12 Russian diplomats for spying as Ukraine dominates action at the U.N.,The move is part of a larger effort to isolate Russia diplomatically and economically since it invaded Ukraine last week.,meter-true
77,Ukraine Gets $22 Million in Crypto Donations to Fight Invasion,Cryptocurrency has provided a way for investors to quickly move funds to Ukrainian fighters.,meter-true
78,Why Ukrainians Believe They Can Win,Idealism has been a powerful weapon in the resistance against Russia.,meter-true
79,"As Tanks Rolled Into Ukraine, So Did Malware. Then Microsoft Entered the War.","After years of talks about the need for public-private partnerships to combat cyberattacks, the war in Ukraine is stress-testing the system.",meter-true
80,Zelensky Accuses Russia of Shelling During Peace Talks,"President Volodymyr Zelensky of Ukraine accused Russia of launching rocket and missile strikes against Ukraine’s second-largest city, Kharkiv, as the two countries held negotiations to halt the ongoing war.",meter-true
81,,,meter-true
82,Your Tuesday Briefing,A bloody attack on Ukraine’s second-largest city.,meter-true
83,‘My Fellow Americans’: Four Times Columnists Channel Joe Biden,We will start again — and we will start now.,meter-true
84,"Quotation of the Day: As War Grinds Into 5th Day, Kremlin Starts Hitting Harder","Quotation of the Day for Tuesday, March 1, 2022.",meter-true
85,Trevor Noah Reviews Putin’s Attempt at a Soviet Reunion,"If bringing back the Soviet Union is Putin’s goal, the “Daily Show” host joked, long lines are a good start.",meter-true
86,"Within Days, Russia’s War on Ukraine Squeezes the Global Economy","The price of energy has already shot higher, and the conflict imperils supply chains, factors that could exacerbate inflation and suppress growth.",meter-true
87,"Valery Gergiev, a Putin Ally, Fired as Chief Conductor in Munich","The conductor was dismissed from the Munich Philharmonic after he refused to denounce Putin’s invasion of Ukraine. He and Anna Netrebko, the Russian diva, were also fired by the Bavarian State Opera.",meter-true
88,How the State of the Union Became One of the Weirdest Nights in American Politics,It has all the mystery and half the charm of a slapped-together awards show. ,meter-true
89,What the War in Ukraine Means for the World’s Food Supply,Nations are not secure unless their food supplies are. ,meter-true
90,Can the West Stop Russia by Strangling Its Economy?,The economic historian Adam Tooze explains how the invasion of Ukraine is inciting war in the financial markets.,meter-true
91,"N.Y. Republicans Back Rep. Lee Zeldin, a Trump Ally, for Governor","The Republican State Convention is giving party leaders a chance to test messages about crime, inflation and Democratic leadership.",meter-true
92,,,meter-true
93,"Watching the War in Ukraine, Taiwanese Draw Lessons in Self-Reliance","Many in Taiwan see parallels with Ukraine. “We must use this time of peace to prepare for the worst,” says a nonprofit working to promote civil defense.",meter-true
94,A Bad Start for Russia,But many experts are worried about what happens next.,meter-true
95,"Weekly News Quiz for Students: Ukraine Invasion, C.D.C. Guidelines, Women’s Soccer",Have you been paying attention to the news recently? See how many of these 10 questions you can get right.,meter-true
96,Geopolitical Risk Returns for Global Markets,Investors are weighing the implications of Russian sanctions — and a new Cold War.,meter-true
97,Countries rush to release emergency reserves as oil prices soar.,"The announcement was aimed to assure markets that there would be “no shortfall” as a result of Russia’s invasion of Ukraine, but oil prices kept rising, closing above $100 a barrel.",meter-true
98,"As World Rebukes Russia, India Tries to Stay Above the Fray","A nation isolated in a hostile region increasingly dominated by China, its challenge is to engage the West while not abandoning ties with an old ally.",meter-true
99,"Joining Sanctions on Russia, Italy Risks More Than Most","The two countries have had strong economic ties for decades, but the invasion of Ukraine has spurred the government in Rome to realign with European allies — at an outsize cost.",meter-true
100,Diplomats walk out of Lavrov’s speech at the U.N. in Geneva.,"Sergey Lavrov accused Ukraine of seeking to acquire nuclear weapons, an unsubstantiated claim that Moscow has used as justification for its invasion.",meter-true
101,"Russian Invaders, and Ukraine’s Civilian Toll",Readers praise the heroism of the Ukrainian people but worry about damage to civilian infrastructure and the need for humanitarian aid.,meter-true
102,Warning: Threats are accelerating,,meter-true
103,,,meter-true
104,War in Ukraine Has Investors Thinking About a Second Cold War,Military conflicts have not been a major factor in market movements for decades. But Russia’s invasion of Ukraine has put global relations back on investors’ minds.,meter-true
105,"Gérard Depardieu, Friend of Putin, Denounces ‘Fratricidal War’","“Stop the weapons and negotiate,” the French actor and staunch Russia ally told a news agency.",meter-true
106,‘My Cousins Are Killing One Another’: War in Ukraine Splits Mixed Families,"Because of their countries’ complex and intertwined history, many Ukrainians and Russians have relatives who are standing on opposite sides of the conflict.",meter-true
107,Biden says Putin ‘badly miscalculated’ in invading Ukraine.,President Biden delivered his first State of the Union address amid spiraling inflation at home and an escalating war in Europe.,meter-true
108,Ukrainian Invasion Adds to Chaos for Global Supply Chains,Russia’s military incursion is severing key supply chains and setting off a scramble among global companies to comply with new sanctions.,meter-true
109,I’m a Cold War Historian. We’re in a Frightening New Era.,What will follow Russia’s reckless invasion of Ukraine?,meter-true
110,"War, What Is It Good For?",Why conquest makes the conqueror weaker.,meter-true
111,Review: ‘Don Carlos’ Finally Brings French Verdi to the Met,"Yannick Nézet-Séguin led the sprawling masterpiece, which is being presented by the company for the first time in its original language.",meter-true
112,Ukraine Invasion Increases Friction Between Erdogan and Putin,"The Turkish and Russian leaders have found themselves on opposite sides of a host of armed conflicts. In Ukraine, the stakes may be higher than ever.",meter-true
113,A Spotlight on Tech’s Invisible Start-ups,A new how-to guide aims to support the start-ups that are chugging along and doing just fine.,meter-true
114,,,meter-true
115,Why Ukraine’s road to European Union membership will likely be long and winding.,"Russia’s invasion of Ukraine is helping to focus minds in Brussels. But the country has big hurdles to overcome before it can join the E.U., the world’s biggest trading bloc.",meter-true
116,Tennis Suspends Russia and Belarus but Will Allow Their Players to Compete,The move will allow stars like Daniil Medvedev of Russia and Victoria Azarenka of Belarus to participate in tournaments but as neutral players with no national identification.,meter-true
117,Transcript: Ezra Klein Interviews Adam Tooze,A conversation with the economic historian.,meter-true
118,Analysts say Russian convoy likely signals a shift to invasion strategy.,"Satellite imagery has shown a Russian military convoy stretching 40 miles on a roadway north of Ukraine’s capital, Kyiv. Experts say it probably indicates a shift to siege tactics.",meter-true
119,Your Wednesday Briefing: A Convoy Nears Kyiv,Plus the U.S. State of the Union and South Korea’s fight over multiculturalism.,meter-true
120,U.K. Moves to Tighten Laws on Oligarchs. Critics Say It’s Too Late.,"With most of the Western world uniting against Russia’s invasion of Ukraine, Britain is trying to plug loopholes for wealthy Russians to which it has long turned a blind eye.",meter-true
121,European car plants hurt by supply problems linked to war.,"Volkswagen, BMW and Porsche said they would be forced to curtail production at factories. Ukraine produces crucial electronic components.",meter-true
122,A Surge of Unifying Moral Outrage Over Russia’s War,"Ukrainians take to social media, and taboos are tumbling as countries abandon neutrality and people abandon indifference to support their cause.",meter-true
123,Ukraine War Sets Off Europe’s Fastest Migration in Decades,"At least 660,000 people, mostly women and children, fled Ukraine in the five days after Russia invaded — the most intense wave of European migration since at least the 1990s.",meter-true
124,Many nuclear power reactors in Ukraine are no longer producing electricity.,"Six of the 15 reactors in the country appear to be offline at the moment, with one site close to Russian troop movements reporting half of its reactors are down.",meter-true
125,,,meter-true
126,Russian Troop Deaths Expose a Potential Weakness of Putin’s Strategy,"Videos and photos show the bodies of soldiers left behind on the battlefield, officials say, and the charred remains of tanks and armored vehicles.",meter-true
127,Your Tuesday Evening Briefing,Here’s what you need to know at the end of the day.,meter-true
128,Civilians Come Under Fire,Russian forces escalated attacks on Ukrainian cities.,meter-true
129,Jewish groups condemn a strike near the Babyn Yar Holocaust Memorial.,It was not clear what damage was done to the memorial but it is close to a radio and television tower in Kyiv that was hit by a projectile.,meter-true
130,Biden’s State of the Virus,"In his State of the Union speech tonight, President Biden must walk a delicate line on the coronavirus.",meter-true
131,How the Russian Invasion Changed This Ukrainian Pacifist’s Mind,"“We live in a moment when the army matters,” Nataliya Gumenyuk, a Ukrainian war correspondent reporting from Kyiv, tells Lulu Garcia-Navarro.",meter-true
132,"A Crisis Abroad, and a Presidential Address and an Election at Home","As President Biden delivers his first formal State of the Union address, Russia’s invasion of Ukraine escalates and the midterms begin in earnest in Texas.",meter-true
133,Biden Must Not Allow Ukraine to Fall,Zelensky’s courage gives the administration a rare opportunity.,meter-true
134,Exxon Mobil says it plans to leave its last remaining Russian project.,BP and Shell announced earlier that they were also seeking to leave the country after its invasion of Ukraine.,meter-true
135,"Spurning Rebukes, Russia Escalates Attack on Ukraine as Refugee Ranks Swell","There was no sign of possible de-escalation on the sixth day of the invasion, as Russia appeared determined to toughen its tactics against a defiant neighbor.",meter-true
136,,,meter-true
137,I See Three Scenarios for How This War Ends,"Every day that Putin refuses to stop, we get closer to the gates of hell.",meter-true
138,"At the Capitol, Biden Confronts a New Normal","President Biden’s address unfolded in a Capitol still grappling with a pandemic and the aftermath of a deadly riot, and now facing a war in Ukraine.",meter-true
139,Alexander Vindman on Why It’s the ‘Beginning of the End’ for Putin,The former Ukraine expert for the National Security Council shares his take on the Russia-Ukraine war.,meter-true
140,Boeing and Ford suspend operations in Russia.,The U.S. manufacturing companies are the latest to shut down offices and factories since Russia invaded Ukraine.,meter-true
141,Commerce Secretary Gina Raimondo is the designated survivor during the State of the Union.,The official is designated to watch the speech from afar in the event catastrophe strikes the Capitol while most of the government leaders are inside.,meter-true
142,"Corrections: March 2, 2022","Corrections that appeared in print on Wednesday, March 2, 2022.",meter-true
143,Full Transcript of Biden’s State of the Union Address,"The president spoke about the war in Ukraine, the coronavirus pandemic, the economy and more in his State of the Union speech.",meter-true
144,"Unity in a Foreign Policy Crisis, but Questions Still to be Answered","President Biden emphasized allies’ resolve in his State of the Union address, but acknowledged Russia may not be deterred from further efforts to reconstitute the Soviet bloc.",meter-true
145,Your Wednesday Briefing,Russia targets civilian areas.,meter-true
146,"Biden Has the Right Idea, but the Wrong Words","A Biden doctrine is emerging, even if he got only halfway there in his State of the Union address.",meter-true
147,,,meter-true
148,"In Russia, I Learned, Threats Were Always Real","A sense of menace floats long enough to make you think you’re paranoid. Sooner or later, what was feared happens. And nobody makes a secret of it.",meter-true
149,Looking for an Endgame in Ukraine,"Three scenarios for a place where our support for the Ukrainians, our sense of our own interests and the realities of Russian power might converge.",meter-true
150,The Ukraine of My Childhood Is Being Erased,Ukraine’s history is filled with waves of repression.,meter-true
151,How Europe Came Around on Sanctions,Will the bloc’s penalties be enough to help end Russia’s war on Ukraine?,meter-true
152,How Would You Describe the State of Our Union?,President Biden delivered his first State of the Union address on Tuesday. How do you think the country is doing right now?,meter-true
153,Biden for Democracy,Ukraine took center stage at the State of the Union.,meter-true
154,"As oil soars, OPEC and its allies decline to offer relief.","The oil cartel known as OPEC Plus said it would continue the strategy agreed to in July, rubber-stamping a 400,000-barrel-a-day production increase for April.",meter-true
155,"Stocks rise as Powell signals steadiness, and oil prices continue to march higher.",The rise in energy prices appeared to be tied to concerns about production limits and potential disruptions to Russian supplies.,meter-true
156,Biden Talks Business in the State of the Union,"From inflation to manufacturing and technology, the president’s annual address to Congress was heavy on economic issues.",meter-true
157,"Weekly Accessible Learning Activities: Ukraine, Advice, Cooking Insects",Each week we spotlight five student activities created for a broad range of learners based on reporting in The New York Times.,meter-true
158,,,meter-true
159,I’m Writing From a Bunker With President Zelensky Beside Me. We Will Fight to the Last Breath.,Nothing less than our freedom — and yours — is at stake.,meter-true
160,"Powell Says Rates Are Headed Higher, Even as Ukraine Poses Uncertainty","Jerome Powell, the Federal Reserve chair, said he would support a quarter-point increase at the March meeting.",meter-true
161,"‘We Are on Our Side’: Across Asia, a Mixed Reaction to Ukraine War","While most American allies in the region have fallen in line, authoritarian governments and those with weaker ties to the West have been more reluctant to act.",meter-true
162,Putin’s War to Bring Ukraine to Heel Unites Eastern Europe in Alarm,Many countries fear that the Russian leader’s efforts to turn back the clock and reclaim a sphere of influence lost at the end of the Cold War could spell disaster for them.,meter-true
163,Also at Stake in Ukraine: the Future of Two Orthodox Churches,The Russian church hopes to reunite with the independent Ukrainian branch under a single patriarch in Moscow that would allow it to control the holiest sites of Orthodoxy in the Slavic world.,meter-true
164,"The State of the Union: Together, if Only for a Few Minutes",President Biden brought a cheerleading tone to a normal-ish address for very abnormal times.,meter-true
165,"NATO Countries Pour Weapons Into Ukraine, Risking Conflict With Russia","Brussels is proud to be providing military aid, but Moscow may see it as a dangerous intervention.",meter-true
166,Senators want to know if Russia can use cryptocurrencies to skirt sanctions.,Four Democrats have asked Treasury officials to explain how they’re overseeing digital assets while Russia is largely frozen out of traditional commerce.,meter-true
167,Anxiety Grows in Odessa as Russians Advance in Southern Ukraine,"Residents of Odessa, Ukraine’s critical port on the Black Sea, are bracing as Russian naval and ground forces approach. “Every day they make it seem like today is the day,” the mayor said.",meter-true
168,The World Is Awash in Plastic. Nations Plan a Treaty to Fix That.,The new pact would be legally binding and could go beyond cleaning up plastic waste to curbs on future production.,meter-true
169,,,meter-true
170,"Before Invasion, Ukraine’s Lithium Wealth Was Drawing Global Attention","Chinese and Australian investors had been lining up to explore for lithium, a metal that is critical to batteries and the world’s transition to clean energy.",meter-true
171,"Chelsea Is for Sale, Its Russian Owner Says","As British lawmakers take aim at wealthy Russians, Roman Abramovich confirmed he was seeking to sell the Premier League team he has owned since 2003.",meter-true
172,The E.U. is expected to grant blanket protection to Ukrainian refugees.,"Under the measure, which would apply to all Ukrainian nationals, refugees would be granted the right to live, study and work across the 27-member bloc for up to three years.",meter-true
173,Stop-Start Schooling,The hidden costs of Omicron’s classroom closures.,meter-true
174,"Putin’s Maestro, and the Limits of Cultural Exchange in Wartime","The Russian conductor Valery Gergiev and the diva Anna Netrebko have lost engagements because of their ties to Putin, as geopolitics and music collide once again.",meter-true
175,Should Tech Stay or Go in Russia?,"Tech companies seem eager to support Ukraine, but how best to do that isn’t as clear.",meter-true
176,Different Views of Biden’s State of the Union Address,Contrasting reactions to the president’s remarks about Ukraine. Also: Russians and Russian Americans; the Swiss freeze of Russian assets; transgender kids.,meter-true
177,"China Asked Russia to Delay Ukraine War Until After Olympics, U.S. Officials Say",A Western intelligence report indicates that Chinese officials had some level of direct knowledge about President Vladimir V. Putin’s war plans or intentions.,meter-true
178,"15,000 Are Sheltering in Kyiv’s Subway","People sleep three or four to a mattress and plastic food bags litter the scene, while mothers search endlessly on their phones for news of the war.",meter-true
179,Your Thursday Briefing: Russia Seizes Kherson,A strategically important city falls.,meter-true
180,,,meter-true
181,War Abroad and Politics at Home Push U.S. Climate Action Aside,"Climate change, a central part of Biden’s agenda, was barely mentioned in the State of the Union. And Europe is confronting its heavy reliance on Russian gas.",meter-true
182,The U.N. General Assembly passes a resolution strongly condemning Russia’s invasion.,"The four-page document calls for an immediate halt to the conflict, urges diplomatic negotiations for a peaceful resolution and says Russia’s territorial gain through force will not be recognized.",meter-true
183,The U.S. extends technology restrictions to Belarus and the Russian oil industry.,The Biden administration said the measures would degrade the ability to wage war on Ukraine and would prevent Belarus from channeling forbidden goods to Russia.,meter-true
184,"Reports of civilian casualties rise in Ukraine, but exact counts remain uncertain.","As is often the case in war zones, tolls diverged. It was not immediately possible for The New York Times to provide an independent estimate.",meter-true
185,A War the Kremlin Tried to Disguise Becomes a Hard Reality for Russians,"Moscow posted a death toll from its attack on Ukraine for the first time, and Russians who long avoided politics are now grappling with the fact that their country is fighting a deadly conflict.",meter-true
186,Four Times Opinion Writers on War in Ukraine: ‘It Is Very Clear Putin Has No Plan B’,"Lulu Garcia-Navarro, Thomas Friedman, Ross Douthat and Yara Bayoumy discuss what could come next in Ukraine.",meter-true
187,Different Views of Biden’s State of the Union Address,Contrasting reactions to the president’s remarks about Ukraine. Also: Russians and Russian Americans; the Swiss freeze of Russian assets; transgender kids.,meter-true
188,"China Asked Russia to Delay Ukraine War Until After Olympics, U.S. Officials Say",A Western intelligence report indicates that Chinese officials had some level of direct knowledge about President Vladimir V. Putin’s war plans or intentions.,meter-true
189,"15,000 Are Sheltering in Kyiv’s Subway","People sleep three or four to a mattress and plastic food bags litter the scene, while mothers search endlessly on their phones for news of the war.",meter-true
190,Your Thursday Briefing: Russia Seizes Kherson,A strategically important city falls.,meter-true
191,,,meter-true
192,War Abroad and Politics at Home Push U.S. Climate Action Aside,"Climate change, a central part of Biden’s agenda, was barely mentioned in the State of the Union. And Europe is confronting its heavy reliance on Russian gas.",meter-true
193,The U.N. General Assembly passes a resolution strongly condemning Russia’s invasion.,"The four-page document calls for an immediate halt to the conflict, urges diplomatic negotiations for a peaceful resolution and says Russia’s territorial gain through force will not be recognized.",meter-true
194,The U.S. extends technology restrictions to Belarus and the Russian oil industry.,The Biden administration said the measures would degrade the ability to wage war on Ukraine and would prevent Belarus from channeling forbidden goods to Russia.,meter-true
195,"Reports of civilian casualties rise in Ukraine, but exact counts remain uncertain.","As is often the case in war zones, tolls diverged. It was not immediately possible for The New York Times to provide an independent estimate.",meter-true
196,A War the Kremlin Tried to Disguise Becomes a Hard Reality for Russians,"Moscow posted a death toll from its attack on Ukraine for the first time, and Russians who long avoided politics are now grappling with the fact that their country is fighting a deadly conflict.",meter-true
197,Four Times Opinion Writers on War in Ukraine: ‘It Is Very Clear Putin Has No Plan B’,"Lulu Garcia-Navarro, Thomas Friedman, Ross Douthat and Yara Bayoumy discuss what could come next in Ukraine.",meter-true
198,"Vladimir Potanin, Russian Oligarch, Steps Down as Guggenheim Trustee","Mr. Potanin, one of the richest men in Russia and a Guggenheim Museum donor for decades, is the latest oligarch affected by widening outrage over the war in Ukraine.",meter-true
