id,claim,desc,truth_value
28,"Russia, Ukraine and the West Vow to Fight On, in a War With No End in Sight","Moscow and Kyiv face daunting challenges in moving forward, with no clear sense of what an attainable victory might look like.",meter-true
29,Zelensky Urges Allies to Stay Strong Like a ‘Fist’ on War’s Anniversary,President Volodymyr Zelensky of Ukraine said he was confident his country could defeat the Russian invasion within the year if Ukraine’s allies remained united in their support.,meter-true
30,"China Reprises Old Themes in Ukraine Plan, Casting Itself as Neutral","A year after Russia’s invasion, Beijing released a paper declaring its position on the war: It called for an end to the fighting but avoided demands that could hurt its ties with Russia.",meter-true
31,"Zelensky answers reporters’ questions for hours, expressing confidence in Ukraine’s eventual victory.","On the anniversary of Russia’s full-scale invasion, Mr. Zelensky offered a broad overview of where the war stood, the challenges Ukraine faced and the opportunities in the months ahead.",meter-true
32,The Oligarchs’ Derby,"When the top teams in Greece meet, the story lines, and the rivalries, regularly extend far beyond the soccer field.",meter-true
33,"What I’m Watching, Weimar Noir Edition",“Babylon Berlin” is the TV show I can’t stop thinking about.,meter-true
34,U.S. Eyes Trade Deals With Allies to Ease Clash Over Electric Car Subsidies,The Biden administration has faced backlash in Europe and Asia over its plans to bolster electric vehicle and battery production.,meter-true
35,"Toward a New Uniform, at Prada","Miuccia Prada and Raf Simons elevate the everyday, while, at Fendi, Kim Jones splits the suit.",meter-true
36,Six ways the war changed the world.,The ripple effects of Russia’s invasion have reordered lives and upended economies. Here are some of the consequences.,meter-true
37,,,meter-true
38,A United Front,Western unity could have consequences beyond Russia’s invasion of Ukraine.,meter-true
39,A Year of War in Ukraine,Ukrainians discuss how their lives have changed since Russia invaded their country.,meter-true
40,The Times invites readers to reflect on the war in Ukraine.,Share your reactions and observations about the conflict.,meter-true
41,"Fear, Anger, Love: See Ukrainians’ Texts From the First Hours of War","On Feb. 24, 2022, many people in Ukraine were awakened by explosions, and others by the pings of anxious or supportive messages. Their exchanges that morning are a snapshot of a turning point in modern history.",meter-true
42,"The New York Times News Quiz, February 24, 2023",Did you follow the news this week? Take our quiz to see how well you stack up with other Times readers.,meter-true
43,Our Photographers in Ukraine on the Images They Can’t Forget,"In a year of war, New York Times photographers have reported from the front line, from cities and villages and in the footsteps of refugees. These pictures stayed with them.",meter-true
44,‘It’s Complicated’: How Biden and Zelensky Forged a Wartime Partnership,The relationship between the two leaders has become critical to the future of the international order.,meter-true
45,Fashioning a Future in the Face of War,"A year after Russia began its invasion of Ukraine, four figures from the Kyiv fashion scene reflect on a year of personal and professional survival.",meter-true
46,Children and a Year of War,"On this anniversary of the war in Ukraine, what do you notice and wonder about the lives of young people there?",meter-true
47,This War May Be Heading for a Cease-Fire,The Korean War shows that a frozen conflict can be preferable to the alternatives.,meter-true
48,,,meter-true
49,Yellen Confronts Russian Officials at G20 Meeting,"In a private session, Treasury Secretary Janet L. Yellen said the Russians were “complicit in Putin’s atrocities,” according to remarks shared by a U.S. official.",meter-true
50,Your Friday Briefing,"The war in Ukraine, one year in.",meter-true
51,"Europe Has Weathered an Energy Crisis, for Now",Worries about gas and oil supplies have greatly eased. But reverberations from the war in Ukraine continue to cloud longer-term forecasts.,meter-true
52,How the U.S. Adopted a New Intelligence Playbook to Expose Russia’s War Plans,Bolder disclosures are part of a larger effort to stymie the Kremlin’s offensive in Ukraine and align support for Kyiv’s war effort in allied countries.,meter-true
53,Let’s All Do the DeSantis Shimmy!,How to be a recovering globalist in a few easy lessons.,meter-true
54,Lethal Threat or Tolerable Risk? Ukrainians Must Judge Constantly.,"After a year of war, people in Ukraine have become adept at telling which threats are probably not deadly, leaving room for a little enjoyment, and even hope.",meter-true
55,Putin and the Right’s Tough-Guy Problem,What if wokeness doesn’t make you weak and swaggering does?,meter-true
56,Your Thursday Evening Briefing,Here’s what you need to know at the end of the day.,meter-true
57,Your Friday Briefing: A Year of War,"Also, Nigeria’s upcoming election and health. care protests in China.",meter-true
58,Prigozhin’s Feud With Russia’s Military Leaves Questions About Battlefield Results,The leader of Wagner appears to have backed down from his latest criticism of Russia’s senior command. But his vitriolic remarks suggested more discord in Russia’s war effort.,meter-true
59,,,meter-true
60,"A New ‘Lohengrin,’ Threatened by War in Ukraine, Comes to the Met","François Girard’s staging, originally a co-production with the Bolshoi Theater, arrives a year after its Moscow premiere, which coincided with Russia’s invasion of Ukraine.",meter-true
61,"Anne Imhof, Dancing in the Ruins","The German provocateur’s opening in Los Angeles shows her choreographic skills and obsession with youthful nihilism. But when the performers leave, the emptiness remains.",meter-true
62,Nicholas Kristof and Samantha Power on the Ukraine invasion one year later,"“It would be shortsighted to think that Ukraine can achieve battlefield victories while the lights are going out,” the U.S.A.I.D. administrator said of humanitarian aid.",meter-true
63,The West Tried to Isolate Russia. It Didn’t Work.,The West never won over as much of the world as it initially seemed. Here’s how Russia is taking advantage of a fragmented world.,meter-true
64,E.U. Officials Ban TikTok From Employees’ Phones,"The European Commission took aim at the popular Chinese-owned app, citing “cybersecurity threats.”",meter-true
65,Two Above the Rest,We offer a field guide to the 2024 Republican presidential campaign.,meter-true
66,Bulgarian Factories and Secret Task Forces: How the West Hunts for Soviet Arms,"Ukraine has long relied on Russian weapons for its armed forces. Now it is scrambling to get Soviet-era ammunition for those weapons, with the help of manufacturers even in rural corners of Eastern Europe.",meter-true
67,Yellen Calls for More Ukraine Support and Warns China Against Helping Russia,"Ahead of a meeting of G20 finance ministers, the Treasury secretary offered a dark assessment of Russia’s economy and warned China of the consequences of helping Moscow skirt U.S. sanctions.",meter-true
68,What the War in Ukraine Has Truly Cost Us,War isn’t just tragic. It squanders our resources.,meter-true
69,Your Thursday Briefing,President Biden in Warsaw.,meter-true
70,,,meter-true
71,"How One Ukrainian Company Survived, and Thrived, Through a Year of War","For Kormotech and its 1,300 employees, Russia’s invasion disrupted everything. After nimble decision-making and good fortune, sales are up, providing Ukraine with much-needed tax revenue.",meter-true
72,A Farewell to Readers,The debate continues.,meter-true
73,Putin and Biden Shore Up Alliances in Dueling Appearances,"On the surface, it looked like a reversion to the Cold War era. The reality was even more complicated.",meter-true
74,Inside Putin’s Celebration of War,"A concert and rally in Russia’s largest stadium romanticized the invasion of Ukraine, as Vladimir V. Putin and his government seek to normalize the country’s war footing.",meter-true
75,Your Wednesday Evening Briefing,Here’s what you need to know at the end of the day.,meter-true
76,Your Thursday Briefing: Key Meetings for Biden and Putin,"Also, another deadly Israeli raid in the West Bank and South Korea’s fight over L.G.B.T.Q. rights.",meter-true
77,Ukraine Hits Russian Positions Deep Behind Enemy Lines,"Nearly a dozen explosions rang out in the Russian-held Ukrainian port city of Mariupol, site of one of the best-known battles of the war.",meter-true
78,‘A House Made of Splinters’ Review: Home Is Where the Hope Is,"This film, an Oscar nominee this year for best documentary feature, has an aching sensitivity for the children in a Ukraine shelter.",meter-true
79,Fed Minutes Showed Policymakers Were Still Intent on Easing Inflation,Federal Reserve officials thought they needed to do more to cool the economy even before a series of strong data releases in recent weeks.,meter-true
80,Ukraine prepares itself for the possibility of Russian aggression via Moldova and Belarus.,"Military analysts doubt Russia’s ability to sustain a new front, but Ukrainian and Western officials have warned that Moscow could try to divert Ukrainian resources.",meter-true
81,,,meter-true
82,Biden’s Economic Record,"As Biden’s economic team turns over, we look at its successes and failures over the first two years.",meter-true
83,"How Poland, Long Leery of Foreigners, Opened Up to Ukrainians","The country, once one of the world’s most ethnically and culturally homogeneous, has accommodated far more refugees from neighboring Ukraine than any other nation.",meter-true
84,Live Performance in New York: Here’s What to See This Spring,"“Life of Pi” and Laura Linney on Broadway, Lise Davidsen at the Met Opera, SZA on tour: Here’s what we’re looking forward to this season.",meter-true
85,China’s Economic Support for Russia Could Elicit More Sanctions,"U.S. officials pledged to crack down on shipments to Russia that can be used for both civilian and military purposes, but that has proved hard to police.",meter-true
86,Biden’s Meeting With Eastern European Leaders Will Cap His Trip,The nine countries along NATO’s eastern flank are the likeliest targets of another Russian invasion.,meter-true
87,Russian Troops Know How Little They Mean to Putin,"Despite staggering losses, the Kremlin is still intent on fighting.",meter-true
88,Your Wednesday Briefing,Addresses by President Biden and Vladimir Putin.,meter-true
89,Biden Accuses Putin of Atrocities and Urges World to Rebuke Him,"In sharply opposed speeches, President Biden said Vladimir V. Putin bore sole responsibility for the war, while Mr. Putin said Russia had invaded in self-defense. But they agreed the war would not end soon.",meter-true
90,"In Kyiv, Italy’s prime minister condemns Russia and pledges further support to Ukraine.","The prime minister, Giorgia Meloni, reiterated her backing amid dissension within her coalition government on the issue.",meter-true
91,Your Tuesday Evening Briefing,Here’s what you need to know at the end of the day.,meter-true
92,,,meter-true
93,Your Wednesday Briefing: Biden and Putin Speak on Ukraine,"Also, Saudi Arabia intensifies a crackdown and the Philippines moves closer to the U.S.",meter-true
94,No One in Europe Is Telling Poland to ‘Shut Up’ Now,"Having been proved right about Russia, Warsaw is savoring its newfound influence in NATO and on Ukraine policy.",meter-true
95,China’s Courtship of European Powers Hits a Russian Wall,"Beijing, in urgent need of reviving its economy, wants to mend ties with Europe but is struggling to create distance between itself and Moscow.",meter-true
96,Biden vs. Putin Over the War in Ukraine,President Biden’s visit to Kyiv and Vladimir Putin’s speech. Also: Fox News lies; Don Lemon; Election Day as a holiday; U.S.-Philippine history.,meter-true
97,Russia’s Top Paramilitary Chief Accuses Army Command of Treason,"Caustic accusations by the head of the Wagner mercenary group, Yevgeny Prigozhin, suggest that his vaunted access to Vladimir Putin may be on the wane.",meter-true
98,Putin’s Move on Nuclear Treaty May Signal End to Formal Arms Control,"Mutual inspections were interrupted by the pandemic, then by the war in Ukraine. But now New START, the last nuclear agreement between Russia and the United States, is dying, and arms control may be, too.",meter-true
99,Lives We Can Save,The opioid crisis doesn’t need to be this bad. It’s another example of America’s surprising resistance to effective treatments,meter-true
100,"In Northern Ukraine, a Different Sort of War Game",Russian forces are shelling border areas there to tie up thousands of Ukrainian troops that might otherwise defend against attacks farther south.,meter-true
101,A Poet Whose Tone Was Personal and Whose Vision Was Vast,"“True Life,” a collection of verse by the Polish poet Adam Zagajewski, arrives in English translation almost exactly two years after his death.",meter-true
102,Manchester United Bidding War Already Has a Winner: The Sellers,A Qatari royal and a British billionaire have designs on the Premier League giant. But the Glazer family still gets to set the price.,meter-true
103,,,meter-true
104,Your Tuesday Briefing,President Biden’s covert trip to Kyiv.,meter-true
105,Some of the Best Weapons in the World Are Now in Ukraine. They May Change the War.,What will Ukraine do with its new tanks?,meter-true
106,Biden’s Surreal and Secretive Journey Into a War Zone,"President Biden traveled covertly to the besieged Ukrainian capital of Kyiv, hoping to demonstrate American resolve to help defeat the Russian forces that invaded a year ago this week.",meter-true
107,Your Monday Evening Briefing,Here’s what you need to know at the end of the day.,meter-true
108,Your Tuesday Briefing: Biden Travels to Kyiv,"Also, another earthquake strikes Turkey and Syria.",meter-true
109,Biden’s Kyiv Visit Lifts Spirits of War-Weary Ukrainians,"The American president was the most prominent Western leader to visit Ukraine since Russia invaded, and the capital was swept up in the excitement.",meter-true
110,"On Blinken Visit, Quake Relief Soothes U.S.-Turkey Tensions","Secretary of State Antony J. Blinken pledged to keep helping Turkey recover from a devastating earthquake, but there were few hints of progress on disputes over F-16 sales and NATO.",meter-true
111,A Ukrainian Racer’s Olympic Fight Brings Pride but Also Guilt,"Vladyslav Heraskevych, the Ukrainian skeleton racer whose simple antiwar plea went viral at the Beijing Olympics, has tried to figure out how he can best serve his country. It hasn’t been easy.",meter-true
112,"In Biden’s Unannounced Visit to Kyiv, a Preview of an Increasingly Direct Contest With Putin",The vastly different world views of President Biden and President Vladimir V. Putin of Russia will become vividly apparent in a rare split-screen moment on Tuesday.,meter-true
113,New York Times Wins 3 Polk Awards,"The Times was honored for its coverage of the war in Ukraine and a photo of war victims, as well as for its reporting on private schools for Hasidic Jews in New York.",meter-true
114,,,meter-true
115,How Biden Thinks,"On Presidents’ Day, we go inside the West Wing to explain a crucial way that Biden is different from many Democrats.",meter-true
116,China Says U.S. Is ‘Not Qualified’ to Issue Orders on Arms,Beijing is trying to preserve ties with Moscow while asserting it is a neutral observer trying only to coax Russia and Ukraine into peace talks.,meter-true
117,Biden Visits Embattled Ukraine as Air-Raid Siren Sounds,President Biden took a nearly 10-hour train ride from the border of Poland to show his administration’s “unwavering support” nearly a year into Russia’s invasion.,meter-true
118,They Were Married. They Shared a Trench. They Died in It Together.,"Taras and Olha Melster signed up to help the war effort. Like many other urban professionals in Ukraine, they never expected to be sent to the front line.",meter-true
119,A Nobel Peace Prize Winner Sees Perils in the West’s Focus on Ukraine War,"Juan Manuel Santos, a former president of Colombia, said the Ukraine war was “sucking all the energy” away from fighting other challenges, including climate change.",meter-true
120,"Despite War, Ukrainian Dance Group Returns for the ‘America’s Got Talent’ Finale","Scattered around the globe by the conflict, the group pulled together enough performers and came up with a winning routine in five days.",meter-true
121,The Problem With Russia Is Russia,"Ukrainians will survive the Russian Federation, just as we survived the Soviet Union.",meter-true
122,What’s on TV This Week: ‘Snowfall’ and the N.A.A.C.P. Image Awards,"The final season of the drama series “Snowfall” airs on FX, and the 54th annual N.A.A.C.P. Image Awards are live on BET.",meter-true
123,Your Monday Briefing,Russia under President Vladimir Putin.,meter-true
124,‘All Quiet on the Western Front’ Wins Big at the BAFTAs,"The German-language antiwar movie won best film, best director and five other awards at Britain’s equivalent of the Academy Awards.",meter-true
125,,,meter-true
126,U.S. Warnings to China on Arms Aid for Russia’s War Portend Global Rift,Secretary of State Antony J. Blinken says Washington has indications that Beijing is strongly considering giving military aid to Moscow for the war in Ukraine.,meter-true
127,Your Monday Briefing: A Testy Exchange Between the U.S. and China,"Also, Vladimir Putin’s war narrative takes hold in Russia.",meter-true
128,Aging Societies,Asia’s population is shrinking faster than any other continent’s.,meter-true
129,"One Year Into War, Putin Is Crafting the Russia He Craves","In Ukraine, President Vladimir V. Putin’s invasion has met setback after setback. But its effect at home has been very different.",meter-true
130,America Can’t Go ‘Wobbly’ on Ukraine,This is a winnable war.,meter-true
131,E.U.’s Top Diplomat Calls for West to Accelerate Military Support for Ukraine,Josep Borrell Fontelles told international leaders meeting in Munich that Western allies’ recent decision to provide Ukraine with tanks took too long.,meter-true
132,Turkey’s Reeling Economy Is an Added Challenge for Erdogan,The earthquake’s staggering reconstruction bill will join other economic woes as the country’s autocratic leader faces re-election.,meter-true
133,Kamala Harris Accuses Russia of ‘Crimes Against Humanity’ in Ukraine,The vice president warned China against providing Moscow with any kind of support during her appearance at the Munich Security Conference.,meter-true
134,Blinken Has Tense Meeting With Chinese Official Amid Spy Balloon Furor,The meeting resumed diplomatic contact between Washington and Beijing that had been frozen since the U.S. shot down a Chinese spy balloon.,meter-true
135,Harris Says Russia Committed Crimes Against Humanity,"At the Munich Security Conference, Vice President Kamala Harris said the United States had formally determined that Russian forces had committed crimes against humanity in Ukraine.",meter-true
136,,,meter-true
137,Straight Talk on the Country’s War Addiction,"America’s forever wars are making us weaker, and misreading history doesn’t help.",meter-true
138,Biden Should Give Ukraine What It Needs to Win,"Yes, there are risks of escalation. But there are greater risks of letting this awful war drag on.",meter-true
139,Putin Began His Unjust War One Year Ago. Here’s What Ukraine Needs Now.,Diplomacy has a chance only if Moscow accepts it can’t bring Kyiv to its knees and the U.S. doesn’t waver.,meter-true
140,Kamala Harris says Moscow committed crimes against humanity in Ukraine.,The vice president was among a number of Western officials projecting unity behind Kyiv at the annual Munich Security Conference before the first anniversary of Russia’s invasion.,meter-true
141,A top Chinese official calls the U.S. balloon response ‘hysterical’ and says the war in Ukraine must not continue.,Wang Yi spoke at the Munich Security Conference as suspense mounted over whether he might meet on the sidelines with Secretary of State Antony J. Blinken.,meter-true
142,Trading Books for a Rifle: The Teacher Who Volunteered in Ukraine,"When Russia invaded, recruiting officers asked no questions of the Ukrainian teacher. They handed her a rifle and 120 bullets, and assigned her to a unit expecting to fight in urban combat if the Russian Army broke into Kyiv.",meter-true
143,‘Cat’ Stolen From Your Car? It’s a Growing Crime Trend.,"In New York City, thefts of catalytic converters, known as ‘cats,’ rose by nearly 5,000 in one year.",meter-true
144,Your Friday Evening Briefing,Here’s what you need to know at the end of the day.,meter-true
145,Western Leaders Pledge Support for Ukraine ‘as Long as Necessary’,"As Russia’s invasion approaches its second year with no end in sight, Ukraine’s supporters faced lingering questions at the Munich Security Conference about how long their resolve will last.",meter-true
146,Macron Calls for Intensified Support for Ukraine but Eyes Peace Talks,"His support for Ukraine and condemnation of Russia have hardened, but France’s president still stands out among Western leaders in insisting that compromise will be needed to end the war.",meter-true
147,,,meter-true
148,"In Satellite Images and Video, Hidden Clues About an Iranian Air Force Upgrade","In early February, Iranian state media aired a video about an underground Air Force base. Details in the footage and satellite images point toward the possible arrival of advanced Russian jets.",meter-true
149,"South Africa begins naval drills with Russia and China, despite criticism that it implies support of the war.",,meter-true
150,Transcript: Ezra Klein Interviews Paul Krugman,"The Feb. 17, 2023, episode of “The Ezra Klein Show.”",meter-true
151,"A Russian Mole in Germany Sows Suspicions at Home, and Beyond",A director at Germany’s spy service was picked up on suspicion of passing intelligence to Russia. German officials and allies worry just how deep the problem goes.,meter-true
152,"At a security conference in Munich, Zelensky invokes the battle of David and Goliath.",,meter-true
153,Studio Ghibli’s Theme Park and More: The Week in Reporter Reads,"Five articles from around The Times, narrated just for you.",meter-true
154,Authorities Step Up Their Crypto Crackdown,"A string of enforcement actions, the latest involving the multibillion-dollar collapse of Terraform Labs, has put the chill on a recent Bitcoin rally.",meter-true
155,Our Age of Impunity,A new Atlas of Impunity shows a world where wrongdoing is too rarely punished.,meter-true
156,South Africa and Russia Are Old Friends. A War Isn’t Going to Change That.,"South Africa is set to start joint naval drills with Russia and China, despite criticism from American, European and even some South African officials that it looks like an endorsement of Russia’s Ukraine war.",meter-true
157,The Uneasy Dance Between the Markets and the Fed,"Exuberance in financial markets is likely to only strengthen the Federal Reserve’s resolve and shake up those very markets, our columnist says.",meter-true
158,,,meter-true
159,"Ukraine and Russia swap 202 prisoners, including soldiers who defended Mariupol.",,meter-true
160,Western officials hope to show unity. But that will be tested as the war drags on.,,meter-true
161,Your Friday Briefing,Russian missiles on Ukraine.,meter-true
162,How a Tiny NATO Nation Tackled a Big Problem: Arming Ukraine,Luxembourg’s challenges in buying arms on the open market underscore the struggle to keep Ukraine supplied until sophisticated Western weapons arrive in the spring.,meter-true
163,New Russian Missile Barrage Hits Ukraine,"In a blend of the old school and the new, Moscow sent balloons over Ukraine before pummeling it with high-tech weaponry.",meter-true
164,"Your Friday Briefing: U.FO.s Were Likely Not Spying, Biden Says","Also, New Zealand’s recovery from Cyclone Gabrielle and a disturbing conversation with a chatbot.",meter-true
165,"Belarus Would Join Russia’s War if Ukraine Attacked, Lukashenko Says",President Aleksandr Lukashenko of Belarus has been surrounded by speculation that his country could be pressed into providing more support for Russia.,meter-true
166,"Arne Treholt, 80, Dies; Diplomat Convicted of Spying for Soviets","A Norwegian, he handed over NATO plans and other secrets in one of the Cold War’s biggest espionage scandals. He was sentenced to 20 years in prison.",meter-true
167,Balloons Are Latest Example of Old Tactics in Ukraine War,"The Soviet military often used unpowered balloons before World War II, and they made a resurgence in the Cold War. Now they’re being used in the Ukraine war, along with other low-tech devices.",meter-true
168,Why the Chimera Is the Monster for Our Uncertain Age,"Whenever the human world is in trouble, our imagination turns to this creature: a hybrid beast that defies easy understanding.",meter-true
169,,,meter-true
170,‘This Is a Secret’,A Times columnist spoke with a chatbot powered by artificial intelligence. It didn’t go well.,meter-true
171,"Russia lost about half of its tanks since invading Ukraine, a new report says.",A report by the International Institute for Strategic Studies said Russia’s tank and artillery fleets had suffered “significant attrition” in the war.,meter-true
172,Your Thursday Briefing,The limitations of Russia’s military.,meter-true
173,‘The World’s Largest Construction Site’: The Race Is On to Rebuild Ukraine,"As the country’s leaders lay postwar plans, companies from around the world are jockeying for advantage in what could be a multibillion-dollar effort, although one loaded with risk.",meter-true
174,Moscow’s Military Capabilities Are in Question After Failed Battle for Ukrainian City,"A disastrous Russian assault on Vuhledar, viewed as an opening move in an expected spring offensive, has renewed doubts about Moscow’s ability to sustain a large-scale ground assault.",meter-true
175,"Hans Modrow, 95, Dies; One of East Germany’s Last Communist Leaders","He became prime minister less than two weeks after the fall of the Berlin Wall, and initially sought to preserve East Germany before accepting reunification.",meter-true
176,Your Wednesday Evening Briefing,Here’s what you need to know at the end of the day.,meter-true
177,Your Thursday Briefing: 1.5 Million Covid Deaths in China?,"Also, Scotland’s leader resigns and Air India orders a record 470 planes.",meter-true
178,"World Bank President, Dogged by Climate Questions, Will Step Down Early","David Malpass, under fire for months by critics who accused him of climate denialism, said he would resign in June, a year before his term ends.",meter-true
179,Europe Turned an Energy Crisis Into a Green Energy Sprint,The brutal European winter that wasn’t.,meter-true
180,,,meter-true
181,The Winners of Our Eighth Annual Student Review Contest,"Read critical commentary by teenagers on a high school cafeteria, Breath of the Wild, Balenciaga’s new line and more.",meter-true
182,A Ukrainian Orchestra on a Mission to Promote Its Country’s Culture,Members of the touring Lviv National Philharmonic Orchestra of Ukraine have watched the devastation of war from a distance.,meter-true
183,Russia’s losses around Vuhledar renew questions about its ability to sustain a fresh offensive.,"The fighting has also come at a cost for Ukraine, which is expending vast amounts of ammunition to repel Russia’s growing numbers of ground troops,",meter-true
184,"Russia has relocated 6,000 Ukrainian children to camps in Russian territory, a report finds.","Children as young as four months old are being held in “integration programs” designed to Russify them, according to researchers.",meter-true
185,"In Bleak Russian Cemetery, Sea of Crosses Signals War’s True Toll","A dismal, snowy plot near the Black Sea is the final resting place for more and more soldiers from the Wagner mercenary forces, a testament to the huge casualties Russia is suffering in its invasion.",meter-true
186,Your Wednesday Briefing,Rescues in Turkey against the odds.,meter-true
187,From George to Barack: A Look at Secret Bush Memos to the Obama Team,Newly declassified memos offer a window into how the world appeared as the Bush administration was winding down.,meter-true
188,Your Tuesday Evening Briefing,Here’s what you need to know at the end of the day.,meter-true
189,"With Battles Looming, Ukraine’s Allies Meet to Plan Arms Supply",One of Ukraine’s biggest problems in fighting the Russian invasion is a basic one: It is firing artillery rounds much faster than its Western backers are producing them.,meter-true
190,Your Wednesday Briefing: Miracle Rescues in Turkey,"Also, the balloons over the U.S. and India’s raid on the BBC’s offices.",meter-true
191,,,meter-true
192,European Union to Ban Gas-Powered Cars by 2035,The law is part of the E.U.’s ambitious plans to make the 27-member bloc carbon neutral by 2050.,meter-true
193,"Ukraine steps up efforts to get civilians out of Bakhmut, in a further sign of a potential retreat.","Fewer than 5,000 residents remain in the eastern city, out of a prewar population of 70,000, as Russian forces close in.",meter-true
194,"Moldova briefly closed its airspace, raising tensions in a country shaken by the war.","The closure, because of a presumed air balloon, came days after a Russian missile flew over Moldova’s territory and after the country’s president accused Moscow of trying to sabotage her government.",meter-true
195,A balloon and 3 U.F.O.s,What is the U.S. shooting down? Here’s what we know.,meter-true
196,Combating Disinformation Wanes at Social Media Giants,"As the companies have shed jobs recently, many teams assigned to combat false and misleading information have taken a hit.",meter-true
197,China Tries to Depict Furor Over Spy Balloon as Sign of U.S. Decline,"Ignoring charges of spying, Beijing says Washington’s “overreaction” is a symptom of the country’s broken politics.",meter-true
198,"Guided Missile Killed U.S. Aid Worker in Ukraine, Video Shows","A Times analysis suggests that an intentional strike, not an indiscriminate attack, most likely killed Pete Reed. It is unclear whether the attackers knew he was with a group of aid workers.",meter-true
199,Secretive Network Rescues Russia’s Antiwar Dissidents in Nick of Time,"Hundreds of people facing long prison sentences are being spirited out of the country by groups that arrange daring escapes, with one trip using six different cars over more than 4,000 miles.",meter-true
200,Your Monday Evening Briefing,Here’s what you need to know at the end of the day.,meter-true
201,Your Tuesday Briefing: Balloon Tensions Escalate,,meter-true
202,,,meter-true
203,Ukrainians Demonstrate Training on Leopard Tanks in Poland,"Kyiv’s troops are getting a crash course in using the German-made tanks, less than three weeks after Berlin agreed, under pressure from Poland and others, to let them go to Ukraine.",meter-true
204,At Stake in the Ukraine-Russia War,Readers discuss a guest essay by Christopher Caldwell that blamed the U.S. for an escalation in the war. Also: Mask mandates; the next pandemic; YouTube.,meter-true
205,The Artists Questioning Nostalgia for East Germany’s Past,Contemporary works are casting a new light on sentimentality for Communism.,meter-true
