,Unnamed: 0,Unnamed: 0.1,claim,truth_value,source,simple_sentence
13,13,13,"President Joe Biden and Democrats ""send a fortune to Ukraine but nothing for our children.""",meter-false,politifact,President Joe Biden `` send a fortune to Ukraine nothing for our children ``. President Joe Biden `` send a fortune to Ukraine . `` President Joe Democrats `` send a fortune to Ukraine nothing for our children ``. President Joe Democrats `` send a fortune to Ukraine . `` .
14,14,14,“Ukraine has a nuclear bomb primed in Mykolaiv.”,meter-false,politifact,“Ukraine has a nuclear bomb primed in Mykolaiv.” .
15,15,15,Video clips show staged war footage from Ukraine.,meter-false,politifact,Video clips show staged war footage from Ukraine..
16,16,16,A CNN headline shows Uganda’s president saying he doesn’t support Ukraine because it would be “disgusting.”,meter-false,politifact,A CNN headline shows Uganda ’ s president saying he doesn ’ t support Ukraine  . ” . A CNN headline shows Uganda ’ s president saying  it would be “ disgusting . ” . 
17,17,17,North Korea has taken military action against Russia.,meter-false,politifact,North Korea has taken military action against Russia..
18,18,18,“The Russian army has surrendered in Donetsk!”,meter-false,politifact,“The Russian army has surrendered in Donetsk!” .
19,19,19,"“North Korea sent more than 100,000 troops to Russia for the Ukraine War!”",meter-false,politifact,"“North Korea sent more than 100,000 troops to Russia for the Ukraine War!” ."
20,20,20,“Chinese military convoy enters Ukraine from Russia.”,meter-false,politifact,“Chinese military convoy enters Ukraine from Russia.” .
21,21,21,"""Russia is becoming the first country to break ties with the Antarctic Treaty.""",meter-false,politifact,"""Russia is becoming the first country to break ties with the Antarctic Treaty.""."
22,22,22,Russia “has not lost anything” in its invasion of Ukraine.,meter-false,politifact,Russia “has not lost anything” in its invasion of Ukraine..
23,23,23,“The Russian army is withdrawing from Ukraine!” in September 2022,meter-false,politifact,“The Russian army is withdrawing from Ukraine!” in September 2022 .
24,24,24,“US Army in Ukraine.”,meter-false,politifact,“US Army in Ukraine.” .
25,25,25,"“Putin humiliatingly blows up all weapons and facilities"" on Snake Island by retreating Russian troops.",meter-false,politifact,“ Putin humiliatingly blows  up all weapons by retreating Russian troops . “ Putin humiliatingly blows  up facilities `` on Snake Island by retreating Russian troops . .
26,26,26,Video shows Russian artillery tanks “completely destroyed by Bayraktar TB2 drones” on July 2.,meter-false,politifact,Video shows Russian artillery tanks “completely destroyed by Bayraktar TB2 drones” on July 2. .
27,27,27,Video shows Ukrainian soldiers shooting down Russian helicopters.,meter-false,politifact,Video shows Ukrainian soldiers shooting down Russian helicopters..
28,28,28,"With the $53 billion spent in Ukraine aid, the U.S. “could pay five SWAT members $80,000 each and have them at EVERY school front door.”",meter-true,politifact,With the $ 53 billion spent in Ukraine aid  the U.S. “ could pay five SWAT members $ 80000 each . With the $ 53 billion spent in Ukraine aid  the U.S. “ have them at EVERY school front door . ” . 
29,29,29,Video shows “Russian desert base and infrastructure hit by Bayraktar TB2 drone.”,meter-false,politifact,Video shows “ Russian desert base . Video shows “ infrastructure hit by Bayraktar TB2 drone . ” . 
30,30,30,“J.D. Vance profits off Russia propaganda.”,meter-true,politifact,“J.D.Vance profits off Russia propaganda.” .
31,31,31,Video shows a “Russian pilot” escaping from jets and a Russian aircraft getting hit by a missile.,meter-false,politifact,Video shows  a “ Russian pilot ” escaping from jets . Video shows  a Russian aircraft getting hit by a missile . .
32,32,32,Video shows “Russian tank column totally destroyed by attack helicopter.”,meter-false,politifact,Video shows “Russian tank column totally destroyed by attack helicopter.” .
33,33,33,Video shows helicopters in Ukraine “being picked off in ambush - Short range air-to-air missile”,meter-false,politifact,Video shows helicopters in Ukraine “being picked off in ambush - Short range air-to-air missile” .
34,34,34,“Soldiers destroyed Russian tank with NLAW in ambush.”,meter-false,politifact,“Soldiers destroyed Russian tank with NLAW in ambush.” .
35,35,35,A recent photo shows the “Russian Orthodox Church blessing a rocket called Satan.”,meter-false,politifact,A recent photo shows the “Russian Orthodox Church blessing a rocket called Satan.” .
36,36,36,"Says video shows ""Ukrainian forces shoot down Russian plane carrying hundreds (of) troops on Kyiv airport.""",meter-false,politifact,"Says video shows ""Ukrainian forces shoot down Russian plane carrying hundreds (of) troops on Kyiv airport.""."
37,37,37,“Space X’s Starlink internet constellation has angered Russia as it was reported that the Starlink satellite constellation was used to guide the fire” on the Russian ship Moskva.,meter-false,politifact,“Space X’s Starlink internet constellation has angered Russia as it was reported that the Starlink satellite constellation was used to guide the fire” on the Russian ship Moskva..
38,38,38,"“War Begins — F-35, F-16 and MiG-29 NATO intercept and destroy Russia Jets in Polish air space.”",meter-false,politifact,“ War F-16. “ War Begins — F-35. “ War MiG-29 NATO intercept. “ War destroy Russia Jets in Polish air space . ” . 
39,39,39,Photo of unbroken windows proves war in Ukraine is fake.,meter-false,politifact,Photo of unbroken windows proves war in Ukraine is fake..
40,40,40,Videos show that Ukraine President Volodymyr Zelenskyy uses cocaine.,meter-false,politifact,Videos show that Ukraine President Volodymyr Zelenskyy uses cocaine..
41,41,41,A video shows the Russian warship Moskva exploding.,meter-false,politifact,A video shows the Russian warship Moskva exploding..
42,42,42,"""America (is) trying to overthrow the Ukraine government just as the shadow government has infiltrated and overthrown the US government.""",meter-false,politifact,`` America . `` `` America is trying to overthrow the Ukraine government just as the shadow government has infiltrated . `` `` America overthrown the US government . `` .
43,43,43,"After Russia invaded Ukraine, Google Maps “opened all military and strategic facilities in Russia.”",meter-false,politifact,After Russia invaded Ukraine  Google Maps “ opened all military facilities in Russia . ” . After Russia invaded Ukraine  Google Maps “ opened strategic facilities in Russia . ” . 
44,44,44,"Vladimir Putin “released 35,000 children from tunnels and subway in Ukraine.”",meter-false,politifact,Vladimir Putin “ released  35000 children from tunnels . Vladimir Putin “ released  subway in Ukraine . ” . 
45,45,45,CNN tweeted about “brave children” in Ukraine signing up to fight Russia.,meter-false,politifact,CNN tweeted about “brave children” in Ukraine signing up to fight Russia..
46,46,46,Ukraine was responsible for the Kramatorsk train station bombing.,meter-false,politifact,Ukraine was responsible for the Kramatorsk train station bombing..
47,47,47,Photo of injured Ukrainian woman was from 2018 Russia gas explosion.,meter-false,politifact,Photo of injured Ukrainian woman was from 2018 Russia gas explosion..
48,48,48,"Says Barack Obama tweeted, “Has anyone checked to make sure Donald Trump doesn’t have a Russian birth certificate?”",meter-false,politifact,"Says Barack Obama tweeted, “Has anyone checked to make sure Donald Trump doesn’t have a Russian birth certificate?” ."
49,49,49,"A video taken from a car driving through Bucha, Ukraine, shows a corpse “moving his arm,” and then “in the rear view mirror the ‘corpse’ sits down.”",meter-false,politifact,A video taken from a car driving through Bucha  Ukraine  shows a corpse “ moving his arm “ in the rear view mirror the ‘ corpse ’ sits down . ” . A video taken from a car driving through Bucha  Ukraine  shows a corpse “ moving ” “ in the rear view mirror the ‘ corpse ’ sits down . ” . A video taken from a car driving through Bucha  Ukraine  shows a corpse “ moving then “ in the rear view mirror the ‘ corpse ’ sits down . ” . 
50,50,50,Will Smith slapped Chris Rock “to take attention away from Ukraine.”,meter-false,politifact,Will Smith slapped Chris Rock “to take attention away from Ukraine.” .
51,51,51,The United Nations sent out an email instructing staff not to use the words “invasion” or “war’” when referring to Ukraine.,meter-true,politifact,The United Nations sent out an email instructing staff not to use the words “ invasion ” war ” when referring to Ukraine . The United Nations sent out an email instructing staff not to use the words “ ’ invasion ” war ” when referring to Ukraine . .
52,52,52,“The Simpsons” predicted Russia’s invasion of Ukraine.,meter-false,politifact,“The Simpsons” predicted Russia’s invasion of Ukraine..
53,53,53,CNN tweeted a picture of a Serbian resort and said it was in Ukraine.,meter-false,politifact,CNN tweeted . CNN a picture of a Serbian resort . CNN said it was in Ukraine . .
54,54,54,"The Russian airstrike on a maternity hospital in Mariupol, Ukraine, had “the makings of yet another false flag operation” led by the U.S.",meter-false,politifact,"The Russian airstrike on a maternity hospital in Mariupol, Ukraine, had “the makings of yet another false flag operation” led by the U.S. ."
55,55,55,“Ukraine has been shooting residents of Donetsk and Lugansk just because they wanted to speak Russian.”,meter-false,politifact,“ Ukraine has been shooting residents of Donetsk just. “ Ukraine has been shooting residents of Lugansk just. They wanted to speak Russian . ” . 
56,56,56,Russian President Vladimir Putin “was assassinated.”,meter-false,politifact,Russian President Vladimir Putin “was assassinated.” .
57,57,57,"“Just a reminder that right before Ukraine was invaded, Hillary was found to be guilty of spying on a sitting U.S. president.”",meter-false,politifact,"“Just a reminder that right before Ukraine was invaded, Hillary was found to be guilty of spying on a sitting U.S. president.” ."
58,58,58,“Putin Vows to ‘Crush’ Child Traffickers in Ukraine”,meter-false,politifact,“Putin Vows to ‘Crush’ Child Traffickers in Ukraine” .
59,59,59,"""What is happening here is not so different from what we're seeing happening in Russia, where you have got state TV and controlled messaging across the board.""",meter-false,politifact,`` What is happening here is  not so different from what we 're seeing happening in Russia  where you have got state TV . `` `` What controlled messaging across the board . `` .
60,60,60,“A West Virginia inspection sticker on an Uber” proves the car was not in Ukraine.,meter-false,politifact,“A West Virginia inspection sticker on an Uber” proves the car was not in Ukraine..
61,61,61,"A recent on-air protest can’t be real because ""there are no live on air television broadcasts in Russia. None. Ever.”",meter-false,politifact,A recent on-air protest can ’ t be real. ``. There are no live on air television broadcasts in Russia. . None.Ever.” .
62,62,62,A video shows current “leaked footage of heavy war between Russia vs Ukraine”,meter-false,politifact,A video shows current “leaked footage of heavy war between Russia vs Ukraine” .
63,63,63,“Wladimir Klitschko has auctioned off his 1996 Atlanta Olympic Games gold medal to raise money for the children of Ukraine.”,meter-true,politifact,“Wladimir Klitschko has auctioned off his 1996 Atlanta Olympic Games gold medal to raise money for the children of Ukraine.” .
64,64,64,"Classified documents from Ukraine “confirm without a shadow of a doubt” that the Ukraine government was “covertly preparing an offensive operation against Donbas, scheduled for March 2022.”",meter-false,politifact,"Classified documents from Ukraine “confirm without a shadow of a doubt” that the Ukraine government was “covertly preparing an offensive operation against Donbas, scheduled for March 2022.” ."
65,65,65,A Ukrainian combat medic who died in February was seen in a video Ukraine President Volodymyr Zelensky posted of his visit to see wounded soldiers.,meter-false,politifact,A Ukrainian combat medic posted of his visit to see wounded soldiers . A Ukrainian combat died in February was seen in a video Ukraine President Volodymyr Zelensky posted of his visit to see wounded soldiers . .
66,66,66,This video shows “Russian war in Ukraine.”,meter-false,politifact,This video shows “Russian war in Ukraine.” .
67,67,67,"U.S. imports 1% of its oil from Russia while “Exxon, Chevron, BP and Shell profits are at their highest level in over 7 years.”",meter-true,politifact,U.S. imports 1 % of its oil from Russia profits are at their highest level in over 7 years . ” . U.S. imports 1 % of its oil from “ Exxon profits are at their highest level in over 7 years . ” . U.S. imports 1 % of its oil from Chevron profits are at their highest level in over 7 years . ” . U.S. imports 1 % of its oil from BP profits are at their highest level in over 7 years . ” . U.S. imports 1 % of its oil from Shell profits are at their highest level in over 7 years . ” . 
68,68,68,"Two years ago we were “drilling our own oil for $27 a barrel.” Now, thanks to Joe Biden, we’re “paying $105 a barrel to Russia.”",meter-false,politifact,"Two years ago we were “drilling our own oil for $27 a barrel.” Now, thanks to Joe Biden, we’re “paying $105 a barrel to Russia.” ."
69,69,69,Video shows Russian President Vladimir Putin meeting with South Korea’s president.,meter-false,politifact,Video shows Russian President Vladimir Putin meeting with South Korea’s president..
70,70,70,"""Ukrainian civilian fleeing Kyiv captures footage of downed Russian tie fighter.""",meter-false,politifact,"""Ukrainian civilian fleeing Kyiv captures footage of downed Russian tie fighter.""."
71,71,71,A Ukrainian TikToker shows how to drive an abandoned Russian armored vehicle.,meter-false,politifact,A Ukrainian TikToker shows how to drive an abandoned Russian armored vehicle..
72,72,72,The war in Ukraine is “scripted and staged.”,meter-false,politifact,The war in Ukraine is “ scripted . ” . The war in Ukraine is “ staged . ” . 
73,73,73,Joe Biden's sanctions on Russia “are riddled with loopholes and don't even start for 30 days. They have carve outs for the energy and financial sectors.”,meter-true,politifact,Joe Biden 's sanctions on Russia “ are riddled with loopholes . Joe Biden 's sanctions on Russia “ do n't even start for 30 days . They have carve outs for the energy. They have carve financial sectors . ” . 
74,74,74,Says Sean Penn’s trip to Ukraine in November is evidence the war is staged.,meter-false,politifact,Says Sean Penn’s trip to Ukraine in November is evidence the war is staged..
75,75,75,"""The Russian army does not occupy Ukrainian territory.""",meter-false,politifact,"""The Russian army does not occupy Ukrainian territory.""."
76,76,76,Photos show Ukrainian citizens destroying two Russian tanks with Molotov cocktails in Kyiv.,meter-false,politifact,Photos show Ukrainian citizens destroying two Russian tanks with Molotov cocktails in Kyiv..
77,77,77,Video shows Ukrainian soldiers saying goodbye to loved ones amid Russia’s 2022 invasion.,meter-false,politifact,Video shows Ukrainian soldiers saying goodbye to loved ones amid Russia’s 2022 invasion..
78,78,78,A photo of a wounded young child was captured in Ukraine in 2022.,meter-false,politifact,A photo of a wounded young child was captured in Ukraine in 2022. .
79,79,79,"The United States buys ""206,000 barrels of oil a day"" from Russia but ""shut down domestic oil production a year ago.""",meter-false,politifact,The United States buys  `` 206000 barrels of oil a day `` from Russia  `` shut  down domestic oil production a year ago . `` .
80,80,80,Video shows footage from Russia invading Ukraine.,meter-false,politifact,Video shows footage from Russia invading Ukraine..
81,81,81,TikTok video shows Russian soldiers parachuting into Ukraine.,meter-false,politifact,TikTok video shows Russian soldiers parachuting into Ukraine..
82,82,82,Ethnic Russians face “genocide perpetrated by the Kyiv regime.”,meter-false,politifact,Ethnic Russians face “genocide perpetrated by the Kyiv regime.” .
83,83,83,"This ""footage"" shows Russia attacking Ukraine.",meter-false,politifact,"This ""footage"" shows Russia attacking Ukraine.."
84,84,84,"""Ukraine was the No. 1 donor to Hillary Clinton when she was running for president.”",meter-false,politifact,"""Ukraine was the No.1 donor to Hillary Clinton when she was running for president.” ."
85,85,85,“Russia has never attacked anyone throughout its history.”,meter-false,politifact,“Russia has never attacked anyone throughout its history.” .
86,86,86,"Says Joe Biden risks war with Russia because Vladimir Putin doesn’t “believe in transgender rights.""",meter-false,politifact,Says Joe Biden risks war with Russia   Vladimir Putin doesn ’ t “ believe in transgender rights . `` .
87,87,87,"Says Joe Biden is “withholding $150 million in aid from Ukraine” to “pressure Ukraine to drop all criminal investigations into him and his son, Hunter.”",meter-false,politifact,Says Joe Biden is “ withholding $ 150 million in aid from Ukraine ” to “ pressure Ukraine to drop all criminal investigations into him . Says Joe Biden is “ withholding $ 150 million in aid from Ukraine ” to “ pressure Ukraine to drop all criminal investigations into his son  Hunter . ” . 
88,88,88,Says Joe Biden is formally listed as criminal suspect in Ukraine case involving his son.,meter-false,politifact,Says Joe Biden is formally listed as criminal suspect in Ukraine case involving his son..
89,89,89,"Says President Barack Obama ""signed the medical appliance tax bill that forced companies to outsource manufacturing of masks, gowns, gloves and ventilaors [sic] to China, Europe and Russia to avoid the tax.”",meter-false,politifact,Says President Barack Obama `` signed the medical appliance tax bill that forced companies to outsource manufacturing of masks gowns gloves ventilaors [ sic ] to China to avoid the tax . ” . Says President Barack Obama `` signed the medical appliance tax bill that forced companies to outsource manufacturing of masks gowns gloves ventilaors [ sic ] to Europe to avoid the tax . ” . Says President Barack Obama `` signed the medical appliance tax bill that forced companies to outsource manufacturing of masks gowns gloves ventilaors [ sic ] to Russia to avoid the tax . ” . 
90,90,90,"Says Bill Clinton ""gave nukes to North Korea,"" Barack Obama ""gave nukes to Iran,"" and Hillary Clinton ""gave uranium to Russia.""",meter-false,politifact,Says Bill Clinton `` gave nukes to North Korea  `` Barack Obama `` gave nukes to Iran. Hillary Clinton `` gave uranium to Russia. . ``. .
91,91,91,"Says former Ukraine President Petro Poroshenko ""actively worked for Secretary Clinton.""",meter-false,politifact,"Says former Ukraine President Petro Poroshenko ""actively worked for Secretary Clinton.""."
92,92,92,"""Everywhere Marie Yovanovitch went turned bad,"" including Somalia and Ukraine.",meter-false,politifact,`` Everywhere Marie Yovanovitch went turned bad  `` including Somalia . `` Everywhere Marie Yovanovitch went turned bad  `` including Ukraine . .
93,93,93,"""The Russians are violating all of the rules, treaties, understandings that they committed to that actually kept the peace in Europe for nearly 70 years.""",meter-true,politifact,"The Russians are violating all of the rules , , treaties , , understandings that they committed to that actually kept the peace in Europe for nearly 70 years . The Russians kept the peace in Europe for nearly 70 years . ."
94,94,94,"""Barack Obama put a permanent stop on this military aid to the Ukraine - he never allowed it to go.""",meter-false,politifact,"""Barack Obama put a permanent stop on this military aid to the Ukraine - he never allowed it to go.""."
95,95,95,"""Europe and other nations (need to) contribute to Ukraine. Because they’re not doing it. Just the United States. We’re putting up the bulk of the money.""",meter-false,politifact,"`` Europe need to contribute to Ukraine . `` other nations need to contribute to Ukraine . Because they’re not doing it.Just the United States.We’re putting up the bulk of the money.""."
96,96,96,"Crimea ""was sort of taken away from President Obama. … And he wanted Russia to be out of what was called the G-8. And that was his determination.""",meter-false,politifact,"Crimea ""was sort of taken away from President Obama.… And he wanted Russia to be out of what was called the G-8.And that was his determination.""."
97,97,97,"When Joe Biden’s son Hunter was serving as ""a director to Ukraine’s largest private gas producer,"" the elder Biden ""threatened to withhold $1 BILLION in U.S. aid to Ukraine if they didn’t fire a prosecutor looking into"" the gas company.",meter-true,politifact,"When Joe Biden’s son Hunter was serving as ""a director to Ukraine’s largest private gas producer,"" the elder Biden ""threatened to withhold $1 BILLION in U.S. aid to Ukraine if they didn’t fire a prosecutor looking into"" the gas company.."
98,98,98,"""The reason Russia was in Afghanistan was because terrorists were going into Russia.""",meter-false,politifact,The reason Russia was in Afghanistan was. Terrorists were going into Russia. . ``. .
99,99,99,"""Russia, Iran, Syria & many others are not happy"" about U.S. troops leaving Syria.",meter-false,politifact,"""Russia, Iran, Syria & many others are not happy"" about U.S. troops leaving Syria.."
100,100,100,"""The Russian state has never interfered ... into internal American affairs including election process.""",meter-false,politifact,"""The Russian state has never interfered ... into internal American affairs including election process.""."
101,101,101,"Says Bernie Sanders was indifferent to Russia's annexation of Crimea because he felt ""they have a lot of Russians anyway.""",meter-false,politifact,Says Bernie Sanders was indifferent to Russia 's annexation of Crimea. He felt `` they have a lot of Russians anyway. . ``. .
102,102,102,"""Denzel Washington: With Trump we avoided war with Russia and Orwellian Police State""",meter-false,politifact,`` Denzel Washington : With Trump we avoided `` . `` Denzel Washington : With war with Russia `` . `` Denzel Washington : With Orwellian Police State `` . 
103,103,103,"""This is not the first time (the Russians) have been involved in our elections.""",meter-true,politifact,"""This is not the first time (the Russians) have been involved in our elections.""."
104,104,104,"""The son-in-law of the president met with Russian officials at the Trump Tower after having them come in the back door.""",meter-true,politifact,"""The son-in-law of the president met with Russian officials at the Trump Tower after having them come in the back door.""."
105,105,105,"Says Hillary Clinton ""went toe-to-toe with Russia as secretary of state to do the New START agreement to reduce Russia's nuclear stockpile.""",meter-true,politifact,"Says Hillary Clinton ""went toe-to-toe with Russia as secretary of state to do the New START agreement to reduce Russia's nuclear stockpile.""."
106,106,106,"Says New START, passed while Clinton was secretary of state, is a ""treaty cutting Russia’s nuclear arms.""",meter-true,politifact,Says New START  passed. Clinton was secretary of state  is a `` treaty cutting Russia ’ s nuclear arms. . ``. .
107,107,107,"Russia and China are ""doing naval exercises together someplace.""",meter-true,politifact,Russia   China are `` doing naval exercises together someplace . `` .
108,108,108,"Says Hillary Clinton ""was literally present when we pressed the reset button with Russia just a few months after Russia had invaded Georgia.""",meter-true,politifact,"Says Hillary Clinton ""was literally present when we pressed the reset button with Russia just a few months after Russia had invaded Georgia.""."
109,109,109,"""We lock up close to 2.4 million people in this country. We're locking up more people than China and Russia.""",meter-true,politifact,"""We lock up close to 2.4 million people in this country.We 're locking up more people . `` We 're locking up than China . `` We 're locking up Russia . `` ."
110,110,110,"Russia and China ""absolutely said pretty clearly"" they would not keep economic sanctions on Iran if the United States ""walked away from the deal.""",meter-true,politifact,Russia `` absolutely said  pretty clearly `` they would not keep economic sanctions on Iran if the United States `` walked  away from the deal . `` China `` absolutely said  pretty clearly `` they would not keep economic sanctions on Iran if the United States `` walked  away from the deal . `` .
111,111,111,"""The entirety of North America -- Canada, the United States and Mexico -- there's more known reserves in those three countries than in Russia and Saudi Arabia.""",meter-false,politifact,`` The entirety of North America -- Canada -- there 's   more known reserves in those three countries than in Russia  . `` `` The entirety of North America -- Canada -- there 's   more known Saudi Arabia . `` `` The entirety of North America -- the United States -- there 's   more known reserves . `` `` The entirety of North America -- the United States -- there 's  in those three countries than in Russia  . `` `` The entirety of North America -- the United States -- there 's  Saudi Arabia . `` `` The entirety of North America -- Mexico -- there 's   more known reserves in those three countries than in Russia  . `` `` The entirety of North America -- Mexico -- there 's   more known Saudi Arabia . `` .
112,112,112,"Russia ""has an economy the size of Italy.""",meter-true,politifact,"Russia ""has an economy the size of Italy.""."
113,113,113,"In the Georgia-Russia conflict, ""we flew a brigade of Georgian soldiers"" from Iran to Georgia and ""sent U.S. ships into the Black Sea and provided various kinds of supplies.""",meter-true,politifact,In the Georgia-Russia conflict  `` we flew a brigade of Georgian soldiers `` from Iran to Georgia . `` In the Georgia-Russia conflict  `` we `` . `` In the Georgia-Russia conflict  `` we sent U.S. ships into the Black Sea . `` In the Georgia-Russia conflict  `` we provided various kinds of supplies . `` .
114,114,114,"The United States stopped plans to build a missile defense shield in Eastern Europe ""as a gift to Russia.""",meter-true,politifact,"The United States stopped plans to build a missile defense shield in Eastern Europe ""as a gift to Russia.""."
115,115,115,"After Russia went to war with Georgia in 2008, the U.S. sent a ""very strong message"" to Vladimir Putin by sending ""warships to the Black Sea"" and airlifting ""combat troops that Georgia had in Afghanistan"" back to Georgia.",meter-false,politifact,After Russia went to war with Georgia in 2008  the U.S. sent a `` very strong message `` to Vladimir Putin by sending `` warships to the Black Sea `` airlifting that Georgia had in Afghanistan `` back to Georgia . After Russia went to war with Georgia in 2008  the U.S. sent a `` very strong message `` to Vladimir Putin by sending `` warships to the Black Sea `` `` that Georgia had in Afghanistan `` back to Georgia . After Russia went to war with Georgia in 2008  the U.S. sent a `` very strong message `` to Vladimir Putin by sending `` warships to the Black Sea `` combat troops that Georgia had in Afghanistan `` back to Georgia . .
116,116,116,"Says she made an ""accurate prediction"" that if Barack Obama were elected it would encourage Russia to invade Ukraine.",meter-true,politifact,"Says she made an ""accurate prediction"" that if Barack Obama were elected it would encourage Russia to invade Ukraine.."
117,117,117,"""The Russians didn’t wear uniforms when they came in"" to Ukraine.",meter-true,politifact,"""The Russians didn’t wear uniforms when they came in"" to Ukraine.."
118,118,118,"""Crimea became part of Ukraine only in 1954. Crimea was historically part of Russia, and (Nikita) Khrushchev gave it to Ukraine in a gesture that mystified some people.""",meter-true,politifact,"""Crimea became part of Ukraine only in 1954.Crimea was historically part of Russia. Nikita Khrushchev gave it to Ukraine in a gesture that mystified some people. . ``. ."
119,119,119,"Crimea was part of Russia ""until 1954, when it was given to the Soviet Republic of the Ukraine.""",meter-true,politifact,"Crimea was part of Russia `` `` until 1954 , , when it was given to the Soviet Republic of the Ukraine . it was given to the Soviet Republic of the Ukraine . it given to the Soviet Republic of the Ukraine . ."
120,120,120,"In the event of a U.S. strike on Syria, ""the Russians will replace the weapons immediately. They’ve said it on the record. They’ve suggested they might even replace it with better stuff.""",meter-false,politifact,"In the event of a U.S. strike on Syria, ""the Russians will replace the weapons immediately.They’ve said it on the record.They’ve suggested they might even replace it with better stuff.""."
121,121,121,"""A few months ago when you were asked what's the biggest geopolitical threat facing America, you said Russia.""",meter-true,politifact,A few months said Russia . A few months 's the biggest geopolitical threat facing America . A few months facing America . .
122,122,122,"The Obama administration ""called Bashar Assad a reformer when he was turning his Russian-provided guns on his own people.""",meter-true,politifact,"The Obama administration ""called Bashar Assad a reformer when he was turning his Russian-provided guns on his own people.""."
123,123,123,Says Romney called Russia our No. 1 enemy.,meter-true,politifact,Says Romney called Russia our No.1 enemy..
124,124,124,"""Obama tells Russia that he'll turn over America's defense system to them if re-elected.""",meter-false,politifact,"""Obama tells Russia that he'll turn over America's defense system to them if re-elected.""."
125,125,125,"""We're going to have more troops (in Afghanistan) . . . than the Russians had.""",meter-false,politifact,"""We're going to have more troops (in Afghanistan) ...than the Russians had.""."
126,126,126,"“As the world rallies around Ukraine, Mike Lee was one of only two senators to oppose sanctions on Putin. Then he flew to the Kremlin and discussed dropping sanctions. Lee even opposed arming Ukrainians fighting for their lives.”",meter-false,politifact,"“As the world rallies around Ukraine, Mike Lee was one of only two senators to oppose sanctions on Putin.Then he flew . Then he to the Kremlin . Then he discussed . Then he dropping sanctions . Lee even opposed arming Ukrainians fighting for their lives.” ."
127,127,127,"""Not once in his entire career in Washington, D.C., which started way back in 1991, has Democratic Socialist Bernie Sanders ever voted yes on sanctions against Russia.""",meter-true,politifact,`` Not once in his entire career in Washington  D.C.   has Democratic Socialist Bernie Sanders ever voted yes on sanctions against Russia . `` `` Not started way back in 1991  has Democratic Socialist Bernie Sanders ever voted yes on sanctions against Russia . `` .
128,128,128,"""I have been much tougher on Russia than Obama, just look at the facts. Total Fake News!""",meter-false,politifact,"""I have been much tougher on Russia than Obama, just look at the facts.Total Fake News!""."
129,129,129,"""I never said Russia did not meddle in the election.""",meter-false,politifact,"""I never said Russia did not meddle in the election.""."
130,130,130,"Says Russian President Vladimir Putin said Pope Francis ""is not a man of God.""",meter-false,politifact,"Says Russian President Vladimir Putin said Pope Francis ""is not a man of God.""."
131,131,131,"Says Barack Obama found out about Russia ""in August. Now, the election was in November. That's a lot of time. He did nothing about it.""",meter-false,politifact,"Says Barack Obama found out about Russia ""in August.Now, the election was in November.That's a lot of time.He did nothing about it.""."
