,0,truth_value,1
89,Russia’s Sputnik Falsifies Court Ruling in Malaysian MH17 Shootdown,FALSE,meter-false
90,US Veep’s Philippines Visit Is Not a Taiwan-Style ‘Provocation’,FALSE,meter-false
91,Putin’s Chef and Death by Sledgehammer,FALSE,meter-false
92,A Polish ‘Provocation’? Blatant Russian Disinfo Distracts From Apparent War Crimes,MISLEADING,meter-false
93,Russian Falsehoods About Negotiating With Ukraine,MISLEADING,meter-false
94,Chinese Intrigue Behind Ukraine’s Seizure of Aviation Firm Motor Sich,MISLEADING,meter-false
95,"Cherry-Picking a Survey, China Distorts Its Global Image",MISLEADING,meter-false
96,Straight From Russia’s Channel 1: A US Midterms Disinfo Special,FALSE,meter-false
97,Evidence-Free Claims From Putin on Black Sea Grain Deal,UNSUBSTANTIATED,meter-false
98,The Fiction of Russia’s Super Drone-Killing Rifle,MISLEADING,meter-false
99,Misleading Video Falsely Portrays Zelenskyy as Threatening War. He Said Just the Opposite.,FALSE,meter-false
100,Beijing Covers Up After China’s Overseas Police Spy Stations Are Exposed,MISLEADING,meter-false
101,Crimean Tatars and the Kremlin’s Oppression of Muslims,MISLEADING,meter-false
102,"Russia Claims 600+ HIMARS Kills, Blowing Its Credibility to Bits",UNSUBSTANTIATED,meter-false
103,"On Exit, Bolsonaro Clearcuts A Swath of Amazon Distortion",MISLEADING,meter-false
104,Putin Fires a Volley of Falsehoods in Fresh Attack on US and Allies,FALSE,meter-false
105,Beijing Misrepresents US Evidence in Cloak-and-Dagger Spy Case,MISLEADING,meter-false
106,Myanmar Junta Falsely Claims Deadly Concert Bombing Was 'Just a Rumor',FALSE,meter-false
107,Burn the Ukrainian Children? Genocidal Rant is Now Mainstream Russian Propaganda,FALSE,meter-false
108,Delusional Claims From Putin's Flack as Russia’s Economy Contracts,MISLEADING,meter-false
109,"U.S. Did Not Weaponize Coronavirus, Despite Russian Claims",FALSE,meter-false
110,Context For China's Boast That All 1.4 Billion Chinese Are ‘Eating Well’,MISLEADING,meter-false
111,From Fake Elections to Martial Law: A Double Dose of Putin Duplicity,FALSE,meter-false
112,Russia Denies Using Iranian Drones. Ukraine Has Downed 200+,FALSE,meter-false
113,Will of the Crimean People? How a Chinese Think Tank Distorted Russia’s Annexation of Crimea,MISLEADING,meter-false
114,USAID Isn’t Arming and Funding Tigray Rebels in Ethiopia,FALSE,meter-false
115,Russia’s Lavrov Mangles U.S.-Panama History to Justify Invading Ukraine,FALSE,meter-false
116,Musk’s Ukraine Peace Poll Fails on Its Portrayal of Crimean History,MISLEADING,meter-false
117,"Russia Unleashes ‘Missile Terror’ on Ukrainian Civilians, Falsely Claims Military Targets",FALSE,meter-false
118,China Lets Nord Stream Sabotage Gossip Run Wild,UNSUBSTANTIATED,meter-false
119,Russian Envoy and Twitter Trolls Falsely Slam Gutsy BBC Reporting at Ukraine’s Front Lines,FALSE,meter-false
120,"In Retreat from Lyman, Russian Defense Ministry Spins a Phony Tale of Success",MISLEADING,meter-false
121,Evidence Shows Russia is Using Iranian Drones Against Ukraine,FALSE,meter-false
122,Here’s Who’s Really Threatening to Hit Ukraine With Nukes,FALSE,meter-false
123,How Russia Backed Off a Pledge to Protect the Ukrainian Language,FALSE,meter-false
124,Biden Did Not Threaten to Sabotage Nord Stream Pipelines as Russian Disinfo Claims,FALSE,meter-false
125,How China Misrepresented U.S. Flood Aid to Pakistan,MISLEADING,meter-false
126,"After Years of Falsification, Putin's ‘Chef’ Owns Up to Running Russian Mercenaries",FALSE,meter-false
127,Video of Mahsa Amini’s Collapse Does Not Prove She Died of a Heart Attack,FALSE,meter-false
128,Putin’s Mobilization Isn’t Going as Promised,FALSE,meter-false
129,"Under U.N. Glare, Beijing Falsely Calls Report on Xinjiang Abuses 'Illegal'",FALSE,meter-false
130,Russia’s New Casualty Count is Highly Suspect and Likely False,LIKELY FALSE,meter-false
131,"Threatening Nukes, Moscow Stages Phony Referendums in Occupied Ukraine",FALSE,meter-false
132,Putin is Wrong. Ukraine’s Donbas is Not Like Kosovo,FALSE,meter-false
133,Russia Cries Censorship After YouTube Takes Down Official Disinfo on Ukraine,FALSE,meter-false
134,Chinese Blogger Misquotes U.S. General to Falsify NATO Goals in Ukraine,FALSE,meter-false
135,"While Putin Trumpets Imperial Designs on Ukraine, China Falsely Blames the West for War",FALSE,meter-false
136,Taliban Falsehoods After Blistering Report on Women’s Rights,FALSE,meter-false
137,Russia Can’t Stop Lying About U.S. Bioweapon Labs in Ukraine,FALSE,meter-false
138,False: Russia is Merely ‘Regrouping’ After its Rout in Kharkiv,FALSE,meter-false
139,Kremlin Media Chief’s Misleading Boast About Not ‘Carpet Bombing’ Ukraine,MISLEADING,meter-false
140,Putin Disinfo Plays Russian Roulette With Europe’s Biggest Nuke Plant,MISLEADING,meter-false
141,Putin Grossly Distorts Who’s Getting That Ukrainian Grain,FALSE,meter-false
142,"Myanmar, Russia Unite to Pretend War is Peace",FALSE,meter-false
143,Putin’s Misleading Sanctions Claims Clash With Kremlin’s Own Economic Scenarios,MISLEADING,meter-false
144,China Falsely Blames U.S. for Humanitarian Disaster in Syria,FALSE,meter-false
145,"Disinfo From Russia's RT: Ukrainian Grain Going to ‘Rich Countries’, Not Africa",MISLEADING,meter-false
146,The Kremlin’s Misleading Portrayal of Military Progress in Ukraine,MISLEADING,meter-false
147,Evidence Backs Up Beijing Link to South China Sea Hackers,FALSE,meter-false
148,Russian Embassy in Turkey Fabricates Waning U.N. Support for Ukraine,FALSE,meter-false
149,"Beijing Bullies its South China Sea Neighbors, Then Falsely Accuses U.S. of ‘Trespassing’",FALSE,meter-false
150,War Crimes and the Russian Defense Minister’s Fantasy World,FALSE,meter-false
151,"Chinese Diplomat Flunks History, Calls U.S. the WWII Aggressor Against Japan",FALSE,meter-false
152,"After Deadly Car Blast, Russian Embassy Puts U.S. Denunciation in False Light",FALSE,meter-false
153,China Ludicrously Accuses US of ‘Weaponizing Food’,FALSE,meter-false
154,Russia’s False Defense of Wagner Mercenaries in Africa,FALSE,meter-false
155,Dear Kremlin: Brittney Griner Is No Maria Butina,FALSE,meter-false
156,Putin’s Patently Bogus Claim About the Zaporizhzhia Nuclear Plant,MISLEADING,meter-false
157,Dubious Claims of Election Corruption as Kenya Transfers Power,MISLEADING,meter-false
158,"China Denies Forced Labor in Xinjiang, UN Reports Otherwise",FALSE,meter-false
159,‘Fully Confident’? Beijing Exaggerates Foreign Confidence in the Chinese Market,MISLEADING,meter-false
160,Putin Falsely Claims Ukraine Invasion ‘In Full Conformity’ with U.N. Charter,FALSE,meter-false
161,Myanmar Junta’s False Claims to ‘Stability’ and ‘Rule of Law’,FALSE,meter-false
162,Russian Media Fabricate ‘Leak’ From U.S. Defense Contractor to Tarnish ‘Saint Javelin’,FALSE,meter-false
163,Beijing Lies About a Photo to Smear Blinken’s Outreach in Africa,FALSE,meter-false
164,Rwanda Wants the World to Look Away From Ties to M23 Rebels,FALSE,meter-false
165,"Denials Aside, Kremlin Plots 'Join-Russia' Votes in Occupied Ukraine",FALSE,meter-false
166,"So, Taiwan Has Been Chinese For Two Millennia? Let’s Check the History",FALSE,meter-false
167,"As Contrary Evidence Mounts, Russia Denies Stinging Ukrainian Strike on Crimean Airfield",FALSE,meter-false
168,"Cambodian Journalists Are Telling Truths, Not Breaking Laws",FALSE,meter-false
169,Evidence Disputes Russia’s Claim that Ukraine Rocketed Its Captured Troops,LIKELY FALSE,meter-false
170,"What, No Proof? That’s Not Stopping Pakistan’s Imran Khan",FALSE,meter-false
171,"Moscow Fuels Myanmar War Machine, Then Claims to Bring Peace",FALSE,meter-false
172,"Russians Fire at Will From Europe’s Biggest Nuclear Plant, Deny it at UN",FALSE,meter-false
173,"What to Know About That Video Titled, ‘Time to Move to Russia’",FALSE,meter-false
174,Why Russia Trash Talks ‘U.S.-Gifted HIMARS’ Weapons in Ukraine,FALSE,meter-false
175,Putin’s Misleading Gripe About Sanctions and Trade Rules,MISLEADING,meter-false
176,China Forgets Who Was the Real Aggressor in Korean War,MISLEADING,meter-false
177,There is No Evidence Monkeypox is a Bioweapon,MISLEADING,meter-false
178,Hungary to Fleeing Ukrainians: Hope You’re Just Passing Through,MISLEADING,meter-false
179,Russian Rockets Did Not Hit Military Targets in Odesa – But Ukraine's Grain Was Very Close,FALSE,meter-false
180,Misleading Denials from the Kremlin as Israel Criticizes the War on Ukraine,MISLEADING,meter-false
181,Kremlin Conjures Up Fake Postage Stamp to Spread Ukraine Antisemitism Smear,FALSE,meter-false
182,Myanmar Junta Falsely Claims Executed Activists Had Fair Trials,FALSE,meter-false
183,Plenty of Evidence Justifies U.S. Trade Ban for Forced Uyghur Labor,FALSE,meter-false
184,Russia’s Lavrov Spreads Phony Claim About Western Rockets in Ukraine,FALSE,meter-false
185,Iran Concocts NATO War Fantasy To Justify Russia’s Ukraine Invasion,FALSE,meter-false
186,Putin Tries to Blame Canada for Europe’s Gas Woes. It’s Bogus,FALSE,meter-false
187,How the Kremlin Propagandized Bolton’s Remark About Planning ‘Coups’,FALSE,meter-false
188,"With a Chokehold on Ukraine’s Grain, Russia Falsely Blames U.S. for Global Hunger",FALSE,meter-false
189,China Dishes Up Russian Lies About U.S. Bioweapons in Ukraine,FALSE,meter-false
190,"No, Democracy in Hong Kong Hasn’t Taken a ‘Quantum Leap Forward’",FALSE,meter-false
191,Latest Kremlin Fantasy: 'Very Many Ukrainians Want Russian Citizenship',FALSE,meter-false
192,Russian Pundit Falsely Claims U.S. had Japan’s Abe Killed,FALSE,meter-false
193,Russian Diplomat Uses Fake Video to Claim Ukraine Staged Bucha Killings,FALSE,meter-false
194,False: Russia's Denial of Military Expansion,FALSE,meter-false
195,Russian Media Distort Western Reporting on Ukraine,FALSE,meter-false
196,"Russia, China Hype Speculation About Coronavirus Lab Origin in U.S.",MISLEADING,meter-false
197,Is Buhari Leaving Nigeria a ‘Better Place’? Not Really,MISLEADING,meter-false
198,New Zealand Calls Out China’s Belligerence – and Beijing Bristles,FALSE,meter-false
199,Fake News About Pentagon and Abortion Swirls on Chinese Social Media,FALSE,meter-false
200,Those Nuclear Threats from Moscow? U.K. Is Not Making Them Up,FALSE,meter-false
201,How Myanmar Distorts Years of Brutality Toward Rohingyas,MISLEADING,meter-false
202,China’s Fantasy About Democracy in Hong Kong,FALSE,meter-false
203,"Facing Default, Putin Offers False Portrayal of Russian Economy",FALSE,meter-false
204,"Russia Falsely Blames Sanctions, Not Its War in Ukraine, for Global Food Crisis",FALSE,meter-false
205,False: Russia Claims Zelenskyy’s Frontline Trip Came Amid ‘Military Failures’,FALSE,meter-false
206,Accounts of Rape by Russian Troops in Ukraine Are Not ‘Fakes and Lies’,FALSE,meter-false
207,China Exploits U.N. Visit To Falsely Deny Xinjiang Atrocities,FALSE,meter-false
208,Russia’s Whitewash of the Death and Devastation in Mariupol,FALSE,meter-false
209,Backroom China Claims Muddy the Waters of Taiwan Strait,FALSE,meter-false
210,Russia's Planned POW Executions Defy Rules of War,FALSE,meter-false
211,Russia is Wrong. The War on Ukraine Threatens a Food Crisis,FALSE,meter-false
212,China Fudges on Access to Cambodian Naval Base,MISLEADING,meter-false
213,Myanmar Junta Touts Faux Rights as Military Courts Dispense Death,FALSE,meter-false
214,"Skirting Sanctions, Moscow Slashes Prices to Find Oil Buyers",MISLEADING,meter-false
215,"Russia Claims ‘Humane’ Treatment of Ukrainian POWs, But Evidence Casts Doubt",MISLEADING,meter-false
216,"After Demolishing True Democracy, Xi Boasts of Hong Kong as Model",MISLEADING,meter-false
217,Russia Resurrects Debunked Organ Harvesting Allegations,MISLEADING,meter-false
218,False from Russia: Japan’s Opposition to War in Ukraine is an ‘Alliance with Nazism’,FALSE,meter-false
219,Misleading: Russia Slows Ukraine Offensive to Save Civilians,MISLEADING,meter-false
220,Leaked Xinjiang Files Are Not Just ‘Lies and Rumors’,MISLEADING,meter-false
221,Unsubstantiated: Ukraine Mined a Chemical Plant to Blame Russians,UNSUBSTANTIATED,meter-false
222,China Trumpets Sham Russian Claims About War Coverage,MISLEADING,meter-false
223,"Pro-Russian Falsehoods From Kim Dotcom, Alleged Racketeer",FALSE,meter-false
224,"Kremlin Links Buffalo Suspect to Ukraine, Except He Had Pro-Russia Views",MISLEADING,meter-false
225,"Russia, Then China, Distort Canadian Sniper’s Ukraine War Tale",MISLEADING,meter-false
226,"Famine, Ukraine, and a Soufflé of Kremlin Falsehoods",FALSE,meter-false
227,"For War Parade, Putin Doubles Down on Falsehoods",FALSE,meter-false
228,False: Belarus Doing ‘Everything’ to Stop Russia’s War on Ukraine,FALSE,meter-false
229,"Behold the Kremlin’s New Propaganda Office, a.k.a. China",FALSE,meter-false
230,Misleading: Oliver Stone’s Speculation About a False-Flag Nuclear Attack in Ukraine,MISLEADING,meter-false
231,"Russia Creates Ukraine Disaster, Then Claims Credit For ‘Humanitarian’ Aid",FALSE,meter-false
232,"China’s False History, Manipulation of Tibetan Buddhism",FALSE,meter-false
233,Russia’s False Claims About Azovstal Evacuation,FALSE,meter-false
234,Russian Spy Chief Falsely Claims Poland Wants Ukrainian Territory,FALSE,meter-false
235,"Sorting Out Ukraine, Hirohito and the Poisonous Legacy of WWII",MISLEADING,meter-false
236,False From Kremlin: Ukraine ‘Can’t Stand’ Free Press,FALSE,meter-false
237,"Russia’s Falsehoods About Mariupol Siege, Forced Migration",FALSE AND MISLEADING,meter-false
238,Don’t Believe China’s Misleading COVID-19 Death Counts,MISLEADING,meter-false
239,Dubious Russian Claims About Ukrainian POWs,UNSUBSTANTIATED,meter-false
240,All In For Censorship (And Hypocrisy) at the Kremlin,FALSE,meter-false
241,"Russia ‘refrained from attacking Kyiv?’ No, It Was Repelled",FALSE,meter-false
242,Russia Misrepresents Ukraine Farm Drones as Chemical Weapon,LIKELY FALSE,meter-false
243,False: Ukraine War a Plot To Entice Jews to Israel,FALSE,meter-false
244,"Locking Arms with Russians, Mali Denies Ethnic Massacre",MISLEADING,meter-false
245,Suspect Claim by Russia on Rockets That Killed Fleeing Civilians,LIKELY FALSE,meter-false
246,Russian Pols to Make ‘Genocide’ Myth an Actual Law,FALSE,meter-false
247,Russia Backs Unfounded Coup Claim by Pakistan’s Khan,UNSUBSTANTIATED,meter-false
248,Flagrantly False: Russia’s Claim That Bucha Killings Were ‘Staged’,FALSE,meter-false
249,Russian Defense Minister Draws Fictitious Picture of War in Ukraine,PARTLY FALSE AND MISLEADING,meter-false
250,Made by Moderna? China Spreads Yet Another Debunked COVID-19 Conspiracy Theory,FALSE,meter-false
251,"In Fog of War, Finger-pointing Over Incendiary Weapons in Ukraine",MISLEADING,meter-false
252,"China Bullies Filipino Fishermen in Shadow of War Games, Ukraine",FALSE,meter-false
253,"West is Not Divided Over Military Aid to Ukraine, Despite Chinese Spin",MISLEADING,meter-false
254,"With Thousands Dead, Millions Uprooted, All is ‘Normal’ and ‘According to Plan’",FALSE,meter-false
255,"China Spreads Kremlin War Lies, Bristles When Called Out",FALSE,meter-false
256,"Putin Says the West Wants to ‘Destroy Russia,’ But That Ignores History",FALSE,meter-false
257,"To Defend Mistreating Uyghurs, China Turns to Fringe U.S. Source",FALSE,meter-false
258,No Verifiable Evidence of False Flag Attack on Mariupol Theater,LIKELY FALSE,meter-false
259,Tennessee Guard Calls Out Kremlin on Fake Mercenary Deaths,FALSE,meter-false
260,How China’s State Media Smears Free Chinese Journalists,FALSE,meter-false
261,Russian News Outlets Spread a False Attack Story,FALSE,meter-false
262,Russian Islamic Clergy Falsely Call Russia's War on Ukraine ‘Defensive’,FALSE,meter-false
263,Chechnya’s Boss Serves Up Kremlin Propaganda to Bolster Putin’s New War,FALSE,meter-false
264,The New Fantastical Twist on Russia's Bogus Bioweapons Allegations,FALSE,meter-false
265,How China Spread Kremlin’s False Biolab Claims,FALSE,meter-false
266,‘We Didn’t Attack Ukraine.’ The Alternate Reality of Russia’s War,FALSE,meter-false
267,Putin’s Fraudulent Foundation for Attacking Ukraine,FALSE,meter-false
268,"Oh, How They Lied. The Many Times Russia Denied Ukraine Invasion Plans",FALSE,meter-false
269,Chinese State Media Flog Unfounded NATO Laptop Conspiracy,UNSUBSTANTIATED,meter-false
270,China Falsely Accuses U.S. of Betraying Historic Ukraine Security Pact,FALSE,meter-false
271,Latest Russian Ukraine Disinfo - Phony ‘Biolab’ Claims,FALSE,meter-false
272,Russia’s Myanmar Embassy Unleashes a Torrent of Ukraine Falsehoods,FALSE,meter-false
273,"Lavrov Makes False, Incendiary Comments on Nuclear Threat",FALSE,meter-false
274,Russia Makes Orwellian Bid to Pin Kharkiv Blasts on Ukraine,FALSE,meter-false
275,Russian Military's So-Called ‘Precision’ Strikes in Ukraine,FALSE,meter-false
276,Russian Space Chief Flip-Flops on Satellite Hack,MISLEADING,meter-false
277,Russia’s Proxies Make Wild Claim About Theft of Observers' Vehicles,FALSE,meter-false
278,Russian Propaganda Falsely Claims Biden Sees WWIII As ‘Alternative’,FALSE,meter-false
279,‘Z’ for Zelenskyy – Russian Propaganda’s Super Villain,FALSE,meter-false
280,Who’s Fighting for Russia? Soldiers’ Families Fact-Check the Kremlin,FALSE,meter-false
281,Moscow's Hollow Pledge to Avoid Civilian Harm in Attack on Ukraine,FALSE,meter-false
282,More Putin Disinfo: Bizarre Claim About Ukrainian Nukes,FALSE,meter-false
283,China Refuses To Call Moscow’s Ukraine Invasion What It Is,MISLEADING,meter-false
284,Putin’s False Claim of Self-Defense While Starting a War on Ukraine,FALSE,meter-false
285,China Falsely Blames U.S. on Eve of Russia’s Ukraine Invasion,FALSE,meter-false
286,Putin Rewrites History in Speech Decrying Ukraine’s Statehood,MISLEADING,meter-false
287,About Those Kremlin Claims of ‘Never Attacking’ Ukraine,FALSE,meter-false
288,"Hong Kong Steals Rights, Freedoms, Then Gaslights Citizens and Critics",FALSE,meter-false
289,"Defending Ukraine Threat, Putin Regurgitates Misleading ‘Genocide’ Claim",MISLEADING,meter-false
290,"Russia Says Troops Are Leaving, Evidence Says Not So Fast",MISLEADING,meter-false
291,China Toes Russian Propaganda Line on Ukraine Threat and Economy,FALSE,meter-false
292,Smoke (Literal) and Disinfo From the Russian Embassy in Ukraine,FALSE,meter-false
293,A False Claim From Putin About the Ukraine War,FALSE,meter-false
294,History Contradicts China's Denial of Meddling in Australian Politics,FALSE,meter-false
295,"RT Chief Spouts Ukraine Disinfo, Extermination Camp Lie",FALSE,meter-false
296,China’s Nepal Land Grab Is Not a ‘Smear Campaign’,FALSE,meter-false
297,"No, Kremlin, NATO Is Not Led by Any Single Country",FALSE,meter-false
298,China Parries Cyberattack Allegations After News Corp Hack,MISLEADING,meter-false
299,"Olympic Obfuscation: At Games, China-Russia Jab U.S. on Chemical Weapons",MISLEADING,meter-false
300,Russian Report of ‘Massive Shelling’ in Key Ukraine City Lacks Evidence,UNSUBSTANTIATED,meter-false
301,"Russia Concerned About ‘Freedom of Media’, But Only Its Own",MISLEADING,meter-false
302,China Says No to Politicizing Olympics – And Joins Russia in Doing Just That,FALSE,meter-false
303,China’s Top U.S. Diplomat Calls Fierce Internet Censorship a ‘Misunderstanding’,FALSE,meter-false
304,Putin’s Misleading Hairsplitting About Who Can Join NATO,MISLEADING,meter-false
305,"Crimea Was Not Threatened With ‘Extermination’, as Russian Disinfo Claims",FALSE,meter-false
306,"To Bash U.S., China Misrepresents Photos from Syria as Afghanistan",FALSE,meter-false
307,"Under Glare of U.N., Russia Casts Doubt on Forces Outside Ukraine",FALSE,meter-false
308,Russia Only Sends Troops Where Invited? Not a Chance.,FALSE,meter-false
309,Cambodia's Hun Sen Backpedals After Getting Cozy With Myanmar,MISLEADING,meter-false
