,nc,1,claim,0,nt
32,Фейк: Президент Латвии рассмешил Зеленского словами о победе ВСУ,meter-false,Fake: President of Latvia made Zelensky laugh with words about the victory of the Armed Forces of Ukraine,President of Latvia made Zelensky laugh with words about the victory of the Armed Forces of Ukraine,Fake
33,Фейк: Немцы «выступили против вступления Украины в НАТО»,meter-false,"Fake: The Germans ""opposed Ukraine's accession to NATO""","The Germans ""opposed Ukraine's accession to NATO""",Fake
34,Манипуляция: Украина готова «военным путем» остановить дестабилизацию в Молдове – Данилов,meter-false,"Manipulation: Ukraine is ready to ""militarily"" stop destabilization in Moldova - Danilov","Ukraine is ready to ""militarily"" stop destabilization in Moldova - Danilov",Manipulation
35,Фейк: Украина «делает грязную бомбу» с использованием Калифорния-252,meter-false,Fake: Ukraine “makes a dirty bomb” using California-252,Ukraine “makes a dirty bomb” using California-252,Fake
36,Фейк: В Израиле запретили использование украинского флага,meter-false,Fake: Israel banned the use of the Ukrainian flag,Israel banned the use of the Ukrainian flag,Fake
37,Манипуляция: Украина «проговорилась» о подготовке блокады гражданского населения Крыма,meter-false,"Manipulation: Ukraine ""let slip"" about the preparation of the blockade of the civilian population of Crimea","Ukraine ""let slip"" about the preparation of the blockade of the civilian population of Crimea",Manipulation
38,Фейк: Киев отправляет на войну детей — видео,meter-false,Fake: Kyiv sends children to war – video,Kyiv sends children to war – video,Fake
39,"Манипуляция: Украина не сможет вернуть Крым, — экс-командующий британским контингентом в Афганистане",meter-false,"Manipulation: Ukraine will not be able to return the Crimea, - the former commander of the British contingent in Afghanistan","Ukraine will not be able to return the Crimea, - the former commander of the British contingent in Afghanistan",Manipulation
40,"Фейк: Киев затрясет как Турцию, — предупреждение сейсмолога",meter-false,"Fake: Kyiv Will Shake Like Turkey, Seismologist Warns","Kyiv Will Shake Like Turkey, Seismologist Warns",Fake
41,Фейк: В польской угольной шахте «Богданка» нашли могильник с телами воевавших в Украине военных,meter-false,Fake: A burial ground with the bodies of soldiers who fought in Ukraine was found in the Bogdanka coal mine in Poland,A burial ground with the bodies of soldiers who fought in Ukraine was found in the Bogdanka coal mine in Poland,Fake
42,Фейк: В Украине власти планируют мобилизовать работников АЭС – документ,meter-false,Fake: Authorities in Ukraine Plan to Mobilize NPP Workers – Document,Authorities in Ukraine Plan to Mobilize NPP Workers – Document,Fake
43,Фейк: Зеленский «призвал США отправить своих граждан воевать за Украину»,meter-false,Fake: Zelensky “urged the US to send its citizens to fight for Ukraine”,Zelensky “urged the US to send its citizens to fight for Ukraine”,Fake
44,Фейк: Во время встречи с Байденом в Киеве был замечен двойник Зеленского,meter-false,Fake: Zelensky's doppelgänger spotted during meeting with Biden in Kyiv,Zelensky's doppelgänger spotted during meeting with Biden in Kyiv,Fake
45,Фейк: Консульство США в Милане опубликовало пост «с флагами Украины и нацистской Германии»,meter-false,Fake: The US Consulate in Milan published a post “with the flags of Ukraine and Nazi Germany”,The US Consulate in Milan published a post “with the flags of Ukraine and Nazi Germany”,Fake
46,Фейк: В Украине увеличили возрастной порог подлежащих мобилизации до 62 лет,meter-false,"Fake: In Ukraine, the age limit for mobilization has been increased to 62 years","In Ukraine, the age limit for mobilization has been increased to 62 years",Fake
47,Фейк: На немецкие танки наносят нацистские символы перед отправкой в Украину,meter-false,Fake: German tanks are painted with Nazi symbols before being sent to Ukraine,German tanks are painted with Nazi symbols before being sent to Ukraine,Fake
48,Фейк: «Вагнеровцы» уничтожили первый танк «Леопард» и его польско-немецкий экипаж,meter-false,Fake: Wagnerites destroyed the first Leopard tank and its Polish-German crew,Wagnerites destroyed the first Leopard tank and its Polish-German crew,Fake
49,Фейк: сотрудники центра комплектования в Николаеве соревнуются: выдал больше повесток —  отдыхаешь в коттедже,meter-false,Fake: employees of the recruitment center in Nikolaev compete: issue more subpoenas - relax in a cottage,employees of the recruitment center in Nikolaev compete,Fake
50,Фейк: Воздушная тревога во время визита Джо Байдена в Киев была включена «демонстративно»,meter-false,Fake: Air raid alert during Joe Biden's visit to Kyiv was turned on 'defiantly',Air raid alert during Joe Biden's visit to Kyiv was turned on 'defiantly',Fake
51,Манипуляция: Байден в Польше «пообещал Украине тяжелые времена»,meter-false,Manipulation: Biden in Poland “promised hard times for Ukraine”,Biden in Poland “promised hard times for Ukraine”,Manipulation
52,Фейк: Украинцы стали реже смотреть ТВ из-за правительственной пропаганды – опрос,meter-false,Fake: Ukrainians Watch TV Less Often Due to Government Propaganda – Poll,Ukrainians Watch TV Less Often Due to Government Propaganda – Poll,Fake
53,Фейк: Использование русского языка в Германии возросло — за счет украинских беженцев,meter-false,Fake: The use of the Russian language in Germany has increased due to Ukrainian refugees,The use of the Russian language in Germany has increased due to Ukrainian refugees,Fake
54,«Украина получит ядерное оружие» и «США вторгнутся в Крым» – три фейка росСМИ о...,meter-false,“Ukraine will get nuclear weapons” and “USA will invade Crimea” – three Russian media fakes about...,“Ukraine will get nuclear weapons” and “USA will invade Crimea” – three Russian media fakes about...,meter-false
55,Фейк: Украина «готовит провокацию» для «безосновательного» обвинения России в нарушении ядерной безопасности,meter-false,Fake: Ukraine is “preparing a provocation” to accuse Russia of violating nuclear safety “unfounded”,Ukraine is “preparing a provocation” to accuse Russia of violating nuclear safety “unfounded”,Fake
56,Фейк Захаровой: Макрон признался в попытках Запада сменить руководство России,meter-false,Fake Zakharova: Macron admitted to the West's attempts to change the leadership of Russia,Macron admitted to the West's attempts to change the leadership of Russia,Fake Zakharova
57,"Манипуляция: Байден срочно «приказал Зеленскому как можно быстрее начать наступление», — Politico",meter-false,"Manipulation: Biden urgently ""ordered Zelensky to launch an offensive as soon as possible"" - Politico","Biden urgently ""ordered Zelensky to launch an offensive as soon as possible"" - Politico",Manipulation
58,Фейк: Киев и Запад виновны в минном загрязнении Украины,meter-false,Fake: Kyiv and the West are guilty of mine contamination in Ukraine,Kyiv and the West are guilty of mine contamination in Ukraine,Fake
59,Фейк: В морге Николаева тела украинских военных «пускают на органы» – фото,meter-false,"Fake: In the morgue of Nikolaev, the bodies of the Ukrainian military are “performed on the organs” - photo","In the morgue of Nikolaev, the bodies of the Ukrainian military are “performed on the organs” - photo",Fake
60,"Манипуляция: В Украине хотят лишить пенсии всех, кто выехал в Россию или живет на...",meter-false,"Manipulation: In Ukraine, they want to deprive everyone who left for Russia or lives on...","In Ukraine, they want to deprive everyone who left for Russia or lives on...",Manipulation
61,"Фейк: Зеленский признал, что «не планировал выполнять Минские соглашения»",meter-false,Fake: Zelensky admitted that he “did not plan to implement the Minsk agreements”,Zelensky admitted that he “did not plan to implement the Minsk agreements”,Fake
62,Фейк: Война в Украине «истощила» Европу – Бен Уоллес,meter-false,Fake: War in Ukraine 'exhausted' Europe - Ben Wallace,War in Ukraine 'exhausted' Europe - Ben Wallace,Fake
63,"Фейк: В США «раскрыли судьбу 30 тысяч наемников, воюющих за Зеленского»",meter-false,"Fake: The fate of 30,000 mercenaries fighting for Zelensky has been revealed in the US","The fate of 30,000 mercenaries fighting for Zelensky has been revealed in the US",Fake
64,Фейк: Украинских танкистов в Германии попросили «не рисовать свастику и не зиговать»,meter-false,Fake: Ukrainian tank crews in Germany were asked not to draw swastikas and zigzag,Ukrainian tank crews in Germany were asked not to draw swastikas and zigzag,Fake
65,Видеофейк: В Харькове сгорел военкомат,meter-false,Video fake: Military enlistment office burned down in Kharkiv,Military enlistment office burned down in Kharkiv,Video fake
66,"Фейк: Украинское правительство «не выделяет ни копейки» для лечения посттравматического синдрома у военнослужащих, —...",meter-false,"Fake: The Ukrainian government ""does not allocate a penny"" for the treatment of post-traumatic syndrome in military personnel, -...","The Ukrainian government ""does not allocate a penny"" for the treatment of post-traumatic syndrome in military personnel, -...",Fake
67,Манипуляция: В Киеве «хотят уничтожить» могилу и прах генерала СРСР Николая Ватутина,meter-false,Manipulation: In Kyiv “they want to destroy” the grave and ashes of General of the USSR Nikolai Vatutin,In Kyiv “they want to destroy” the grave and ashes of General of the USSR Nikolai Vatutin,Manipulation
68,Фейк: Землетрясение в Турции — дело рук  «тектонического оружия» США и НАТО,meter-false,Fake: Earthquake in Turkey is the work of US and NATO “tectonic weapons”,Earthquake in Turkey is the work of US and NATO “tectonic weapons”,Fake
69,Фейк: Американские конгрессмены выступили за передачу части Украины России – The Washington Post,meter-false,Fake: U.S. Congressmen Call for Part of Ukraine to be Transferred to Russia - The Washington Post,U.S. Congressmen Call for Part of Ukraine to be Transferred to Russia - The Washington Post,Fake
70,Фейк: В Украине рекламируют инвалидные коляски как способ избежать мобилизации,meter-false,Fake: Wheelchairs advertised in Ukraine as a way to avoid mobilization,Wheelchairs advertised in Ukraine as a way to avoid mobilization,Fake
71,Фейк: Украинское руководство «призывает к геноциду русских»,meter-false,Fake: Ukrainian leadership “calls for genocide of Russians”,Ukrainian leadership “calls for genocide of Russians”,Fake
72,Фейк: ВСУ применили запрещенное химическое оружие – видео,meter-false,Fake: Ukrainian Armed Forces used banned chemical weapons – video,Ukrainian Armed Forces used banned chemical weapons – video,Fake
73,"Фейк: Президент Зеленский заявил, что «не понимает, за что воюют украинцы»",meter-false,Fake: President Zelensky says he “doesn’t understand what Ukrainians are fighting for”,President Zelensky says he “doesn’t understand what Ukrainians are fighting for”,Fake
74,Фейк: Детские игрушки — единственная «достойная компенсация» семьям погибших украинских военнослужащих,meter-false,"Fake: Children's toys are the only ""worthy compensation"" for the families of the dead Ukrainian servicemen","Children's toys are the only ""worthy compensation"" for the families of the dead Ukrainian servicemen",Fake
75,Фейк: Румыния и Молдова строят шоссе для «переброски сил НАТО к Одессе»,meter-false,Fake: Romania and Moldova are building a highway to “deploy NATO forces to Odessa”,Romania and Moldova are building a highway to “deploy NATO forces to Odessa”,Fake
76,Фейк: «У солдат ВСУ на фронте нет взаимодействия с командованием» — Politico,meter-false,Fake: “APU soldiers at the front have no interaction with the command” — Politico,“APU soldiers at the front have no interaction with the command” — Politico,Fake
77,"Манипуляция: Билл Гейтс заявил, что «самая большая опасность в ближайшие несколько лет случится из-за...",meter-false,"Manipulation: Bill Gates said ""the biggest danger in the next few years will come from...","Bill Gates said ""the biggest danger in the next few years will come from...",Manipulation
78,Фейк: Посевная в Украине «под угрозой срыва» – так как из страны «вывезли все...,meter-false,Fake: The sowing campaign in Ukraine is “in danger of failure” – since “everything was taken out of the country...,The sowing campaign in Ukraine is “in danger of failure” – since “everything was taken out of the country...,Fake
79,"Манипуляция: Украина станет непригодной для жизни, — Foreign Affairs",meter-false,Manipulation: Ukraine will become uninhabitable - Foreign Affairs,Ukraine will become uninhabitable - Foreign Affairs,Manipulation
80,"Фейк: Зеленский, соболезнуя  турецкому народу, «выразил надежду что поставки помощи Украине не прекратятся»",meter-false,"Fake: Zelensky, condoling with the Turkish people, “expressed the hope that the supply of aid to Ukraine will not stop”","Zelensky, condoling with the Turkish people, “expressed the hope that the supply of aid to Ukraine will not stop”",Fake
81,Фейк: США «вряд ли передадут Украине танки Abrams» – Financial Times,meter-false,Fake: US 'unlikely to hand over Abrams tanks to Ukraine' - Financial Times,US 'unlikely to hand over Abrams tanks to Ukraine' - Financial Times,Fake
82,Фотофейк: В Польше появились антиукраинские рекламные щиты,meter-false,Photofake: Anti-Ukrainian billboards appeared in Poland,Anti-Ukrainian billboards appeared in Poland,Photofake
83,Фейк: Украинцам в Польше и Великобритании начали выдавать повестки,meter-false,Fake: Ukrainians in Poland and Great Britain started to issue subpoenas,Ukrainians in Poland and Great Britain started to issue subpoenas,Fake
84,Манипуляция: Украина ввела санкции против Запорожской АЭС,meter-false,Manipulation: Ukraine imposed sanctions against the Zaporozhye NPP,Ukraine imposed sanctions against the Zaporozhye NPP,Manipulation
85,Фейк Захаровой: Военные из Евросоюза «отправлялись в Украину задолго до 2022 года»,meter-false,"Fake Zakharova: EU military ""departed for Ukraine long before 2022""","EU military ""departed for Ukraine long before 2022""",Fake Zakharova
86,Фейк: Запад «угрожает» Грузии – из-за Украины страна попала «в мышеловку ЕС»,meter-false,"Fake: The West ""threatens"" Georgia - because of Ukraine, the country fell into the ""EU mousetrap""","The West ""threatens"" Georgia - because of Ukraine, the country fell into the ""EU mousetrap""",Fake
87,Манипуляция: Байден «отказывается отправлять в Украину свои войска из-за гнева Путина» — Bloomberg,meter-false,Manipulation: Biden 'refuses to send his troops to Ukraine because of Putin's anger' - Bloomberg,Biden 'refuses to send his troops to Ukraine because of Putin's anger' - Bloomberg,Manipulation
88,Фейк: Приехавшие на обучение украинские военные попросили политического убежища в Германии,meter-false,Fake: Ukrainian soldiers who came to study asked for political asylum in Germany,Ukrainian soldiers who came to study asked for political asylum in Germany,Fake
89,"Фейк: Украинская армия несет «колоссальные потери», также погибли 234 инструктора из США и Великобритании...",meter-false,"Fake: The Ukrainian army suffers ""colossal losses"", 234 instructors from the US and the UK also died...","The Ukrainian army suffers ""colossal losses"", 234 instructors from the US and the UK also died...",Fake
90,"Фейк: В Украине «светит уголовка» за общение на русском «даже на кухне», – Лавров",meter-false,"Fake: In Ukraine, there is a “punishment” for speaking Russian “even in the kitchen” – Lavrov","In Ukraine, there is a “punishment” for speaking Russian “even in the kitchen” – Lavrov",Fake
91,Фейк: Украина вывозит за границу чернозем — «вместе с останками солдат Красной Армии»,meter-false,Fake: Ukraine exports chernozem abroad “together with the remains of Red Army soldiers”,Ukraine exports chernozem abroad “together with the remains of Red Army soldiers”,Fake
92,Фейк: В Киеве объявили о призыве добровольцев в «нацистские группировки»,meter-false,Fake: Call for volunteers to join “Nazi groups” announced in Kyiv,Call for volunteers to join “Nazi groups” announced in Kyiv,Fake
93,Фейк: Вертолет в Броварах был сбит украинской ПЗРК «Игла» – документ,meter-false,Fake: Helicopter in Brovary was shot down by Ukrainian Igla MANPADS – document,Helicopter in Brovary was shot down by Ukrainian Igla MANPADS – document,Fake
94,Фейк: Президент Зеленский призвал нанести «превентивный ядерный удар» по России,meter-false,"Fake: President Zelensky called for a ""preemptive nuclear strike"" on Russia","President Zelensky called for a ""preemptive nuclear strike"" on Russia",Fake
95,Фейк: Жилой дом в Краматорске поражен украинской системой ПВО,meter-false,Fake: Residential building in Kramatorsk hit by Ukrainian air defense system,Residential building in Kramatorsk hit by Ukrainian air defense system,Fake
96,Фейк: Украина «признала причастность» к атакам на военные объекты Ирана,meter-false,Fake: Ukraine “acknowledged involvement” in attacks on Iranian military facilities,Ukraine “acknowledged involvement” in attacks on Iranian military facilities,Fake
97,Фейк: Вернувшихся украинских военнопленных ждет тюрьма или фронт,meter-false,Fake: Returned Ukrainian POWs Are Waiting for Prison or Frontline,Returned Ukrainian POWs Are Waiting for Prison or Frontline,Fake
98,Фейк: Украинским военнослужащим вместо зарплаты выдают «ваучеры»,meter-false,Fake: Ukrainian servicemen are given “vouchers” instead of salaries,Ukrainian servicemen are given “vouchers” instead of salaries,Fake
99,Фейк: В центре Берлина показывают «антивоенные ролики» – видео,meter-false,Fake: 'anti-war videos' are shown in the center of Berlin – video,'anti-war videos' are shown in the center of Berlin – video,Fake
100,Манипуляция: В Украине «электричество для школ и детсадов отдали элитным курортам»,meter-false,"Manipulation: In Ukraine, “electricity for schools and kindergartens was given to elite resorts”","In Ukraine, “electricity for schools and kindergartens was given to elite resorts”",Manipulation
101,"Фейк: США «колонизировали Украину ради запасов титана», – Newsweek",meter-false,Fake: US 'colonized Ukraine for titanium reserves' - Newsweek,US 'colonized Ukraine for titanium reserves' - Newsweek,Fake
102,Фейк: Украина проводит массовую мобилизацию венгров Закарпатья,meter-false,Fake: Ukraine Conducts Mass Mobilization of Transcarpathian Hungarians,Ukraine Conducts Mass Mobilization of Transcarpathian Hungarians,Fake
103,Манипуляция: Украина и Запад «начали подготовку к терактам в Крыму»,meter-false,Manipulation: Ukraine and the West “began preparations for terrorist attacks in Crimea”,Ukraine and the West “began preparations for terrorist attacks in Crimea”,Manipulation
104,Фейк: В детских военных лагерях Украина и западные инструкторы готовят подростков-корректировщиков,meter-false,Fake: Ukraine and Western instructors train spotters in children's military camps,Ukraine and Western instructors train spotters in children's military camps,Fake
105,Фейк: В Украине переименовали химический элемент «Московий» в «Украиний»,meter-false,"Fake: In Ukraine, the chemical element ""Moscovium"" was renamed to ""Ukrainium""","In Ukraine, the chemical element ""Moscovium"" was renamed to ""Ukrainium""",Fake
106,Фейк: «Укрпочта» выпустила марки в честь дивизии СС «Галичина» в дни памяти жертв Холокоста,meter-false,"Fake: Ukrposhta issued stamps in honor of the SS division ""Galicia"" in the days of memory of the victims of the Holocaust","Ukrposhta issued stamps in honor of the SS division ""Galicia"" in the days of memory of the victims of the Holocaust",Fake
107,Фотофейк: «Акция для военных и их семей»: купи два гроба и получи третий в...,meter-false,"Photofake: ""Promotion for the military and their families"": buy two coffins and get a third in...","""Promotion for the military and their families""",Photofake
108,Манипуляция: В ООН «недовольны поставками западных танков Киеву»,meter-false,Manipulation: The UN is “dissatisfied with the supply of Western tanks to Kyiv”,The UN is “dissatisfied with the supply of Western tanks to Kyiv”,Manipulation
109,"Фейк: ЮНЕСКО «прогнулось под Украину», включило Одессу в список Всемирного наследия",meter-false,"Fake: UNESCO ""caved under Ukraine"", included Odessa in the World Heritage List","UNESCO ""caved under Ukraine"", included Odessa in the World Heritage List",Fake
110,Манипуляция: Немцы вышли на «массовую демонстрацию против поставки танков Киеву»,meter-false,"Manipulation: The Germans went on a ""mass demonstration against the supply of tanks to Kyiv""","The Germans went on a ""mass demonstration against the supply of tanks to Kyiv""",Manipulation
111,"Фейк: Западные танки не помогут ВСУ и будут уничтожены Россией, — Академия обороны Дании",meter-false,Fake: Western tanks will not help the Armed Forces of Ukraine and will be destroyed by Russia - Danish Defense Academy,Western tanks will not help the Armed Forces of Ukraine and will be destroyed by Russia - Danish Defense Academy,Fake
112,Фейк: Эстония «пополняет армию гимназистами» и учит детей «умирать за Украину»,meter-false,Fake: Estonia “replenishes the army with high school students” and teaches children to “die for Ukraine”,Estonia “replenishes the army with high school students” and teaches children to “die for Ukraine”,Fake
113,Фейк: Билл Гейтс назвал правительство Украины «одним из худших в мире»,meter-false,"Fake: Bill Gates called the government of Ukraine ""one of the worst in the world""","Bill Gates called the government of Ukraine ""one of the worst in the world""",Fake
114,Фейк: В Париже прошли митинги против поставок Украине оружия – видео,meter-false,Fake: Rallies against arms supplies to Ukraine held in Paris – video,Rallies against arms supplies to Ukraine held in Paris – video,Fake
115,Фейк: Запад и Украина приближают ядерную катастрофу в мире,meter-false,Fake: The West and Ukraine are Bringing a Nuclear Catastrophe to the World,The West and Ukraine are Bringing a Nuclear Catastrophe to the World,Fake
116,"Фейк: Страны ЕС будут «выдавать» украинских мужчин, подлежащих мобилизации",meter-false,"Fake: EU countries will ""extrad"" Ukrainian men subject to mobilization","EU countries will ""extrad"" Ukrainian men subject to mobilization",Fake
117,Фейк: В зоопарке Берлина висит табличка с просьбой «не кормить леопардов пустыми разговорами Зеленского»...,meter-false,Fake: A sign hangs in the Berlin Zoo asking “not to feed the leopards with Zelensky’s empty talk”...,A sign hangs in the Berlin Zoo asking “not to feed the leopards with Zelensky’s empty talk”...,Fake
118,Фейк: Танки Abrams и Leopard 2 «угрожают здоровью украинцев»,meter-false,Fake: Abrams and Leopard 2 tanks 'threaten the health of Ukrainians',Abrams and Leopard 2 tanks 'threaten the health of Ukrainians',Fake
119,Фейк: Польша отправит в Украину танки Leopard вместе с экипажами,meter-false,Fake: Poland will send Leopard tanks with crews to Ukraine,Poland will send Leopard tanks with crews to Ukraine,Fake
120,Манипуляция: Самолет-разведчик НАТО «собирает информацию для захвата западной Украины»,meter-false,"Manipulation: NATO reconnaissance aircraft ""gathers information to capture western Ukraine""","NATO reconnaissance aircraft ""gathers information to capture western Ukraine""",Manipulation
121,Фейк: Украина использует АЭС как склады для оружия,meter-false,Fake: Ukraine Uses Nuclear Power Plants as Weapons Depots,Ukraine Uses Nuclear Power Plants as Weapons Depots,Fake
122,Манипуляция: Швейцария «отказалась» передавать Украине «незаконно замороженные» российские активы,meter-false,Manipulation: Switzerland “refused” to transfer “illegally frozen” Russian assets to Ukraine,Switzerland “refused” to transfer “illegally frozen” Russian assets to Ukraine,Manipulation
